,property,date,avg_rent_per_sqft,net_leased,rev_pasf,rev_pasf_rank,year_month,quarter
0,Cortland North Tucson,2024-01-03,1.3693456470647176,0.9305555555555556,1.27425219935189,1.0,2024-01,Q1 2024
1,Cortland North Tucson,2024-01-04,1.3693456470647176,0.9375,1.2837615441231727,1.0,2024-01,Q1 2024
2,Cortland North Tucson,2024-01-05,1.3693456470647176,0.9375,1.2837615441231727,1.0,2024-01,Q1 2024
3,Cortland North Tucson,2024-01-06,1.3693456470647176,0.9375,1.2837615441231727,1.0,2024-01,Q1 2024
4,Cortland North Tucson,2024-01-07,1.3693456470647176,0.9375,1.2837615441231727,1.0,2024-01,Q1 2024
5,Cortland North Tucson,2024-01-08,1.3693456470647176,0.9375,1.2837615441231727,1.0,2024-01,Q1 2024
6,Cortland North Tucson,2024-01-09,1.3693456470647176,0.9375,1.2837615441231727,1.0,2024-01,Q1 2024
7,Cortland North Tucson,2024-01-10,1.3693456470647176,0.9305555555555556,1.27425219935189,1.0,2024-01,Q1 2024
8,Cortland North Tucson,2024-01-11,1.3693456470647176,0.9305555555555556,1.27425219935189,1.0,2024-01,Q1 2024
9,Cortland North Tucson,2024-01-12,1.3693456470647176,0.9305555555555556,1.27425219935189,1.0,2024-01,Q1 2024
10,Cortland North Tucson,2024-01-13,1.3693456470647176,0.9305555555555556,1.27425219935189,1.0,2024-01,Q1 2024
11,Cortland North Tucson,2024-01-14,1.3693456470647176,0.9305555555555556,1.27425219935189,1.0,2024-01,Q1 2024
12,Cortland North Tucson,2024-01-15,1.3693456470647176,0.9305555555555556,1.27425219935189,1.0,2024-01,Q1 2024
13,Cortland North Tucson,2024-01-16,1.3693456470647176,0.9305555555555556,1.27425219935189,1.0,2024-01,Q1 2024
14,Cortland North Tucson,2024-01-17,1.3747801908678698,0.9236111111111112,1.2697622596210187,1.0,2024-01,Q1 2024
15,Cortland North Tucson,2024-01-18,1.3747801908678698,0.9305555555555556,1.2793093442798233,1.0,2024-01,Q1 2024
16,Cortland North Tucson,2024-01-19,1.3747801908678698,0.9236111111111112,1.2697622596210187,1.0,2024-01,Q1 2024
17,Cortland North Tucson,2024-01-20,1.3747801908678698,0.9166666666666666,1.260215174962214,1.0,2024-01,Q1 2024
18,Cortland North Tucson,2024-01-21,1.3747801908678698,0.9166666666666666,1.260215174962214,1.0,2024-01,Q1 2024
19,Cortland North Tucson,2024-01-22,1.3747801908678698,0.9166666666666666,1.260215174962214,1.0,2024-01,Q1 2024
20,Cortland North Tucson,2024-01-23,1.3747801908678698,0.9166666666666666,1.260215174962214,1.0,2024-01,Q1 2024
21,Cortland North Tucson,2024-01-24,1.3747801908678698,0.9166666666666666,1.260215174962214,1.0,2024-01,Q1 2024
22,Cortland North Tucson,2024-01-25,1.3747801908678698,0.9166666666666666,1.260215174962214,1.0,2024-01,Q1 2024
23,Cortland North Tucson,2024-01-26,1.387207768758748,0.9166666666666666,1.2716071213621858,1.0,2024-01,Q1 2024
24,Cortland North Tucson,2024-01-27,1.387207768758748,0.9305555555555556,1.2908738959282795,1.0,2024-01,Q1 2024
25,Cortland North Tucson,2024-01-28,1.3844094906887385,0.9305555555555556,1.2882699427242428,1.0,2024-01,Q1 2024
26,Cortland North Tucson,2024-01-29,1.3844094906887385,0.9375,1.2978838975206923,1.0,2024-01,Q1 2024
27,Cortland North Tucson,2024-01-30,1.3844094906887385,0.9375,1.2978838975206923,1.0,2024-01,Q1 2024
28,Cortland North Tucson,2024-01-31,1.3844094906887385,0.9375,1.2978838975206923,1.0,2024-01,Q1 2024
29,Cortland North Tucson,2024-02-01,1.3844094906887385,0.9375,1.2978838975206923,1.0,2024-02,Q1 2024
30,Cortland North Tucson,2024-02-02,1.3844094906887385,0.9305555555555556,1.2882699427242428,1.0,2024-02,Q1 2024
31,Cortland North Tucson,2024-02-03,1.3844094906887385,0.9305555555555556,1.2882699427242428,1.0,2024-02,Q1 2024
32,Cortland North Tucson,2024-02-04,1.3844094906887385,0.9305555555555556,1.2882699427242428,1.0,2024-02,Q1 2024
33,Cortland North Tucson,2024-02-05,1.3844094906887385,0.9305555555555556,1.2882699427242428,1.0,2024-02,Q1 2024
34,Cortland North Tucson,2024-02-06,1.3844094906887385,0.9305555555555556,1.2882699427242428,1.0,2024-02,Q1 2024
35,Cortland North Tucson,2024-02-07,1.3844094906887385,0.9305555555555556,1.2882699427242428,1.0,2024-02,Q1 2024
36,Cortland North Tucson,2024-02-08,1.3844094906887385,0.9305555555555556,1.2882699427242428,1.0,2024-02,Q1 2024
37,Cortland North Tucson,2024-02-09,1.3844094906887385,0.9305555555555556,1.2882699427242428,1.0,2024-02,Q1 2024
38,Cortland North Tucson,2024-02-10,1.38180216408523,0.9305555555555556,1.2858436804682003,1.0,2024-02,Q1 2024
39,Cortland North Tucson,2024-02-11,1.38180216408523,0.9375,1.2954395288299032,1.0,2024-02,Q1 2024
40,Cortland North Tucson,2024-02-12,1.38180216408523,0.9305555555555556,1.2858436804682003,1.0,2024-02,Q1 2024
41,Cortland North Tucson,2024-02-13,1.38180216408523,0.9305555555555556,1.2858436804682003,1.0,2024-02,Q1 2024
42,Cortland North Tucson,2024-02-14,1.38180216408523,0.9236111111111112,1.2762478321064972,1.0,2024-02,Q1 2024
43,Cortland North Tucson,2024-02-15,1.38180216408523,0.9236111111111112,1.2762478321064972,1.0,2024-02,Q1 2024
44,Cortland North Tucson,2024-02-16,1.38180216408523,0.9236111111111112,1.2762478321064972,1.0,2024-02,Q1 2024
45,Cortland North Tucson,2024-02-17,1.38180216408523,0.9166666666666666,1.2666519837447943,1.0,2024-02,Q1 2024
46,Cortland North Tucson,2024-02-18,1.38180216408523,0.9166666666666666,1.2666519837447943,1.0,2024-02,Q1 2024
47,Cortland North Tucson,2024-02-19,1.38180216408523,0.9166666666666666,1.2666519837447943,1.0,2024-02,Q1 2024
48,Cortland North Tucson,2024-02-20,1.38180216408523,0.9166666666666666,1.2666519837447943,1.0,2024-02,Q1 2024
49,Cortland North Tucson,2024-02-21,1.386497305910874,0.9097222222222222,1.2613274102383645,1.0,2024-02,Q1 2024
50,Cortland North Tucson,2024-02-22,1.386497305910874,0.9166666666666666,1.2709558637516345,1.0,2024-02,Q1 2024
51,Cortland North Tucson,2024-02-23,1.386497305910874,0.9166666666666666,1.2709558637516345,1.0,2024-02,Q1 2024
52,Cortland North Tucson,2024-02-24,1.386497305910874,0.9097222222222222,1.2613274102383645,1.0,2024-02,Q1 2024
53,Cortland North Tucson,2024-02-25,1.386497305910874,0.9097222222222222,1.2613274102383645,1.0,2024-02,Q1 2024
54,Cortland North Tucson,2024-02-26,1.386497305910874,0.9097222222222222,1.2613274102383645,1.0,2024-02,Q1 2024
55,Cortland North Tucson,2024-02-27,1.386497305910874,0.9027777777777778,1.2516989567250947,1.0,2024-02,Q1 2024
56,Cortland North Tucson,2024-02-28,1.386497305910874,0.9027777777777778,1.2516989567250947,1.0,2024-02,Q1 2024
57,Cortland North Tucson,2024-02-29,1.386497305910874,0.9027777777777778,1.2516989567250947,1.0,2024-02,Q1 2024
58,Cortland North Tucson,2024-03-01,1.386497305910874,0.9027777777777778,1.2516989567250947,1.0,2024-03,Q1 2024
59,Cortland North Tucson,2024-03-02,1.386497305910874,0.8958333333333334,1.2420705032118247,1.0,2024-03,Q1 2024
60,Cortland North Tucson,2024-03-03,1.386497305910874,0.8958333333333334,1.2420705032118247,1.0,2024-03,Q1 2024
61,Cortland North Tucson,2024-03-04,1.386497305910874,0.8958333333333334,1.2420705032118247,1.0,2024-03,Q1 2024
62,Cortland North Tucson,2024-03-05,1.386497305910874,0.8958333333333334,1.2420705032118247,1.0,2024-03,Q1 2024
63,Cortland North Tucson,2024-03-06,1.386497305910874,0.8958333333333334,1.2420705032118247,1.0,2024-03,Q1 2024
64,Cortland North Tucson,2024-03-07,1.386497305910874,0.8958333333333334,1.2420705032118247,1.0,2024-03,Q1 2024
65,Cortland North Tucson,2024-03-08,1.386497305910874,0.8888888888888888,1.2324420496985546,1.0,2024-03,Q1 2024
66,Cortland North Tucson,2024-03-09,1.3852331336959867,0.8888888888888888,1.2313183410630992,1.0,2024-03,Q1 2024
67,Cortland North Tucson,2024-03-10,1.3850198998284151,0.8958333333333334,1.2407469935962885,1.0,2024-03,Q1 2024
68,Cortland North Tucson,2024-03-11,1.3850198998284151,0.9027777777777778,1.250365187345097,1.0,2024-03,Q1 2024
69,Cortland North Tucson,2024-03-12,1.3850198998284151,0.9027777777777778,1.250365187345097,1.0,2024-03,Q1 2024
70,Cortland North Tucson,2024-03-13,1.3850198998284151,0.9027777777777778,1.250365187345097,1.0,2024-03,Q1 2024
71,Cortland North Tucson,2024-03-14,1.3850198998284151,0.9027777777777778,1.250365187345097,1.0,2024-03,Q1 2024
72,Cortland North Tucson,2024-03-15,1.38335694776459,0.9027777777777778,1.248863911176366,1.0,2024-03,Q1 2024
73,Cortland North Tucson,2024-03-16,1.38335694776459,0.9027777777777778,1.248863911176366,1.0,2024-03,Q1 2024
74,Cortland North Tucson,2024-03-17,1.38335694776459,0.9027777777777778,1.248863911176366,1.0,2024-03,Q1 2024
75,Cortland North Tucson,2024-03-18,1.38335694776459,0.9027777777777778,1.248863911176366,1.0,2024-03,Q1 2024
76,Cortland North Tucson,2024-03-19,1.38335694776459,0.9027777777777778,1.248863911176366,1.0,2024-03,Q1 2024
77,Cortland North Tucson,2024-03-20,1.38335694776459,0.9027777777777778,1.248863911176366,1.0,2024-03,Q1 2024
78,Cortland North Tucson,2024-03-21,1.3821390023577285,0.8958333333333334,1.2381661896121319,1.0,2024-03,Q1 2024
79,Cortland North Tucson,2024-03-22,1.3821390023577285,0.9027777777777778,1.247764377128505,1.0,2024-03,Q1 2024
80,Cortland North Tucson,2024-03-23,1.3821390023577285,0.9027777777777778,1.247764377128505,1.0,2024-03,Q1 2024
81,Cortland North Tucson,2024-03-24,1.3821390023577285,0.9027777777777778,1.247764377128505,1.0,2024-03,Q1 2024
82,Cortland North Tucson,2024-03-25,1.3821390023577285,0.9027777777777778,1.247764377128505,1.0,2024-03,Q1 2024
83,Cortland North Tucson,2024-03-26,1.3821390023577285,0.9027777777777778,1.247764377128505,1.0,2024-03,Q1 2024
84,Cortland North Tucson,2024-03-27,1.3821390023577285,0.9027777777777778,1.247764377128505,1.0,2024-03,Q1 2024
85,Cortland North Tucson,2024-03-28,1.3821390023577285,0.9027777777777778,1.247764377128505,1.0,2024-03,Q1 2024
86,Cortland North Tucson,2024-03-29,1.386566699020505,0.8958333333333334,1.2421326678725357,1.0,2024-03,Q1 2024
87,Cortland North Tucson,2024-03-30,1.386566699020505,0.9027777777777778,1.2517616032824004,1.0,2024-03,Q1 2024
88,Cortland North Tucson,2024-03-31,1.386566699020505,0.9027777777777778,1.2517616032824004,1.0,2024-03,Q1 2024
89,Cortland North Tucson,2024-04-01,1.386566699020505,0.9027777777777778,1.2517616032824004,1.0,2024-04,Q2 2024
90,Cortland North Tucson,2024-04-02,1.386566699020505,0.9027777777777778,1.2517616032824004,1.0,2024-04,Q2 2024
91,Cortland North Tucson,2024-04-03,1.386566699020505,0.8958333333333334,1.2421326678725357,1.0,2024-04,Q2 2024
92,Cortland North Tucson,2024-04-04,1.3886381854125491,0.8819444444444444,1.224701732968012,1.0,2024-04,Q2 2024
93,Cortland North Tucson,2024-04-05,1.3880585970138204,0.8888888888888888,1.2338298640122847,1.0,2024-04,Q2 2024
94,Cortland North Tucson,2024-04-06,1.3880585970138204,0.8958333333333334,1.2434691598248808,1.0,2024-04,Q2 2024
95,Cortland North Tucson,2024-04-07,1.3880585970138204,0.8958333333333334,1.2434691598248808,1.0,2024-04,Q2 2024
96,Cortland North Tucson,2024-04-08,1.3880585970138204,0.8958333333333334,1.2434691598248808,1.0,2024-04,Q2 2024
97,Cortland North Tucson,2024-04-09,1.3880585970138204,0.8958333333333334,1.2434691598248808,1.0,2024-04,Q2 2024
98,Cortland North Tucson,2024-04-10,1.3880585970138204,0.8958333333333334,1.2434691598248808,1.0,2024-04,Q2 2024
99,Cortland North Tucson,2024-04-11,1.3880585970138204,0.8958333333333334,1.2434691598248808,1.0,2024-04,Q2 2024
100,Cortland North Tucson,2024-04-12,1.3880585970138204,0.8958333333333334,1.2434691598248808,1.0,2024-04,Q2 2024
101,Cortland North Tucson,2024-04-13,1.3880585970138204,0.8958333333333334,1.2434691598248808,1.0,2024-04,Q2 2024
