,property,date,avg_rent_per_sqft,net_leased,rev_pasf,rev_pasf_rank,year_month,quarter
0,Cortland South End,2023-11-17,2.028288066580919,0.9154078549848943,1.8567108283202973,1.0,2023-11,Q4 2023
1,Cortland South End,2023-11-18,2.0278828883182407,0.9214501510574018,1.8685929937675632,1.0,2023-11,Q4 2023
2,Cortland South End,2023-11-19,2.0162805055126634,0.9274924471299093,1.8700849401582706,1.0,2023-11,Q4 2023
3,Cortland South End,2023-11-20,2.0165533967467026,0.9305135951661632,1.8764303510513125,1.0,2023-11,Q4 2023
4,Cortland South End,2023-11-21,2.016514874379821,0.9305135951661632,1.8763945054652111,1.0,2023-11,Q4 2023
5,Cortland South End,2023-11-22,2.016514874379821,0.9305135951661632,1.8763945054652111,1.0,2023-11,Q4 2023
6,Cortland South End,2023-11-23,2.016514874379821,0.9305135951661632,1.8763945054652111,1.0,2023-11,Q4 2023
7,Cortland South End,2023-11-24,2.016514874379821,0.9305135951661632,1.8763945054652111,1.0,2023-11,Q4 2023
8,Cortland South End,2023-11-25,2.016514874379821,0.9305135951661632,1.8763945054652111,1.0,2023-11,Q4 2023
9,Cortland South End,2023-11-26,2.016514874379821,0.9305135951661632,1.8763945054652111,1.0,2023-11,Q4 2023
10,Cortland South End,2023-11-27,2.016514874379821,0.9305135951661632,1.8763945054652111,1.0,2023-11,Q4 2023
11,Cortland South End,2023-11-28,2.016514874379821,0.9305135951661632,1.8763945054652111,1.0,2023-11,Q4 2023
12,Cortland South End,2023-11-29,2.016514874379821,0.9274924471299093,1.8703023155124017,1.0,2023-11,Q4 2023
13,Cortland South End,2023-11-30,2.016514874379821,0.9274924471299093,1.8703023155124017,1.0,2023-11,Q4 2023
14,Cortland South End,2023-12-01,2.0129575428199513,0.9244712990936556,1.860921474631133,1.0,2023-12,Q4 2023
15,Cortland South End,2023-12-02,2.006323555661306,0.9305135951661632,1.8669113448449615,1.0,2023-12,Q4 2023
16,Cortland South End,2023-12-03,2.006323555661306,0.9335347432024169,1.8729727453152372,1.0,2023-12,Q4 2023
17,Cortland South End,2023-12-04,2.006323555661306,0.9335347432024169,1.8729727453152372,1.0,2023-12,Q4 2023
18,Cortland South End,2023-12-05,2.006323555661306,0.9305135951661632,1.8669113448449615,1.0,2023-12,Q4 2023
19,Cortland South End,2023-12-06,2.006323555661306,0.9305135951661632,1.8669113448449615,1.0,2023-12,Q4 2023
20,Cortland South End,2023-12-07,2.006323555661306,0.9305135951661632,1.8669113448449615,1.0,2023-12,Q4 2023
21,Cortland South End,2023-12-08,2.006323555661306,0.9305135951661632,1.8669113448449615,1.0,2023-12,Q4 2023
22,Cortland South End,2023-12-09,2.006323555661306,0.9305135951661632,1.8669113448449615,1.0,2023-12,Q4 2023
23,Cortland South End,2023-12-10,2.006323555661306,0.9305135951661632,1.8669113448449615,1.0,2023-12,Q4 2023
24,Cortland South End,2023-12-11,2.006323555661306,0.9274924471299093,1.8608499443746855,1.0,2023-12,Q4 2023
25,Cortland South End,2023-12-12,2.0026455799396192,0.9274924471299093,1.8574386496720938,1.0,2023-12,Q4 2023
26,Cortland South End,2023-12-13,2.0026455799396192,0.9305135951661632,1.863488938433241,1.0,2023-12,Q4 2023
27,Cortland South End,2023-12-14,2.0026455799396192,0.9305135951661632,1.863488938433241,1.0,2023-12,Q4 2023
28,Cortland South End,2023-12-15,1.9987956333986052,0.9305135951661632,1.8599065108361643,1.0,2023-12,Q4 2023
29,Cortland South End,2023-12-16,1.9987956333986052,0.9335347432024169,1.8659451683388792,1.0,2023-12,Q4 2023
30,Cortland South End,2023-12-17,1.9987956333986052,0.9335347432024169,1.8659451683388792,1.0,2023-12,Q4 2023
31,Cortland South End,2023-12-18,1.9987956333986052,0.9335347432024169,1.8659451683388792,1.0,2023-12,Q4 2023
32,Cortland South End,2023-12-19,2.0006016195625334,0.9305135951661632,1.8615870055143815,1.0,2023-12,Q4 2023
33,Cortland South End,2023-12-20,2.0006016195625334,0.9335347432024169,1.867631119168649,1.0,2023-12,Q4 2023
34,Cortland South End,2023-12-21,2.0006016195625334,0.9335347432024169,1.867631119168649,1.0,2023-12,Q4 2023
35,Cortland South End,2023-12-22,1.9890517970816592,0.9274924471299093,1.844830518743412,1.0,2023-12,Q4 2023
36,Cortland South End,2023-12-23,1.9883095506141417,0.9305135951661632,1.8501490682451833,1.0,2023-12,Q4 2023
37,Cortland South End,2023-12-24,1.9883095506141417,0.9335347432024169,1.8561560457394857,1.0,2023-12,Q4 2023
38,Cortland South End,2023-12-25,1.9883095506141417,0.9335347432024169,1.8561560457394857,1.0,2023-12,Q4 2023
39,Cortland South End,2023-12-26,1.9883095506141417,0.9335347432024169,1.8561560457394857,1.0,2023-12,Q4 2023
40,Cortland South End,2023-12-27,1.984368374111389,0.9305135951661632,1.8464817499284225,1.0,2023-12,Q4 2023
41,Cortland South End,2023-12-28,1.981459458900346,0.9305135951661632,1.8437749647773614,1.0,2023-12,Q4 2023
42,Cortland South End,2023-12-29,1.9774382306722822,0.9335347432024169,1.8460072908692906,1.0,2023-12,Q4 2023
43,Cortland South End,2023-12-30,1.9732732073473815,0.9365558912386707,1.8480806473646172,1.0,2023-12,Q4 2023
44,Cortland South End,2023-12-31,1.976376390374297,0.9425981873111783,1.862928803011422,1.0,2023-12,Q4 2023
45,Cortland South End,2024-01-01,1.972069034036974,0.945619335347432,1.8648266092252956,1.0,2024-01,Q1 2024
46,Cortland South End,2024-01-02,1.972069034036974,0.9486404833836858,1.8707845217148333,1.0,2024-01,Q1 2024
47,Cortland South End,2024-01-03,1.972069034036974,0.945619335347432,1.8648266092252956,1.0,2024-01,Q1 2024
48,Cortland South End,2024-01-04,1.972069034036974,0.9425981873111783,1.858868696735758,1.0,2024-01,Q1 2024
49,Cortland South End,2024-01-05,1.972069034036974,0.9425981873111783,1.858868696735758,1.0,2024-01,Q1 2024
50,Cortland South End,2024-01-06,1.9707920965593366,0.9425981873111783,1.8576650577840272,1.0,2024-01,Q1 2024
51,Cortland South End,2024-01-07,1.9712920106457912,0.9425981873111783,1.8581362758957307,1.0,2024-01,Q1 2024
52,Cortland South End,2024-01-08,1.9712920106457912,0.945619335347432,1.864091840882576,1.0,2024-01,Q1 2024
