,property,date,avg_rent_per_sqft,net_leased,rev_pasf,rev_pasf_rank,year_month,quarter
0,Heights of Benbrook,2023-11-21,1.651590632373644,0.8913043478260869,1.4720699114634652,1.0,2023-11,Q4 2023
1,Heights of Benbrook,2023-11-22,1.651590632373644,0.8944099378881988,1.477199074918042,1.0,2023-11,Q4 2023
2,Heights of Benbrook,2023-11-23,1.6398632216586837,0.8944099378881988,1.4667099622288848,1.0,2023-11,Q4 2023
3,Heights of Benbrook,2023-11-24,1.6398632216586837,0.9037267080745341,1.4819881910021022,1.0,2023-11,Q4 2023
4,Heights of Benbrook,2023-11-25,1.6398632216586837,0.9037267080745341,1.4819881910021022,1.0,2023-11,Q4 2023
5,Heights of Benbrook,2023-11-26,1.6398632216586837,0.9037267080745341,1.4819881910021022,1.0,2023-11,Q4 2023
6,Heights of Benbrook,2023-11-27,1.6398632216586837,0.9037267080745341,1.4819881910021022,1.0,2023-11,Q4 2023
7,Heights of Benbrook,2023-11-28,1.6379864956145287,0.8975155279503105,1.4701183143869527,1.0,2023-11,Q4 2023
8,Heights of Benbrook,2023-11-29,1.6404039488689544,0.8975155279503105,1.4722880162208938,1.0,2023-11,Q4 2023
9,Heights of Benbrook,2023-11-30,1.63102644845194,0.9006211180124224,1.4689368635126168,1.0,2023-11,Q4 2023
10,Heights of Benbrook,2023-12-01,1.63102644845194,0.9037267080745341,1.4740021630419704,1.0,2023-12,Q4 2023
11,Heights of Benbrook,2023-12-02,1.63102644845194,0.9037267080745341,1.4740021630419704,1.0,2023-12,Q4 2023
12,Heights of Benbrook,2023-12-03,1.6322629734150937,0.9037267080745341,1.4751196436763736,1.0,2023-12,Q4 2023
13,Heights of Benbrook,2023-12-04,1.6322629734150937,0.906832298136646,1.4801887833453646,1.0,2023-12,Q4 2023
14,Heights of Benbrook,2023-12-05,1.6322629734150937,0.906832298136646,1.4801887833453646,1.0,2023-12,Q4 2023
15,Heights of Benbrook,2023-12-06,1.6322629734150937,0.906832298136646,1.4801887833453646,1.0,2023-12,Q4 2023
16,Heights of Benbrook,2023-12-07,1.6322629734150937,0.906832298136646,1.4801887833453646,1.0,2023-12,Q4 2023
17,Heights of Benbrook,2023-12-08,1.6322629734150937,0.906832298136646,1.4801887833453646,1.0,2023-12,Q4 2023
18,Heights of Benbrook,2023-12-09,1.6322629734150937,0.9037267080745341,1.4751196436763736,1.0,2023-12,Q4 2023
19,Heights of Benbrook,2023-12-10,1.6322629734150937,0.9037267080745341,1.4751196436763736,1.0,2023-12,Q4 2023
20,Heights of Benbrook,2023-12-11,1.6322629734150937,0.9037267080745341,1.4751196436763736,1.0,2023-12,Q4 2023
21,Heights of Benbrook,2023-12-12,1.6322629734150937,0.9037267080745341,1.4751196436763736,1.0,2023-12,Q4 2023
22,Heights of Benbrook,2023-12-13,1.6322629734150937,0.9037267080745341,1.4751196436763736,1.0,2023-12,Q4 2023
23,Heights of Benbrook,2023-12-14,1.6322629734150937,0.9037267080745341,1.4751196436763736,1.0,2023-12,Q4 2023
24,Heights of Benbrook,2023-12-15,1.6322629734150937,0.9006211180124224,1.4700505040073826,1.0,2023-12,Q4 2023
25,Heights of Benbrook,2023-12-16,1.6322629734150937,0.8975155279503105,1.4649813643383915,1.0,2023-12,Q4 2023
26,Heights of Benbrook,2023-12-17,1.6322629734150937,0.8975155279503105,1.4649813643383915,1.0,2023-12,Q4 2023
27,Heights of Benbrook,2023-12-18,1.631315077177126,0.8975155279503105,1.46413061274593,1.0,2023-12,Q4 2023
28,Heights of Benbrook,2023-12-19,1.631315077177126,0.9006211180124224,1.4691968086377845,1.0,2023-12,Q4 2023
29,Heights of Benbrook,2023-12-20,1.6318385776815394,0.9006211180124224,1.4696682842473492,1.0,2023-12,Q4 2023
30,Heights of Benbrook,2023-12-21,1.627575126741793,0.9006211180124224,1.4658285302954037,1.0,2023-12,Q4 2023
31,Heights of Benbrook,2023-12-22,1.627575126741793,0.9037267080745341,1.4708831114343532,1.0,2023-12,Q4 2023
32,Heights of Benbrook,2023-12-23,1.627575126741793,0.9037267080745341,1.4708831114343532,1.0,2023-12,Q4 2023
33,Heights of Benbrook,2023-12-24,1.627575126741793,0.9037267080745341,1.4708831114343532,1.0,2023-12,Q4 2023
34,Heights of Benbrook,2023-12-25,1.627575126741793,0.9037267080745341,1.4708831114343532,1.0,2023-12,Q4 2023
35,Heights of Benbrook,2023-12-26,1.627575126741793,0.9037267080745341,1.4708831114343532,1.0,2023-12,Q4 2023
36,Heights of Benbrook,2023-12-27,1.627575126741793,0.9006211180124224,1.4658285302954037,1.0,2023-12,Q4 2023
37,Heights of Benbrook,2023-12-28,1.627575126741793,0.9006211180124224,1.4658285302954037,1.0,2023-12,Q4 2023
38,Heights of Benbrook,2023-12-29,1.627575126741793,0.9006211180124224,1.4658285302954037,1.0,2023-12,Q4 2023
39,Heights of Benbrook,2023-12-30,1.627575126741793,0.9006211180124224,1.4658285302954037,1.0,2023-12,Q4 2023
40,Heights of Benbrook,2023-12-31,1.6235513775877344,0.9006211180124224,1.462204656833674,1.0,2023-12,Q4 2023
41,Heights of Benbrook,2024-01-01,1.6235513775877344,0.9037267080745341,1.4672467418572381,1.0,2024-01,Q1 2024
42,Heights of Benbrook,2024-01-02,1.6235513775877344,0.9037267080745341,1.4672467418572381,1.0,2024-01,Q1 2024
43,Heights of Benbrook,2024-01-03,1.620526643832757,0.9037267080745341,1.4645132091780506,1.0,2024-01,Q1 2024
44,Heights of Benbrook,2024-01-04,1.620526643832757,0.906832298136646,1.469545900618525,1.0,2024-01,Q1 2024
45,Heights of Benbrook,2024-01-05,1.620526643832757,0.906832298136646,1.469545900618525,1.0,2024-01,Q1 2024
46,Heights of Benbrook,2024-01-06,1.6177426717239234,0.906832298136646,1.467021304793123,1.0,2024-01,Q1 2024
47,Heights of Benbrook,2024-01-07,1.6177426717239234,0.9099378881987578,1.472045350357483,1.0,2024-01,Q1 2024
48,Heights of Benbrook,2024-01-08,1.6177426717239234,0.9099378881987578,1.472045350357483,1.0,2024-01,Q1 2024
49,Heights of Benbrook,2024-01-09,1.6193115358652355,0.9037267080745341,1.4634150836546072,1.0,2024-01,Q1 2024
50,Heights of Benbrook,2024-01-10,1.6193115358652355,0.906832298136646,1.4684440014678533,1.0,2024-01,Q1 2024
51,Heights of Benbrook,2024-01-11,1.6193115358652355,0.906832298136646,1.4684440014678533,1.0,2024-01,Q1 2024
52,Heights of Benbrook,2024-01-12,1.6201299541967285,0.906832298136646,1.4691861696442383,1.0,2024-01,Q1 2024
53,Heights of Benbrook,2024-01-13,1.6201299541967285,0.9099378881987578,1.4742176291293212,1.0,2024-01,Q1 2024
54,Heights of Benbrook,2024-01-14,1.6201299541967285,0.9099378881987578,1.4742176291293212,1.0,2024-01,Q1 2024
55,Heights of Benbrook,2024-01-15,1.6201299541967285,0.9099378881987578,1.4742176291293212,1.0,2024-01,Q1 2024
56,Heights of Benbrook,2024-01-16,1.6201299541967285,0.9099378881987578,1.4742176291293212,1.0,2024-01,Q1 2024
57,Heights of Benbrook,2024-01-17,1.6201299541967285,0.9099378881987578,1.4742176291293212,1.0,2024-01,Q1 2024
58,Heights of Benbrook,2024-01-18,1.6201299541967285,0.9099378881987578,1.4742176291293212,1.0,2024-01,Q1 2024
59,Heights of Benbrook,2024-01-19,1.621810263275888,0.9099378881987578,1.4757466060243327,1.0,2024-01,Q1 2024
60,Heights of Benbrook,2024-01-20,1.621810263275888,0.9099378881987578,1.4757466060243327,1.0,2024-01,Q1 2024
61,Heights of Benbrook,2024-01-21,1.621810263275888,0.9099378881987578,1.4757466060243327,1.0,2024-01,Q1 2024
62,Heights of Benbrook,2024-01-22,1.621810263275888,0.9099378881987578,1.4757466060243327,1.0,2024-01,Q1 2024
63,Heights of Benbrook,2024-01-23,1.6202849262651144,0.9099378881987578,1.4743586440859582,1.0,2024-01,Q1 2024
64,Heights of Benbrook,2024-01-24,1.6159990953896681,0.906832298136646,1.4654401734589537,1.0,2024-01,Q1 2024
65,Heights of Benbrook,2024-01-25,1.614607440121133,0.906832298136646,1.464178175513574,1.0,2024-01,Q1 2024
66,Heights of Benbrook,2024-01-26,1.614607440121133,0.9099378881987578,1.469192484333826,1.0,2024-01,Q1 2024
67,Heights of Benbrook,2024-01-27,1.6102114336140672,0.906832298136646,1.4601917348301479,1.0,2024-01,Q1 2024
68,Heights of Benbrook,2024-01-28,1.6059431489176805,0.906832298136646,1.4563211164098222,1.0,2024-01,Q1 2024
69,Heights of Benbrook,2024-01-29,1.6059431489176805,0.906832298136646,1.4563211164098222,1.0,2024-01,Q1 2024
70,Heights of Benbrook,2024-01-30,1.6017970994806636,0.9037267080745341,1.4475868197169972,1.0,2024-01,Q1 2024
71,Heights of Benbrook,2024-01-31,1.6017970994806636,0.906832298136646,1.452561344870664,1.0,2024-01,Q1 2024
72,Heights of Benbrook,2024-02-01,1.59604484237165,0.9006211180124224,1.437431690334716,1.0,2024-02,Q1 2024
73,Heights of Benbrook,2024-02-02,1.59604484237165,0.9006211180124224,1.437431690334716,1.0,2024-02,Q1 2024
74,Heights of Benbrook,2024-02-03,1.59604484237165,0.8975155279503105,1.4324750293335615,1.0,2024-02,Q1 2024
75,Heights of Benbrook,2024-02-04,1.5990283080172043,0.8975155279503105,1.435152736077553,1.0,2024-02,Q1 2024
76,Heights of Benbrook,2024-02-05,1.5990283080172043,0.9006211180124224,1.4401186624999667,1.0,2024-02,Q1 2024
77,Heights of Benbrook,2024-02-06,1.595410160172273,0.9006211180124224,1.4368600821427304,1.0,2024-02,Q1 2024
78,Heights of Benbrook,2024-02-07,1.595410160172273,0.9037267080745341,1.4418147720811536,1.0,2024-02,Q1 2024
79,Heights of Benbrook,2024-02-08,1.595410160172273,0.9037267080745341,1.4418147720811536,1.0,2024-02,Q1 2024
80,Heights of Benbrook,2024-02-09,1.595410160172273,0.9037267080745341,1.4418147720811536,1.0,2024-02,Q1 2024
81,Heights of Benbrook,2024-02-10,1.595410160172273,0.8913043478260869,1.4219960123274606,1.0,2024-02,Q1 2024
82,Heights of Benbrook,2024-02-11,1.595410160172273,0.8913043478260869,1.4219960123274606,1.0,2024-02,Q1 2024
83,Heights of Benbrook,2024-02-12,1.591505436049996,0.8726708074534162,1.3888603339442513,1.0,2024-02,Q1 2024
84,Heights of Benbrook,2024-02-13,1.591505436049996,0.8757763975155279,1.393802897410245,1.0,2024-02,Q1 2024
85,Heights of Benbrook,2024-02-14,1.5910381549863029,0.8757763975155279,1.3933936636836566,1.0,2024-02,Q1 2024
86,Heights of Benbrook,2024-02-15,1.5910381549863029,0.8788819875776397,1.3983347759662226,1.0,2024-02,Q1 2024
87,Heights of Benbrook,2024-02-16,1.5910381549863029,0.8788819875776397,1.3983347759662226,1.0,2024-02,Q1 2024
88,Heights of Benbrook,2024-02-17,1.5910381549863029,0.8788819875776397,1.3983347759662226,1.0,2024-02,Q1 2024
89,Heights of Benbrook,2024-02-18,1.5910381549863029,0.8788819875776397,1.3983347759662226,1.0,2024-02,Q1 2024
90,Heights of Benbrook,2024-02-19,1.5910381549863029,0.8788819875776397,1.3983347759662226,1.0,2024-02,Q1 2024
91,Heights of Benbrook,2024-02-20,1.5910381549863029,0.8788819875776397,1.3983347759662226,1.0,2024-02,Q1 2024
92,Heights of Benbrook,2024-02-21,1.587551137993005,0.8788819875776397,1.395270099540436,1.0,2024-02,Q1 2024
93,Heights of Benbrook,2024-02-22,1.5831035110557514,0.8819875776397516,1.3962776308690479,1.0,2024-02,Q1 2024
94,Heights of Benbrook,2024-02-23,1.5831035110557514,0.8850931677018634,1.401194101400277,1.0,2024-02,Q1 2024
95,Heights of Benbrook,2024-02-24,1.5831035110557514,0.8850931677018634,1.401194101400277,1.0,2024-02,Q1 2024
96,Heights of Benbrook,2024-02-25,1.5811850539764876,0.8850931677018634,1.3994960881468912,1.0,2024-02,Q1 2024
97,Heights of Benbrook,2024-02-26,1.5811850539764876,0.8881987577639752,1.4044066007368803,1.0,2024-02,Q1 2024
98,Heights of Benbrook,2024-02-27,1.578386077306634,0.8850931677018634,1.397018733019847,1.0,2024-02,Q1 2024
99,Heights of Benbrook,2024-02-28,1.577958803029784,0.8881987577639752,1.4015410486537834,1.0,2024-02,Q1 2024
100,Heights of Benbrook,2024-02-29,1.5769569509066832,0.8913043478260869,1.4055485866776958,1.0,2024-02,Q1 2024
101,Heights of Benbrook,2024-03-01,1.5769569509066832,0.8944099378881988,1.41044596851281,1.0,2024-03,Q1 2024
102,Heights of Benbrook,2024-03-02,1.5769569509066832,0.8944099378881988,1.41044596851281,1.0,2024-03,Q1 2024
103,Heights of Benbrook,2024-03-03,1.5769569509066832,0.8944099378881988,1.41044596851281,1.0,2024-03,Q1 2024
104,Heights of Benbrook,2024-03-04,1.5769569509066832,0.8913043478260869,1.4055485866776958,1.0,2024-03,Q1 2024
105,Heights of Benbrook,2024-03-05,1.5769569509066832,0.8881987577639752,1.400651204842582,1.0,2024-03,Q1 2024
106,Heights of Benbrook,2024-03-06,1.5769569509066832,0.8881987577639752,1.400651204842582,1.0,2024-03,Q1 2024
107,Heights of Benbrook,2024-03-07,1.5769569509066832,0.8881987577639752,1.400651204842582,1.0,2024-03,Q1 2024
108,Heights of Benbrook,2024-03-08,1.5764815719221352,0.8850931677018634,1.3953330683161758,1.0,2024-03,Q1 2024
109,Heights of Benbrook,2024-03-09,1.567150438027239,0.8819875776397516,1.3822072186327201,1.0,2024-03,Q1 2024
110,Heights of Benbrook,2024-03-10,1.567150438027239,0.8850931677018634,1.3870741454588917,1.0,2024-03,Q1 2024
111,Heights of Benbrook,2024-03-11,1.567150438027239,0.8850931677018634,1.3870741454588917,1.0,2024-03,Q1 2024
112,Heights of Benbrook,2024-03-12,1.567150438027239,0.8788819875776397,1.3773402918065485,1.0,2024-03,Q1 2024
113,Heights of Benbrook,2024-03-13,1.567150438027239,0.8788819875776397,1.3773402918065485,1.0,2024-03,Q1 2024
114,Heights of Benbrook,2024-03-14,1.5691170346784324,0.8788819875776397,1.3790686981801128,1.0,2024-03,Q1 2024
115,Heights of Benbrook,2024-03-15,1.5691170346784324,0.8819875776397516,1.3839417324493006,1.0,2024-03,Q1 2024
116,Heights of Benbrook,2024-03-16,1.5691170346784324,0.8788819875776397,1.3790686981801128,1.0,2024-03,Q1 2024
117,Heights of Benbrook,2024-03-17,1.5641069210569136,0.8788819875776397,1.3746653995624427,1.0,2024-03,Q1 2024
118,Heights of Benbrook,2024-03-18,1.5649866203624059,0.8819875776397516,1.3802987583320598,1.0,2024-03,Q1 2024
119,Heights of Benbrook,2024-03-19,1.5649866203624059,0.8975155279503105,1.404599792809737,1.0,2024-03,Q1 2024
120,Heights of Benbrook,2024-03-20,1.5668675890119383,0.8975155279503105,1.40628799138028,1.0,2024-03,Q1 2024
121,Heights of Benbrook,2024-03-21,1.5668675890119383,0.9006211180124224,1.4111540397933606,1.0,2024-03,Q1 2024
122,Heights of Benbrook,2024-03-22,1.567339727284395,0.9006211180124224,1.411579257492157,1.0,2024-03,Q1 2024
123,Heights of Benbrook,2024-03-23,1.567339727284395,0.906832298136646,1.421314286854172,1.0,2024-03,Q1 2024
124,Heights of Benbrook,2024-03-24,1.567339727284395,0.9037267080745341,1.4164467721731644,1.0,2024-03,Q1 2024
125,Heights of Benbrook,2024-03-25,1.567339727284395,0.9037267080745341,1.4164467721731644,1.0,2024-03,Q1 2024
126,Heights of Benbrook,2024-03-26,1.567339727284395,0.9037267080745341,1.4164467721731644,1.0,2024-03,Q1 2024
127,Heights of Benbrook,2024-03-27,1.567339727284395,0.9037267080745341,1.4164467721731644,1.0,2024-03,Q1 2024
128,Heights of Benbrook,2024-03-28,1.5698871402466066,0.9037267080745341,1.4187489373036102,1.0,2024-03,Q1 2024
129,Heights of Benbrook,2024-03-29,1.5698871402466066,0.906832298136646,1.4236243632049974,1.0,2024-03,Q1 2024
130,Heights of Benbrook,2024-03-30,1.5698871402466066,0.906832298136646,1.4236243632049974,1.0,2024-03,Q1 2024
131,Heights of Benbrook,2024-03-31,1.5698871402466066,0.906832298136646,1.4236243632049974,1.0,2024-03,Q1 2024
132,Heights of Benbrook,2024-04-01,1.5698871402466066,0.906832298136646,1.4236243632049974,1.0,2024-04,Q2 2024
133,Heights of Benbrook,2024-04-02,1.5698871402466066,0.906832298136646,1.4236243632049974,1.0,2024-04,Q2 2024
134,Heights of Benbrook,2024-04-03,1.5698871402466066,0.906832298136646,1.4236243632049974,1.0,2024-04,Q2 2024
135,Heights of Benbrook,2024-04-04,1.5698871402466066,0.906832298136646,1.4236243632049974,1.0,2024-04,Q2 2024
136,Heights of Benbrook,2024-04-05,1.5698871402466066,0.906832298136646,1.4236243632049974,1.0,2024-04,Q2 2024
137,Heights of Benbrook,2024-04-06,1.5723652612847774,0.906832298136646,1.4258716034011025,1.0,2024-04,Q2 2024
138,Heights of Benbrook,2024-04-07,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
139,Heights of Benbrook,2024-04-08,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
140,Heights of Benbrook,2024-04-09,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
141,Heights of Benbrook,2024-04-10,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
142,Heights of Benbrook,2024-04-11,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
143,Heights of Benbrook,2024-04-12,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
144,Heights of Benbrook,2024-04-13,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
145,Heights of Benbrook,2024-04-14,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
146,Heights of Benbrook,2024-04-15,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
147,Heights of Benbrook,2024-04-16,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
148,Heights of Benbrook,2024-04-17,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
149,Heights of Benbrook,2024-04-18,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
150,Heights of Benbrook,2024-04-19,1.5723652612847774,0.9099378881987578,1.4307547253305584,1.0,2024-04,Q2 2024
151,Heights of Benbrook,2024-04-20,1.5769966457482143,0.9099378881987578,1.4349689975286546,1.0,2024-04,Q2 2024
152,Heights of Benbrook,2024-04-21,1.5769966457482143,0.9130434782608696,1.439866502639674,1.0,2024-04,Q2 2024
153,Heights of Benbrook,2024-04-22,1.5769966457482143,0.9130434782608696,1.439866502639674,1.0,2024-04,Q2 2024
154,Heights of Benbrook,2024-04-23,1.5769966457482143,0.9130434782608696,1.439866502639674,1.0,2024-04,Q2 2024
155,Heights of Benbrook,2024-04-24,1.5769966457482143,0.9130434782608696,1.439866502639674,1.0,2024-04,Q2 2024
156,Heights of Benbrook,2024-04-25,1.5769966457482143,0.9130434782608696,1.439866502639674,1.0,2024-04,Q2 2024
157,Heights of Benbrook,2024-04-26,1.5769966457482143,0.9130434782608696,1.439866502639674,1.0,2024-04,Q2 2024
158,Heights of Benbrook,2024-04-27,1.5769966457482143,0.9130434782608696,1.439866502639674,1.0,2024-04,Q2 2024
159,Heights of Benbrook,2024-04-28,1.5769966457482143,0.9130434782608696,1.439866502639674,1.0,2024-04,Q2 2024
160,Heights of Benbrook,2024-04-29,1.5769966457482143,0.9130434782608696,1.439866502639674,1.0,2024-04,Q2 2024
161,Heights of Benbrook,2024-04-30,1.5769966457482143,0.9130434782608696,1.439866502639674,1.0,2024-04,Q2 2024
162,Heights of Benbrook,2024-05-01,1.5769966457482143,0.9130434782608696,1.439866502639674,1.0,2024-05,Q2 2024
163,Heights of Benbrook,2024-05-02,1.5788569477214203,0.9130434782608696,1.4415650392239054,1.0,2024-05,Q2 2024
164,Heights of Benbrook,2024-05-03,1.5818847065047745,0.9161490683229814,1.449242200058722,1.0,2024-05,Q2 2024
165,Heights of Benbrook,2024-05-04,1.5818847065047745,0.9192546583850931,1.4541548854826498,1.0,2024-05,Q2 2024
166,Heights of Benbrook,2024-05-05,1.5818847065047745,0.9192546583850931,1.4541548854826498,1.0,2024-05,Q2 2024
167,Heights of Benbrook,2024-05-06,1.5818847065047745,0.9192546583850931,1.4541548854826498,1.0,2024-05,Q2 2024
168,Heights of Benbrook,2024-05-07,1.5818847065047745,0.9192546583850931,1.4541548854826498,1.0,2024-05,Q2 2024
169,Heights of Benbrook,2024-05-08,1.5818847065047745,0.9161490683229814,1.449242200058722,1.0,2024-05,Q2 2024
170,Heights of Benbrook,2024-05-09,1.5818847065047745,0.9161490683229814,1.449242200058722,1.0,2024-05,Q2 2024
171,Heights of Benbrook,2024-05-10,1.5818847065047745,0.9037267080745341,1.4295914583630105,1.0,2024-05,Q2 2024
172,Heights of Benbrook,2024-05-11,1.5818847065047745,0.9037267080745341,1.4295914583630105,1.0,2024-05,Q2 2024
173,Heights of Benbrook,2024-05-12,1.582852738687596,0.9037267080745341,1.430466294900902,1.0,2024-05,Q2 2024
174,Heights of Benbrook,2024-05-13,1.582852738687596,0.9037267080745341,1.430466294900902,1.0,2024-05,Q2 2024
175,Heights of Benbrook,2024-05-14,1.582852738687596,0.9037267080745341,1.430466294900902,1.0,2024-05,Q2 2024
176,Heights of Benbrook,2024-05-15,1.582852738687596,0.9037267080745341,1.430466294900902,1.0,2024-05,Q2 2024
177,Heights of Benbrook,2024-05-16,1.5792025297775092,0.9006211180124224,1.4222631479362662,1.0,2024-05,Q2 2024
178,Heights of Benbrook,2024-05-17,1.5797692572650215,0.9037267080745341,1.4276796703854697,1.0,2024-05,Q2 2024
179,Heights of Benbrook,2024-05-18,1.5797692572650215,0.906832298136646,1.4325857860912619,1.0,2024-05,Q2 2024
180,Heights of Benbrook,2024-05-19,1.5801995039594336,0.9037267080745341,1.4280684958142709,1.0,2024-05,Q2 2024
181,Heights of Benbrook,2024-05-20,1.5801995039594336,0.906832298136646,1.4329759476899213,1.0,2024-05,Q2 2024
182,Heights of Benbrook,2024-05-21,1.5801995039594336,0.906832298136646,1.4329759476899213,1.0,2024-05,Q2 2024
183,Heights of Benbrook,2024-05-22,1.5805113173652083,0.9037267080745341,1.428350289917005,1.0,2024-05,Q2 2024
184,Heights of Benbrook,2024-05-23,1.580921791805931,0.9099378881987578,1.4385406366432851,1.0,2024-05,Q2 2024
185,Heights of Benbrook,2024-05-24,1.578921780440385,0.9130434782608696,1.4416242343151342,1.0,2024-05,Q2 2024
186,Heights of Benbrook,2024-05-25,1.578921780440385,0.9161490683229814,1.4465277181053218,1.0,2024-05,Q2 2024
187,Heights of Benbrook,2024-05-26,1.5799198153019711,0.9161490683229814,1.4474420668139176,1.0,2024-05,Q2 2024
188,Heights of Benbrook,2024-05-27,1.5799198153019711,0.9192546583850931,1.4523486500912528,1.0,2024-05,Q2 2024
189,Heights of Benbrook,2024-05-28,1.5799198153019711,0.9192546583850931,1.4523486500912528,1.0,2024-05,Q2 2024
190,Heights of Benbrook,2024-05-29,1.5799198153019711,0.9161490683229814,1.4474420668139176,1.0,2024-05,Q2 2024
191,Heights of Benbrook,2024-05-30,1.5799198153019711,0.9161490683229814,1.4474420668139176,1.0,2024-05,Q2 2024
192,Heights of Benbrook,2024-05-31,1.5803051513151063,0.9161490683229814,1.4477950920433427,1.0,2024-05,Q2 2024
193,Heights of Benbrook,2024-06-01,1.5803051513151063,0.9130434782608696,1.4428873120703145,1.0,2024-06,Q2 2024
194,Heights of Benbrook,2024-06-02,1.5799792825676608,0.906832298136646,1.4327762438191212,1.0,2024-06,Q2 2024
195,Heights of Benbrook,2024-06-03,1.5799792825676608,0.9130434782608696,1.4425897797356904,1.0,2024-06,Q2 2024
196,Heights of Benbrook,2024-06-04,1.5799792825676608,0.9099378881987578,1.4376830117774058,1.0,2024-06,Q2 2024
197,Heights of Benbrook,2024-06-05,1.5824194640450686,0.9099378881987578,1.4399034253577798,1.0,2024-06,Q2 2024
198,Heights of Benbrook,2024-06-06,1.5820445425807423,0.9285714285714286,1.4690413609678323,1.0,2024-06,Q2 2024
199,Heights of Benbrook,2024-06-07,1.5820445425807423,0.9316770186335404,1.473954542777089,1.0,2024-06,Q2 2024
200,Heights of Benbrook,2024-06-08,1.5820445425807423,0.9285714285714286,1.4690413609678323,1.0,2024-06,Q2 2024
201,Heights of Benbrook,2024-06-09,1.579673384060434,0.9285714285714286,1.4668395709132602,1.0,2024-06,Q2 2024
202,Heights of Benbrook,2024-06-10,1.579673384060434,0.9316770186335404,1.4717453888761807,1.0,2024-06,Q2 2024
203,Heights of Benbrook,2024-06-11,1.579673384060434,0.9316770186335404,1.4717453888761807,1.0,2024-06,Q2 2024
204,Heights of Benbrook,2024-06-12,1.5795924958885228,0.9316770186335404,1.4716700272253318,1.0,2024-06,Q2 2024
205,Heights of Benbrook,2024-06-13,1.5795924958885228,0.9347826086956522,1.4765755939827496,1.0,2024-06,Q2 2024
206,Heights of Benbrook,2024-06-14,1.5807275018561502,0.9347826086956522,1.4776365778220535,1.0,2024-06,Q2 2024
207,Heights of Benbrook,2024-06-15,1.5807275018561502,0.937888198757764,1.4825456694427246,1.0,2024-06,Q2 2024
208,Heights of Benbrook,2024-06-16,1.5807275018561502,0.937888198757764,1.4825456694427246,1.0,2024-06,Q2 2024
209,Heights of Benbrook,2024-06-17,1.5810042033901397,0.9347826086956522,1.4778952336038262,1.0,2024-06,Q2 2024
210,Heights of Benbrook,2024-06-18,1.5808770761784108,0.9316770186335404,1.47286684116001,1.0,2024-06,Q2 2024
211,Heights of Benbrook,2024-06-19,1.5808770761784108,0.9316770186335404,1.47286684116001,1.0,2024-06,Q2 2024
212,Heights of Benbrook,2024-06-20,1.5808770761784108,0.922360248447205,1.45813817274841,1.0,2024-06,Q2 2024
213,Heights of Benbrook,2024-06-21,1.5808724313585023,0.922360248447205,1.4581338885511652,1.0,2024-06,Q2 2024
214,Heights of Benbrook,2024-06-22,1.5808724313585023,0.9254658385093167,1.4630434302634585,1.0,2024-06,Q2 2024
