building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/06/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/07/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/08/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/09/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/10/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/11/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/12/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/13/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/14/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/15/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/16/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/17/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/18/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/19/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/20/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/21/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/22/2024,False
10X Wellington Club,"Miami-Fort Lauderdale-West Palm Beach, FL",1101,3x2,1295,2745,05/23/2024,False
