building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2732,10/05/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2702,10/06/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2702,10/07/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2707,10/08/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2697,10/09/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2697,10/10/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2697,10/11/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2662,10/12/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2662,10/13/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2657,10/14/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2657,10/15/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2647,10/16/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2642,10/17/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2647,10/18/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2647,10/19/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2642,10/20/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2637,10/21/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2632,10/22/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2627,10/23/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2627,10/24/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2627,10/25/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2612,10/26/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2607,10/27/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2602,10/28/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2597,10/29/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2592,10/30/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2582,10/31/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2562,11/01/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2537,11/02/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2532,11/03/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2532,11/04/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2537,11/05/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2527,11/06/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2542,11/07/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2537,11/08/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2537,11/09/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2527,11/10/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2532,11/11/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2532,11/12/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2522,11/13/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2522,11/14/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2522,11/15/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2517,11/16/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2517,11/17/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2517,11/18/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2512,11/19/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2502,11/20/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2517,11/21/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2522,11/22/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2517,11/23/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2517,11/24/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2517,11/25/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2512,11/26/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2497,11/27/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2512,11/28/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2475,11/29/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2475,11/30/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2465,12/01/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2465,12/02/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2470,12/03/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2470,12/04/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2480,12/05/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2475,12/06/2023,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0203,1x1,880,2475,12/07/2023,True
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2498,02/11/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2488,02/12/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2488,02/13/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2513,02/14/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2513,02/15/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2513,02/16/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2513,02/17/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2508,02/18/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2513,02/19/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2513,02/20/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2473,02/21/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2473,02/22/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2473,02/23/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2473,02/24/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2473,02/25/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2473,02/26/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2423,02/27/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2423,02/28/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2423,03/01/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2423,03/02/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2443,03/03/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2443,03/04/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2508,03/05/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2518,03/06/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2523,03/07/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2528,03/08/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2523,03/09/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2523,03/10/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2523,03/11/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2523,03/12/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2558,03/13/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2553,03/14/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2548,03/15/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2548,03/16/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2548,03/17/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2548,03/18/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2548,03/19/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2553,03/20/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2553,03/21/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2553,03/22/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2553,03/23/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2558,03/24/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2558,03/25/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2553,03/26/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2516,03/27/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2526,03/28/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2521,03/29/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2521,03/30/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2521,03/31/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2521,04/01/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2521,04/02/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2531,04/03/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2568,04/04/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2568,04/05/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2568,04/06/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2573,04/07/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2573,04/08/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2573,04/09/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2558,04/10/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2558,04/11/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2553,04/12/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2553,04/13/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2558,04/14/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2548,04/15/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2548,04/16/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2553,04/17/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2491,04/18/2025,False
1800 Oak,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0205,1x1,643,2501,04/19/2025,False
