building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1258,08/22/2023,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1217,08/23/2023,True
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/13/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/14/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/15/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/16/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/17/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/18/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/19/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/20/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/21/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/22/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/23/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/24/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/25/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1363,08/26/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1393,08/27/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1393,08/28/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1393,08/29/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1393,08/30/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1392,08/31/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1392,09/01/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1392,09/02/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1392,09/03/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1392,09/04/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1392,09/05/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/06/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/07/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/08/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/09/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/10/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/11/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/12/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/13/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/14/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/15/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/16/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1337,09/17/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1254,09/18/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1254,09/19/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1254,09/20/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1226,09/21/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1226,09/22/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1226,09/23/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1226,09/24/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1243,09/25/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1243,09/26/2024,False
3300 Tamarac Apartments,"Denver-Aurora-Lakewood, CO",A-102,1x1,700,1243,09/27/2024,False
