,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,640 North Wells,0501,2x2,1260,4187,01/30/2025,False
1,640 North Wells,0501,2x2,1260,4187,01/31/2025,False
2,640 North Wells,0501,2x2,1260,4187,02/01/2025,False
3,640 North Wells,0501,2x2,1260,4187,02/02/2025,False
4,640 North Wells,0501,2x2,1260,4187,02/03/2025,False
5,640 North Wells,0501,2x2,1260,4187,02/04/2025,False
6,640 North Wells,0501,2x2,1260,4187,02/05/2025,False
7,640 North Wells,0501,2x2,1260,4187,02/06/2025,False
8,640 North Wells,0501,2x2,1260,4187,02/07/2025,False
9,640 North Wells,0501,2x2,1260,4187,02/08/2025,False
10,640 North Wells,0501,2x2,1260,4187,02/09/2025,False
11,640 North Wells,0501,2x2,1260,4187,02/10/2025,False
12,640 North Wells,0501,2x2,1260,4187,02/11/2025,False
13,640 North Wells,0501,2x2,1260,4187,02/12/2025,False
14,640 North Wells,0501,2x2,1260,4187,02/13/2025,False
15,640 North Wells,0501,2x2,1260,4187,02/14/2025,False
16,640 North Wells,0501,2x2,1260,4187,02/15/2025,False
17,640 North Wells,0501,2x2,1260,4187,02/16/2025,False
18,640 North Wells,0501,2x2,1260,4187,02/17/2025,False
19,640 North Wells,0501,2x2,1260,4187,02/18/2025,False
20,640 North Wells,0501,2x2,1260,4187,02/19/2025,False
21,640 North Wells,0501,2x2,1260,4187,02/20/2025,False
22,640 North Wells,0501,2x2,1260,4187,02/21/2025,False
23,640 North Wells,0501,2x2,1260,4187,02/22/2025,False
24,640 North Wells,0501,2x2,1260,4187,02/23/2025,False
25,640 North Wells,0501,2x2,1260,4187,02/24/2025,False
26,640 North Wells,0501,2x2,1260,4282,02/25/2025,False
27,640 North Wells,0501,2x2,1260,4282,02/26/2025,False
28,640 North Wells,0501,2x2,1260,4282,02/27/2025,False
29,640 North Wells,0501,2x2,1260,4282,02/28/2025,False
30,640 North Wells,0501,2x2,1260,4282,03/01/2025,False
31,640 North Wells,0501,2x2,1260,4282,03/02/2025,False
32,640 North Wells,0501,2x2,1260,4282,03/03/2025,False
33,640 North Wells,0501,2x2,1260,4382,03/04/2025,False
34,640 North Wells,0501,2x2,1260,4382,03/05/2025,False
35,640 North Wells,0501,2x2,1260,4382,03/06/2025,False
36,640 North Wells,0501,2x2,1260,4382,03/07/2025,False
37,640 North Wells,0501,2x2,1260,4382,03/08/2025,False
38,640 North Wells,0501,2x2,1260,4382,03/09/2025,False
39,640 North Wells,0501,2x2,1260,4382,03/10/2025,False
40,640 North Wells,0501,2x2,1260,4427,03/11/2025,False
41,640 North Wells,0501,2x2,1260,4427,03/12/2025,False
42,640 North Wells,0501,2x2,1260,4427,03/13/2025,False
43,640 North Wells,0501,2x2,1260,4427,03/14/2025,False
44,640 North Wells,0501,2x2,1260,4427,03/15/2025,False
45,640 North Wells,0501,2x2,1260,4427,03/16/2025,False
46,640 North Wells,0501,2x2,1260,4427,03/17/2025,False
47,640 North Wells,0501,2x2,1260,4457,03/18/2025,False
48,640 North Wells,0501,2x2,1260,4457,03/19/2025,False
49,640 North Wells,0501,2x2,1260,4457,03/20/2025,False
50,640 North Wells,0501,2x2,1260,4457,03/21/2025,False
51,640 North Wells,0501,2x2,1260,4457,03/22/2025,False
52,640 North Wells,0501,2x2,1260,4457,03/23/2025,False
53,640 North Wells,0501,2x2,1260,4457,03/24/2025,False
54,640 North Wells,0501,2x2,1260,4457,03/25/2025,False
55,640 North Wells,0501,2x2,1260,4382,03/26/2025,False
56,640 North Wells,0501,2x2,1260,4367,03/27/2025,False
57,640 North Wells,0501,2x2,1260,4367,03/28/2025,False
58,640 North Wells,0501,2x2,1260,4372,03/29/2025,False
59,640 North Wells,0501,2x2,1260,4372,03/30/2025,False
60,640 North Wells,0501,2x2,1260,4372,03/31/2025,False
61,640 North Wells,0501,2x2,1260,4432,04/01/2025,True
62,640 North Wells,0502,1x1,815,3447,03/29/2025,False
63,640 North Wells,0502,1x1,815,3457,03/30/2025,False
64,640 North Wells,0502,1x1,815,3427,03/31/2025,False
65,640 North Wells,0502,1x1,815,3352,04/01/2025,True
66,640 North Wells,0503,3x2,1600,5272,12/17/2024,False
67,640 North Wells,0503,3x2,1600,5272,12/18/2024,False
68,640 North Wells,0503,3x2,1600,5272,12/19/2024,False
69,640 North Wells,0503,3x2,1600,5272,12/20/2024,False
70,640 North Wells,0503,3x2,1600,5272,12/21/2024,False
71,640 North Wells,0503,3x2,1600,5272,12/22/2024,False
72,640 North Wells,0503,3x2,1600,5272,12/23/2024,False
73,640 North Wells,0503,3x2,1600,5272,12/24/2024,False
74,640 North Wells,0503,3x2,1600,5272,12/25/2024,False
75,640 North Wells,0503,3x2,1600,5272,12/26/2024,False
76,640 North Wells,0503,3x2,1600,5272,12/27/2024,False
77,640 North Wells,0503,3x2,1600,5272,12/28/2024,False
78,640 North Wells,0503,3x2,1600,5272,12/29/2024,False
79,640 North Wells,0503,3x2,1600,5272,12/30/2024,False
80,640 North Wells,0503,3x2,1600,5272,12/31/2024,False
81,640 North Wells,0503,3x2,1600,5272,01/01/2025,False
82,640 North Wells,0503,3x2,1600,5272,01/02/2025,False
83,640 North Wells,0503,3x2,1600,5272,01/03/2025,False
84,640 North Wells,0503,3x2,1600,5272,01/04/2025,False
85,640 North Wells,0503,3x2,1600,5272,01/05/2025,False
86,640 North Wells,0503,3x2,1600,5272,01/06/2025,False
87,640 North Wells,0503,3x2,1600,5272,01/07/2025,False
88,640 North Wells,0503,3x2,1600,5272,01/08/2025,False
89,640 North Wells,0503,3x2,1600,5272,01/09/2025,False
90,640 North Wells,0503,3x2,1600,5272,01/10/2025,False
91,640 North Wells,0503,3x2,1600,5272,01/11/2025,False
92,640 North Wells,0503,3x2,1600,5272,01/12/2025,False
93,640 North Wells,0503,3x2,1600,5272,01/13/2025,True
94,640 North Wells,0602,1x1,775,2710,06/19/2024,False
95,640 North Wells,0602,1x1,775,2705,06/20/2024,False
96,640 North Wells,0602,1x1,775,2700,06/21/2024,False
97,640 North Wells,0602,1x1,775,2685,06/22/2024,False
98,640 North Wells,0602,1x1,775,2655,06/23/2024,False
99,640 North Wells,0602,1x1,775,2625,06/24/2024,False
100,640 North Wells,0602,1x1,775,2600,06/25/2024,False
101,640 North Wells,0602,1x1,775,2395,06/26/2024,False
102,640 North Wells,0602,1x1,775,2420,06/27/2024,False
103,640 North Wells,0602,1x1,775,2420,06/28/2024,True
104,640 North Wells,0603,2x2,1445,4425,06/17/2023,False
105,640 North Wells,0603,2x2,1445,4425,06/18/2023,False
106,640 North Wells,0603,2x2,1445,4420,06/19/2023,False
107,640 North Wells,0603,2x2,1445,4405,06/20/2023,False
108,640 North Wells,0603,2x2,1445,4405,06/21/2023,False
109,640 North Wells,0603,2x2,1445,4465,06/22/2023,False
110,640 North Wells,0603,2x2,1445,4465,06/23/2023,False
111,640 North Wells,0603,2x2,1445,4465,06/24/2023,False
