,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,92 West Paces,3005,3x2,1426,3260,06/06/2024,False
1,92 West Paces,3005,3x2,1426,3260,06/07/2024,False
2,92 West Paces,3005,3x2,1426,3260,06/08/2024,False
3,92 West Paces,3005,3x2,1426,3260,06/09/2024,False
4,92 West Paces,3005,3x2,1426,3260,06/10/2024,False
5,92 West Paces,3005,3x2,1426,3260,06/11/2024,False
6,92 West Paces,3005,3x2,1426,3260,06/12/2024,False
7,92 West Paces,3005,3x2,1426,3260,06/13/2024,False
8,92 West Paces,3005,3x2,1426,3260,06/14/2024,True
9,92 West Paces,3010,2x2,1175,2720,06/17/2023,False
10,92 West Paces,3010,2x2,1175,2720,06/18/2023,False
11,92 West Paces,3010,2x2,1175,2733,06/19/2023,False
12,92 West Paces,3010,2x2,1175,2714,06/20/2023,False
13,92 West Paces,3010,2x2,1175,2728,06/21/2023,False
14,92 West Paces,3010,2x2,1175,2773,06/22/2023,False
15,92 West Paces,3010,2x2,1175,2773,06/23/2023,False
16,92 West Paces,3010,2x2,1175,2763,06/24/2023,False
17,92 West Paces,3010,2x2,1175,2804,06/25/2023,False
18,92 West Paces,3010,2x2,1175,2817,06/26/2023,False
19,92 West Paces,3010,2x2,1175,2817,06/27/2023,False
20,92 West Paces,3010,2x2,1175,2817,06/28/2023,False
21,92 West Paces,3010,2x2,1175,2858,06/29/2023,False
22,92 West Paces,3010,2x2,1175,2884,06/30/2023,False
23,92 West Paces,3010,2x2,1175,2884,07/01/2023,False
24,92 West Paces,3010,2x2,1175,2839,07/02/2023,False
25,92 West Paces,3010,2x2,1175,2783,07/03/2023,False
26,92 West Paces,3010,2x2,1175,2745,07/04/2023,False
27,92 West Paces,3010,2x2,1175,2723,07/05/2023,False
28,92 West Paces,3010,2x2,1175,2729,07/06/2023,False
29,92 West Paces,3010,2x2,1175,2708,07/07/2023,False
30,92 West Paces,3010,2x2,1175,2708,07/08/2023,False
31,92 West Paces,3010,2x2,1175,2708,07/09/2023,False
32,92 West Paces,3010,2x2,1175,2708,07/10/2023,False
33,92 West Paces,3010,2x2,1175,2708,07/11/2023,False
34,92 West Paces,3010,2x2,1175,2708,07/12/2023,False
35,92 West Paces,3010,2x2,1175,2708,07/13/2023,False
36,92 West Paces,3010,2x2,1175,2708,07/14/2023,False
37,92 West Paces,3010,2x2,1175,2710,07/15/2023,False
38,92 West Paces,3010,2x2,1175,2748,07/16/2023,False
39,92 West Paces,3010,2x2,1175,2780,07/17/2023,False
40,92 West Paces,3010,2x2,1175,2783,07/18/2023,False
41,92 West Paces,3010,2x2,1175,2841,07/19/2023,False
42,92 West Paces,3010,2x2,1175,2871,07/20/2023,False
43,92 West Paces,3010,2x2,1175,2886,07/21/2023,False
44,92 West Paces,3010,2x2,1175,2902,07/22/2023,False
45,92 West Paces,3010,2x2,1175,2905,07/23/2023,False
46,92 West Paces,3010,2x2,1175,2908,07/24/2023,False
47,92 West Paces,3010,2x2,1175,2911,07/25/2023,False
48,92 West Paces,3010,2x2,1175,2939,07/26/2023,False
49,92 West Paces,3010,2x2,1175,2939,07/27/2023,False
50,92 West Paces,3010,2x2,1175,2953,07/28/2023,False
51,92 West Paces,3010,2x2,1175,2956,07/29/2023,False
52,92 West Paces,3010,2x2,1175,2959,07/30/2023,False
53,92 West Paces,3010,2x2,1175,2962,07/31/2023,False
54,92 West Paces,3010,2x2,1175,2965,08/01/2023,False
55,92 West Paces,3010,2x2,1175,2934,08/02/2023,False
56,92 West Paces,3010,2x2,1175,2937,08/03/2023,False
57,92 West Paces,3010,2x2,1175,2945,08/04/2023,False
58,92 West Paces,3010,2x2,1175,2948,08/05/2023,False
59,92 West Paces,3010,2x2,1175,2951,08/06/2023,False
60,92 West Paces,3010,2x2,1175,2954,08/07/2023,False
61,92 West Paces,3010,2x2,1175,2957,08/08/2023,False
62,92 West Paces,3010,2x2,1175,2972,08/09/2023,False
63,92 West Paces,3010,2x2,1175,2972,08/10/2023,False
64,92 West Paces,3010,2x2,1175,2977,08/11/2023,False
65,92 West Paces,3010,2x2,1175,2982,08/12/2023,False
66,92 West Paces,3010,2x2,1175,2987,08/13/2023,False
67,92 West Paces,3010,2x2,1175,2992,08/14/2023,False
68,92 West Paces,3010,2x2,1175,2997,08/15/2023,False
69,92 West Paces,3010,2x2,1175,3002,08/16/2023,False
70,92 West Paces,3010,2x2,1175,2956,08/17/2023,False
71,92 West Paces,3010,2x2,1175,2914,08/18/2023,False
72,92 West Paces,3010,2x2,1175,2874,08/19/2023,False
73,92 West Paces,3010,2x2,1175,2837,08/20/2023,False
74,92 West Paces,3010,2x2,1175,2803,08/21/2023,False
75,92 West Paces,3010,2x2,1175,2791,08/22/2023,False
76,92 West Paces,3010,2x2,1175,2746,08/23/2023,False
77,92 West Paces,3010,2x2,1175,2746,08/24/2023,False
78,92 West Paces,3010,2x2,1175,2744,08/25/2023,False
79,92 West Paces,3010,2x2,1175,2727,08/26/2023,False
80,92 West Paces,3010,2x2,1175,2732,08/27/2023,False
81,92 West Paces,3010,2x2,1175,2737,08/28/2023,False
82,92 West Paces,3010,2x2,1175,2742,08/29/2023,False
83,92 West Paces,3010,2x2,1175,2725,08/30/2023,False
84,92 West Paces,3010,2x2,1175,2731,08/31/2023,False
85,92 West Paces,3010,2x2,1175,2736,09/01/2023,False
86,92 West Paces,3010,2x2,1175,2738,09/02/2023,False
87,92 West Paces,3010,2x2,1175,2754,09/03/2023,False
88,92 West Paces,3010,2x2,1175,2750,09/04/2023,False
89,92 West Paces,3010,2x2,1175,2750,09/05/2023,False
90,92 West Paces,3010,2x2,1175,2753,09/06/2023,False
91,92 West Paces,3010,2x2,1175,2749,09/07/2023,False
92,92 West Paces,3010,2x2,1175,2754,09/08/2023,False
93,92 West Paces,3010,2x2,1175,2750,09/09/2023,False
94,92 West Paces,3010,2x2,1175,2748,09/10/2023,False
95,92 West Paces,3010,2x2,1175,2753,09/11/2023,False
96,92 West Paces,3010,2x2,1175,2736,09/12/2023,False
97,92 West Paces,3010,2x2,1175,2741,09/13/2023,False
98,92 West Paces,3010,2x2,1175,2707,09/14/2023,False
99,92 West Paces,3010,2x2,1175,2712,09/15/2023,False
100,92 West Paces,3010,2x2,1175,2707,09/16/2023,False
101,92 West Paces,3010,2x2,1175,2696,09/17/2023,False
102,92 West Paces,3010,2x2,1175,2701,09/18/2023,False
103,92 West Paces,3010,2x2,1175,2696,09/19/2023,False
104,92 West Paces,3010,2x2,1175,2701,09/20/2023,False
105,92 West Paces,3010,2x2,1175,2685,09/21/2023,False
106,92 West Paces,3010,2x2,1175,2685,09/22/2023,False
107,92 West Paces,3010,2x2,1175,2714,09/23/2023,False
108,92 West Paces,3010,2x2,1175,2714,09/24/2023,False
109,92 West Paces,3010,2x2,1175,2714,09/25/2023,False
110,92 West Paces,3010,2x2,1175,2714,09/26/2023,False
111,92 West Paces,3010,2x2,1175,2552,09/27/2023,False
112,92 West Paces,3010,2x2,1175,2552,09/28/2023,False
113,92 West Paces,3010,2x2,1175,2552,09/29/2023,False
114,92 West Paces,3010,2x2,1175,2552,09/30/2023,False
115,92 West Paces,3010,2x2,1175,2502,10/01/2023,False
116,92 West Paces,3010,2x2,1175,2502,10/02/2023,False
117,92 West Paces,3010,2x2,1175,2501,10/03/2023,False
118,92 West Paces,3010,2x2,1175,2501,10/04/2023,False
119,92 West Paces,3010,2x2,1175,2501,10/05/2023,False
