building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,08/22/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,08/23/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,08/24/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,08/25/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,08/26/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,08/27/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,08/28/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,08/29/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,08/30/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,08/31/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,09/01/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,09/02/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,09/03/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,09/04/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,09/05/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,09/06/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,09/07/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1595,09/08/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1495,09/09/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1495,09/10/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1495,09/11/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1495,09/12/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1495,09/13/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1495,09/14/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1495,09/15/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1495,09/16/2023,False
925 N Halifax Avenue,"Orlando-Kissimmee-Sanford, FL",1005,1x1.5,822,1495,09/17/2023,False
