,building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/17/2023,False
1,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/18/2023,False
2,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/19/2023,False
3,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/20/2023,False
4,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/21/2023,False
5,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/22/2023,False
6,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/23/2023,False
7,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/24/2023,False
8,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/25/2023,False
9,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/26/2023,False
10,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/27/2023,False
11,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/28/2023,False
12,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/29/2023,False
13,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/30/2023,False
14,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,10/31/2023,False
15,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/01/2023,False
16,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/02/2023,False
17,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/03/2023,False
18,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/04/2023,False
19,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/05/2023,False
20,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/06/2023,False
21,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/07/2023,False
22,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/08/2023,False
23,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/09/2023,False
24,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/10/2023,False
25,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/11/2023,False
26,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/12/2023,False
27,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/13/2023,False
28,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/14/2023,False
29,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/15/2023,False
30,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/16/2023,False
31,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/17/2023,False
32,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/18/2023,False
33,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/19/2023,False
34,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,11/20/2023,False
35,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/21/2023,False
36,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/22/2023,False
37,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/23/2023,False
38,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/24/2023,False
39,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/25/2023,False
40,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/26/2023,False
41,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/27/2023,False
42,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/28/2023,False
43,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/29/2023,False
44,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,11/30/2023,False
45,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,12/01/2023,False
46,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,12/02/2023,False
47,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2754,12/03/2023,False
48,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2753,12/04/2023,False
49,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,12/05/2023,False
50,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,12/06/2023,False
51,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/07/2023,False
52,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/08/2023,False
53,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/09/2023,False
54,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/10/2023,False
55,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/11/2023,False
56,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/12/2023,False
57,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/13/2023,False
58,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/14/2023,False
59,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/15/2023,False
60,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/16/2023,False
61,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/17/2023,False
62,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/18/2023,False
63,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2751,12/19/2023,False
64,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2750,12/20/2023,False
65,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,12/21/2023,False
66,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,12/22/2023,False
67,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,12/23/2023,False
68,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,12/24/2023,False
69,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,12/25/2023,False
70,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,12/26/2023,False
71,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,12/27/2023,False
72,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,12/28/2023,False
73,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,12/29/2023,False
74,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,12/30/2023,False
75,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,12/31/2023,False
76,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,01/01/2024,False
77,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,01/02/2024,False
78,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,01/03/2024,False
79,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,01/04/2024,False
80,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,01/05/2024,False
81,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,01/06/2024,False
82,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2749,01/07/2024,False
83,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2752,01/08/2024,False
84,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2755,01/09/2024,False
85,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/10/2024,False
86,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/11/2024,False
87,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/12/2024,False
88,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/13/2024,False
89,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/14/2024,False
90,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/15/2024,False
91,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/16/2024,False
92,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/17/2024,False
93,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/18/2024,False
94,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/19/2024,False
95,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/20/2024,False
96,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/21/2024,False
97,Abberly Alston,"Durham-Chapel Hill, NC",1000,3x2.5,2000,2743,01/22/2024,False
