,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Advenir at Boulder Creek,1-1201,2x2,1079,1814,10/04/2023,False
1,Advenir at Boulder Creek,1-1201,2x2,1079,1814,10/05/2023,False
2,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/06/2023,False
3,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/07/2023,False
4,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/08/2023,False
5,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/09/2023,False
6,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/10/2023,False
7,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/11/2023,False
8,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/12/2023,False
9,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/13/2023,False
10,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/14/2023,False
11,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/15/2023,False
12,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/16/2023,False
13,Advenir at Boulder Creek,1-1201,2x2,1079,1789,10/17/2023,False
14,Advenir at Boulder Creek,1-1201,2x2,1079,1764,10/18/2023,False
15,Advenir at Boulder Creek,1-1201,2x2,1079,1764,10/19/2023,False
16,Advenir at Boulder Creek,1-1201,2x2,1079,1764,10/20/2023,False
17,Advenir at Boulder Creek,1-1201,2x2,1079,1764,10/21/2023,False
18,Advenir at Boulder Creek,1-1201,2x2,1079,1764,10/22/2023,False
19,Advenir at Boulder Creek,1-1201,2x2,1079,1764,10/23/2023,False
20,Advenir at Boulder Creek,1-1201,2x2,1079,1764,10/24/2023,False
21,Advenir at Boulder Creek,1-1201,2x2,1079,1764,10/25/2023,False
22,Advenir at Boulder Creek,1-1201,2x2,1079,1719,10/26/2023,False
23,Advenir at Boulder Creek,1-1201,2x2,1079,1719,10/27/2023,False
24,Advenir at Boulder Creek,1-1201,2x2,1079,1719,10/28/2023,False
25,Advenir at Boulder Creek,1-1201,2x2,1079,1719,10/29/2023,False
26,Advenir at Boulder Creek,1-1201,2x2,1079,1719,10/30/2023,False
27,Advenir at Boulder Creek,1-1201,2x2,1079,1719,10/31/2023,False
28,Advenir at Boulder Creek,1-1201,2x2,1079,1719,11/01/2023,False
29,Advenir at Boulder Creek,1-1201,2x2,1079,1719,11/02/2023,False
30,Advenir at Boulder Creek,1-1201,2x2,1079,1719,11/03/2023,False
31,Advenir at Boulder Creek,1-1201,2x2,1079,1719,11/04/2023,True
32,Advenir at Boulder Creek,1-1207,1x1,710,1395,12/27/2023,False
33,Advenir at Boulder Creek,1-1207,1x1,710,1395,12/28/2023,True
34,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/04/2024,False
35,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/05/2024,False
36,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/06/2024,False
37,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/07/2024,False
38,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/08/2024,False
39,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/09/2024,False
40,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/10/2024,False
41,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/11/2024,False
42,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/12/2024,False
43,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/13/2024,False
44,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/14/2024,False
45,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/15/2024,False
46,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/16/2024,False
47,Advenir at Boulder Creek,1-1208,1x1,686,1315,01/17/2024,False
48,Advenir at Boulder Creek,1-1208,1x1,686,1365,01/18/2024,False
49,Advenir at Boulder Creek,1-1208,1x1,686,1365,01/19/2024,False
50,Advenir at Boulder Creek,1-1208,1x1,686,1365,01/20/2024,True
51,Advenir at Boulder Creek,1-1309,1x1,805,1405,07/18/2023,False
52,Advenir at Boulder Creek,1-1309,1x1,805,1405,07/19/2023,False
53,Advenir at Boulder Creek,1-1309,1x1,805,1405,07/20/2023,False
54,Advenir at Boulder Creek,1-1309,1x1,805,1405,07/21/2023,False
55,Advenir at Boulder Creek,1-1309,1x1,805,1405,07/22/2023,False
56,Advenir at Boulder Creek,1-1309,1x1,805,1405,07/23/2023,False
57,Advenir at Boulder Creek,1-1309,1x1,805,1405,07/24/2023,False
58,Advenir at Boulder Creek,1-1309,1x1,805,1405,07/25/2023,False
