,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Altair,A101,1x1,1422,2270,10/10/2023,False
1,Altair,A101,1x1,1422,2270,10/11/2023,False
2,Altair,A101,1x1,1422,2270,10/12/2023,False
3,Altair,A101,1x1,1422,2270,10/13/2023,False
4,Altair,A101,1x1,1422,1983,10/14/2023,False
5,Altair,A101,1x1,1422,1983,10/15/2023,False
6,Altair,A101,1x1,1422,1983,10/16/2023,False
7,Altair,A101,1x1,1422,1983,10/17/2023,False
8,Altair,A101,1x1,1422,1983,10/18/2023,False
9,Altair,A101,1x1,1422,1983,10/19/2023,False
10,Altair,A101,1x1,1422,1983,10/20/2023,False
11,Altair,A101,1x1,1422,1983,10/21/2023,False
12,Altair,A101,1x1,1422,1983,10/22/2023,False
13,Altair,A101,1x1,1422,1983,10/23/2023,False
14,Altair,A101,1x1,1422,1983,10/24/2023,False
15,Altair,A101,1x1,1422,1983,10/25/2023,False
16,Altair,A101,1x1,1422,1983,10/26/2023,False
17,Altair,A101,1x1,1422,1983,10/27/2023,False
18,Altair,A101,1x1,1422,1983,10/28/2023,False
19,Altair,A101,1x1,1422,1983,10/29/2023,False
20,Altair,A101,1x1,1422,1983,10/30/2023,False
21,Altair,A101,1x1,1422,1983,10/31/2023,False
22,Altair,A101,1x1,1422,1983,11/01/2023,False
23,Altair,A101,1x1,1422,1983,11/02/2023,False
24,Altair,A101,1x1,1422,1983,11/03/2023,False
25,Altair,A101,1x1,1422,1983,11/04/2023,False
26,Altair,A101,1x1,1422,1983,11/05/2023,False
27,Altair,A101,1x1,1422,1983,11/06/2023,False
28,Altair,A101,1x1,1422,1983,11/07/2023,False
29,Altair,A101,1x1,1422,1983,11/08/2023,False
30,Altair,A101,1x1,1422,1983,11/09/2023,False
31,Altair,A101,1x1,1422,2270,11/10/2023,False
32,Altair,A101,1x1,1422,2270,11/11/2023,False
33,Altair,A101,1x1,1422,2270,11/12/2023,False
34,Altair,A101,1x1,1422,2270,11/13/2023,False
35,Altair,A101,1x1,1422,2270,11/14/2023,False
36,Altair,A101,1x1,1422,2270,11/15/2023,False
37,Altair,A101,1x1,1422,2270,11/16/2023,False
38,Altair,A101,1x1,1422,2270,11/17/2023,False
39,Altair,A101,1x1,1422,2008,11/18/2023,False
40,Altair,A101,1x1,1422,2270,11/19/2023,False
41,Altair,A101,1x1,1422,2270,11/20/2023,False
42,Altair,A101,1x1,1422,2270,11/21/2023,False
43,Altair,A101,1x1,1422,2270,11/22/2023,False
44,Altair,A101,1x1,1422,2008,11/23/2023,False
45,Altair,A101,1x1,1422,2270,11/24/2023,False
46,Altair,A101,1x1,1422,2270,11/25/2023,False
47,Altair,A101,1x1,1422,2270,11/26/2023,False
48,Altair,A101,1x1,1422,2270,11/27/2023,False
49,Altair,A101,1x1,1422,2008,11/28/2023,False
50,Altair,A101,1x1,1422,2270,11/29/2023,False
51,Altair,A101,1x1,1422,2270,11/30/2023,False
52,Altair,A101,1x1,1422,2270,12/01/2023,False
53,Altair,A101,1x1,1422,2270,12/02/2023,False
54,Altair,A101,1x1,1422,2270,12/03/2023,False
55,Altair,A101,1x1,1422,2270,12/04/2023,False
56,Altair,A101,1x1,1422,2270,12/05/2023,False
57,Altair,A101,1x1,1422,2270,12/06/2023,False
58,Altair,A101,1x1,1422,2270,12/07/2023,False
59,Altair,A101,1x1,1422,2270,12/08/2023,False
60,Altair,A101,1x1,1422,2270,12/09/2023,False
61,Altair,A101,1x1,1422,2270,12/10/2023,False
62,Altair,A101,1x1,1422,2270,12/11/2023,False
63,Altair,A101,1x1,1422,2270,12/12/2023,False
64,Altair,A101,1x1,1422,2270,12/13/2023,False
65,Altair,A101,1x1,1422,2270,12/14/2023,False
66,Altair,A101,1x1,1422,2270,12/15/2023,False
67,Altair,A101,1x1,1422,2270,12/16/2023,False
68,Altair,A101,1x1,1422,2270,12/17/2023,False
69,Altair,A101,1x1,1422,2270,12/18/2023,False
70,Altair,A101,1x1,1422,2270,12/19/2023,False
71,Altair,A101,1x1,1422,2270,12/20/2023,False
72,Altair,A101,1x1,1422,2270,12/21/2023,False
73,Altair,A101,1x1,1422,2270,12/22/2023,False
74,Altair,A101,1x1,1422,2270,12/23/2023,False
75,Altair,A101,1x1,1422,2270,12/24/2023,False
76,Altair,A101,1x1,1422,2270,12/25/2023,False
77,Altair,A101,1x1,1422,2270,12/26/2023,False
78,Altair,A101,1x1,1422,2270,12/27/2023,False
79,Altair,A101,1x1,1422,2270,12/28/2023,False
80,Altair,A101,1x1,1422,2270,12/29/2023,False
81,Altair,A101,1x1,1422,2008,12/30/2023,False
82,Altair,A101,1x1,1422,2008,12/31/2023,False
83,Altair,A101,1x1,1422,2008,01/01/2024,False
84,Altair,A101,1x1,1422,2008,01/02/2024,False
85,Altair,A101,1x1,1422,2008,01/03/2024,True
86,Altair,A101,1x1,1422,2008,04/04/2024,False
87,Altair,A101,1x1,1422,2270,04/05/2024,False
88,Altair,A101,1x1,1422,2270,04/06/2024,False
89,Altair,A101,1x1,1422,2270,04/07/2024,False
90,Altair,A101,1x1,1422,2270,04/08/2024,False
91,Altair,A101,1x1,1422,2270,04/09/2024,False
92,Altair,A101,1x1,1422,2270,04/10/2024,False
93,Altair,A101,1x1,1422,2270,04/11/2024,False
94,Altair,A101,1x1,1422,2270,04/12/2024,False
95,Altair,A101,1x1,1422,2270,04/13/2024,False
96,Altair,A101,1x1,1422,2270,04/14/2024,False
97,Altair,A101,1x1,1422,2270,04/15/2024,False
98,Altair,A101,1x1,1422,2270,04/16/2024,False
99,Altair,A101,1x1,1422,2270,04/17/2024,False
100,Altair,A101,1x1,1422,2270,04/18/2024,False
101,Altair,A101,1x1,1422,2270,04/19/2024,False
102,Altair,A101,1x1,1422,2270,04/20/2024,False
103,Altair,A101,1x1,1422,2270,04/21/2024,False
104,Altair,A101,1x1,1422,2270,04/22/2024,False
105,Altair,A101,1x1,1422,2008,04/23/2024,False
106,Altair,A101,1x1,1422,2008,04/24/2024,False
107,Altair,A101,1x1,1422,2270,04/25/2024,False
108,Altair,A101,1x1,1422,2270,04/26/2024,False
109,Altair,A101,1x1,1422,2270,04/27/2024,False
110,Altair,A101,1x1,1422,2270,04/28/2024,False
111,Altair,A101,1x1,1422,2270,04/29/2024,False
112,Altair,A101,1x1,1422,2270,04/30/2024,False
113,Altair,A101,1x1,1422,2270,05/01/2024,False
114,Altair,A101,1x1,1422,2270,05/02/2024,False
115,Altair,A101,1x1,1422,2270,05/03/2024,False
116,Altair,A101,1x1,1422,2270,05/04/2024,False
117,Altair,A101,1x1,1422,2270,05/05/2024,False
118,Altair,A101,1x1,1422,2270,05/06/2024,False
119,Altair,A101,1x1,1422,2270,05/07/2024,False
120,Altair,A101,1x1,1422,2270,05/08/2024,False
121,Altair,A101,1x1,1422,2270,05/09/2024,False
122,Altair,A101,1x1,1422,2270,05/10/2024,False
123,Altair,A101,1x1,1422,2270,05/11/2024,False
124,Altair,A101,1x1,1422,2270,05/12/2024,False
125,Altair,A101,1x1,1422,2270,05/13/2024,False
126,Altair,A101,1x1,1422,2270,05/14/2024,False
127,Altair,A101,1x1,1422,2270,05/15/2024,False
128,Altair,A101,1x1,1422,2270,05/16/2024,False
129,Altair,A101,1x1,1422,2270,05/17/2024,False
130,Altair,A101,1x1,1422,2270,05/18/2024,False
131,Altair,A101,1x1,1422,2270,05/19/2024,False
132,Altair,A101,1x1,1422,2270,05/20/2024,False
133,Altair,A101,1x1,1422,2270,05/21/2024,False
134,Altair,A101,1x1,1422,2270,05/22/2024,False
135,Altair,A101,1x1,1422,2270,05/23/2024,False
136,Altair,A101,1x1,1422,2270,05/24/2024,False
137,Altair,A101,1x1,1422,2270,05/25/2024,False
138,Altair,A101,1x1,1422,2270,05/26/2024,False
139,Altair,A101,1x1,1422,2270,05/27/2024,False
140,Altair,A101,1x1,1422,2270,05/28/2024,False
141,Altair,A101,1x1,1422,2270,05/29/2024,False
142,Altair,A101,1x1,1422,2270,05/30/2024,False
143,Altair,A101,1x1,1422,2270,05/31/2024,False
144,Altair,A101,1x1,1422,2270,06/01/2024,False
145,Altair,A101,1x1,1422,2270,06/02/2024,False
146,Altair,A101,1x1,1422,2270,06/03/2024,False
147,Altair,A101,1x1,1422,2270,06/04/2024,False
148,Altair,A101,1x1,1422,2270,06/05/2024,False
149,Altair,A101,1x1,1422,2270,06/06/2024,False
150,Altair,A101,1x1,1422,2270,06/07/2024,False
151,Altair,A101,1x1,1422,2270,06/08/2024,False
152,Altair,A101,1x1,1422,2270,06/09/2024,False
153,Altair,A101,1x1,1422,2270,06/10/2024,False
154,Altair,A101,1x1,1422,2270,06/11/2024,False
155,Altair,A101,1x1,1422,1925,06/12/2024,True
156,Altair,A103,2x2,2165,2620,10/10/2023,False
157,Altair,A103,2x2,2165,2620,10/11/2023,False
158,Altair,A103,2x2,2165,2620,10/12/2023,False
159,Altair,A103,2x2,2165,2620,10/13/2023,False
160,Altair,A103,2x2,2165,2292,10/14/2023,False
161,Altair,A103,2x2,2165,2292,10/15/2023,False
162,Altair,A103,2x2,2165,2292,10/16/2023,False
163,Altair,A103,2x2,2165,2292,10/17/2023,False
164,Altair,A103,2x2,2165,2292,10/18/2023,False
165,Altair,A103,2x2,2165,2292,10/19/2023,False
166,Altair,A103,2x2,2165,2292,10/20/2023,False
167,Altair,A103,2x2,2165,2292,10/21/2023,False
168,Altair,A103,2x2,2165,2292,10/22/2023,False
169,Altair,A103,2x2,2165,2292,10/23/2023,False
170,Altair,A103,2x2,2165,2292,10/24/2023,False
171,Altair,A103,2x2,2165,2292,10/25/2023,False
172,Altair,A103,2x2,2165,2292,10/26/2023,False
173,Altair,A103,2x2,2165,2292,10/27/2023,False
174,Altair,A103,2x2,2165,2292,10/28/2023,False
175,Altair,A103,2x2,2165,2292,10/29/2023,False
176,Altair,A103,2x2,2165,2292,10/30/2023,False
177,Altair,A103,2x2,2165,2292,10/31/2023,False
178,Altair,A103,2x2,2165,2292,11/01/2023,False
179,Altair,A103,2x2,2165,2292,11/02/2023,False
180,Altair,A103,2x2,2165,2292,11/03/2023,False
181,Altair,A103,2x2,2165,2292,11/04/2023,False
182,Altair,A103,2x2,2165,2292,11/05/2023,False
183,Altair,A103,2x2,2165,2292,11/06/2023,False
184,Altair,A103,2x2,2165,2292,11/07/2023,False
185,Altair,A103,2x2,2165,2292,11/08/2023,False
186,Altair,A103,2x2,2165,2292,11/09/2023,False
