building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/16/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/17/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/18/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/19/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/20/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/21/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/22/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/23/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/24/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/25/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/26/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/27/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/28/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/29/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/30/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,01/31/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/01/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/02/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/03/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/04/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/05/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/06/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/07/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/08/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/09/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/10/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/11/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/12/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/13/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/14/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/15/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/16/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/17/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/18/2025,False
Altamira Apartments,"Tucson, AZ",125,0x1,400,925,02/19/2025,True
Altamira Apartments,"Tucson, AZ",162,1x1,624,950,02/05/2025,False
Altamira Apartments,"Tucson, AZ",162,1x1,624,950,02/06/2025,False
Altamira Apartments,"Tucson, AZ",162,1x1,624,950,02/07/2025,False
Altamira Apartments,"Tucson, AZ",162,1x1,624,950,02/08/2025,False
Altamira Apartments,"Tucson, AZ",162,1x1,624,950,02/09/2025,False
Altamira Apartments,"Tucson, AZ",162,1x1,624,950,02/10/2025,False
Altamira Apartments,"Tucson, AZ",162,1x1,624,950,02/11/2025,True
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/05/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/06/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/07/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/08/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/09/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/10/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/11/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/12/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/13/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/14/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/15/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/16/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/17/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/18/2025,False
Altamira Apartments,"Tucson, AZ",24,0x1,400,925,02/19/2025,True
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/16/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/17/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/18/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/19/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/20/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/21/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/22/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/23/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/24/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/25/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/26/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/27/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/28/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/29/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/30/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,01/31/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,02/01/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,02/02/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,02/03/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,02/04/2025,False
Altamira Apartments,"Tucson, AZ",34,2x2,968,1600,02/05/2025,True
