,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Arabelle City Center,1104,0x1,541,1905,08/31/2023,False
1,Arabelle City Center,1104,0x1,541,1905,09/01/2023,False
2,Arabelle City Center,1104,0x1,541,1905,09/02/2023,False
3,Arabelle City Center,1104,0x1,541,1905,09/03/2023,False
4,Arabelle City Center,1104,0x1,541,1905,09/04/2023,False
5,Arabelle City Center,1104,0x1,541,1905,09/05/2023,False
6,Arabelle City Center,1104,0x1,541,1905,09/06/2023,False
7,Arabelle City Center,1104,0x1,541,1832,09/07/2023,False
8,Arabelle City Center,1104,0x1,541,1832,09/08/2023,False
9,Arabelle City Center,1104,0x1,541,1832,09/09/2023,False
10,Arabelle City Center,1104,0x1,541,1832,09/10/2023,False
11,Arabelle City Center,1104,0x1,541,1905,09/11/2023,False
12,Arabelle City Center,1104,0x1,541,1905,09/12/2023,False
13,Arabelle City Center,1104,0x1,541,1905,09/13/2023,False
14,Arabelle City Center,1104,0x1,541,1905,09/14/2023,False
15,Arabelle City Center,1104,0x1,541,1905,09/15/2023,False
16,Arabelle City Center,1104,0x1,541,1905,09/16/2023,False
17,Arabelle City Center,1104,0x1,541,1905,09/17/2023,False
18,Arabelle City Center,1104,0x1,541,1905,09/18/2023,False
19,Arabelle City Center,1104,0x1,541,1905,09/19/2023,False
20,Arabelle City Center,1104,0x1,541,1905,09/20/2023,False
21,Arabelle City Center,1104,0x1,541,1905,09/21/2023,False
22,Arabelle City Center,1104,0x1,541,1905,09/22/2023,False
23,Arabelle City Center,1104,0x1,541,1905,09/23/2023,False
24,Arabelle City Center,1104,0x1,541,1905,09/24/2023,False
25,Arabelle City Center,1104,0x1,541,1905,09/25/2023,False
26,Arabelle City Center,1104,0x1,541,1852,09/26/2023,False
27,Arabelle City Center,1104,0x1,541,1775,09/27/2023,False
28,Arabelle City Center,1104,0x1,541,1775,09/28/2023,False
29,Arabelle City Center,1104,0x1,541,1775,09/29/2023,False
30,Arabelle City Center,1104,0x1,541,1724,09/30/2023,False
31,Arabelle City Center,1104,0x1,541,1724,10/01/2023,False
