building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1970,02/06/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1970,02/07/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1965,02/08/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1965,02/09/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1970,02/10/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1995,02/11/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1955,02/12/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1945,02/13/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1940,02/14/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1940,02/15/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1940,02/16/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1940,02/17/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1940,02/18/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1950,02/19/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1965,02/20/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1960,02/21/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1960,02/22/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1960,02/23/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1950,02/24/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1940,02/25/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1910,02/26/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1910,02/27/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1930,02/28/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1925,03/01/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1925,03/02/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1895,03/03/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1890,03/04/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1890,03/05/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1955,03/06/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1950,03/07/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0111,4x2,1433,1950,03/08/2025,True
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/04/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/05/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/06/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/07/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/08/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/09/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/10/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/11/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/12/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/13/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/14/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/15/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/16/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/17/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/18/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/19/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/20/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1755,04/21/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1840,04/22/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1840,04/23/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1840,04/24/2025,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0112,3x2,1243,1840,04/25/2025,True
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1645,10/15/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1645,10/16/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1645,10/17/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/18/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/19/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/20/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/21/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/22/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/23/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/24/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/25/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/26/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/27/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/28/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/29/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1575,10/30/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1555,10/31/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1555,11/01/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1555,11/02/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1555,11/03/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1555,11/04/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1555,11/05/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1555,11/06/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1555,11/07/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1555,11/08/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1555,11/09/2024,False
Arbrook Park,"Dallas-Fort Worth-Arlington, TX",0115,3x2,1243,1555,11/10/2024,False
