building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/08/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/09/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/10/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/11/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/12/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/13/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/14/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/15/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/16/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/17/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/18/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/19/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/20/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/21/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1365,11/22/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,11/23/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,11/24/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,11/25/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,11/26/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,11/27/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,11/28/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,11/29/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,11/30/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/01/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/02/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/03/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/04/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/05/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/06/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/07/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/08/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/09/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/10/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/11/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/12/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/13/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/14/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/15/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/16/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/17/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/18/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/19/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/20/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/21/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/22/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/23/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/24/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/25/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/26/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/27/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/28/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/29/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/30/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,12/31/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/01/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/02/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/03/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/04/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/05/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/06/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/07/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/08/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/09/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/10/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/11/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/12/2025,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1010,1x1,848,1251,01/13/2025,True
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1560,07/31/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1560,08/01/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1560,08/02/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1560,08/03/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1560,08/04/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1560,08/05/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1560,08/06/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1430,08/07/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1500,08/08/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1375,08/09/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1375,08/10/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1375,08/11/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1375,08/12/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1526,08/13/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1572,08/14/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1572,08/15/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1572,08/16/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1572,08/17/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1572,08/18/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1572,08/19/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1582,08/20/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1582,08/21/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1582,08/22/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1582,08/23/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1582,08/24/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1582,08/25/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1582,08/26/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1582,08/27/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1582,08/28/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1582,08/29/2024,False
Archer Medical District,"Dallas-Fort Worth-Arlington, TX",1011,1x1,848,1532,08/30/2024,False
