,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Arrive West End,2101,2x2,1200,1940,06/30/2023,False
1,Arrive West End,2101,2x2,1200,1935,07/01/2023,False
2,Arrive West End,2101,2x2,1200,1935,07/02/2023,False
3,Arrive West End,2101,2x2,1200,1930,07/03/2023,False
4,Arrive West End,2101,2x2,1200,1930,07/04/2023,False
5,Arrive West End,2101,2x2,1200,1930,07/05/2023,False
6,Arrive West End,2101,2x2,1200,1930,07/06/2023,False
7,Arrive West End,2101,2x2,1200,2040,07/07/2023,False
8,Arrive West End,2101,2x2,1200,2085,07/08/2023,False
9,Arrive West End,2101,2x2,1200,2095,07/09/2023,False
10,Arrive West End,2101,2x2,1200,2095,07/10/2023,False
11,Arrive West End,2101,2x2,1200,2095,07/11/2023,False
12,Arrive West End,2101,2x2,1200,2095,07/12/2023,False
13,Arrive West End,2101,2x2,1200,2095,07/13/2023,False
14,Arrive West End,2101,2x2,1200,2095,07/14/2023,False
15,Arrive West End,2101,2x2,1200,2095,07/15/2023,False
16,Arrive West End,2101,2x2,1200,2095,07/16/2023,False
17,Arrive West End,2101,2x2,1200,2095,07/17/2023,False
18,Arrive West End,2101,2x2,1200,2095,07/18/2023,False
19,Arrive West End,2101,2x2,1200,2095,07/19/2023,False
20,Arrive West End,2101,2x2,1200,2095,07/20/2023,False
21,Arrive West End,2101,2x2,1200,2095,07/21/2023,False
22,Arrive West End,2101,2x2,1200,2095,07/22/2023,False
23,Arrive West End,2101,2x2,1200,2095,07/23/2023,False
24,Arrive West End,2101,2x2,1200,2095,07/24/2023,False
25,Arrive West End,2101,2x2,1200,2095,07/25/2023,False
26,Arrive West End,2101,2x2,1200,2095,07/26/2023,False
27,Arrive West End,2101,2x2,1200,2095,07/27/2023,False
28,Arrive West End,2101,2x2,1200,2090,07/28/2023,False
29,Arrive West End,2101,2x2,1200,2090,07/29/2023,False
30,Arrive West End,2101,2x2,1200,2090,07/30/2023,False
31,Arrive West End,2101,2x2,1200,2090,07/31/2023,False
32,Arrive West End,2101,2x2,1200,2085,08/01/2023,False
33,Arrive West End,2101,2x2,1200,2080,08/02/2023,False
34,Arrive West End,2101,2x2,1200,2080,08/03/2023,False
35,Arrive West End,2101,2x2,1200,2070,08/04/2023,False
36,Arrive West End,2101,2x2,1200,2065,08/05/2023,False
37,Arrive West End,2101,2x2,1200,2065,08/06/2023,False
38,Arrive West End,2101,2x2,1200,2060,08/07/2023,False
39,Arrive West End,2101,2x2,1200,2050,08/08/2023,False
40,Arrive West End,2101,2x2,1200,2045,08/09/2023,False
41,Arrive West End,2101,2x2,1200,2035,08/10/2023,False
42,Arrive West End,2101,2x2,1200,2035,08/11/2023,False
43,Arrive West End,2101,2x2,1200,2035,08/12/2023,False
44,Arrive West End,2101,2x2,1200,2035,08/13/2023,False
45,Arrive West End,2101,2x2,1200,2035,08/14/2023,False
46,Arrive West End,2101,2x2,1200,2035,08/15/2023,False
47,Arrive West End,2101,2x2,1200,2030,08/16/2023,False
48,Arrive West End,2101,2x2,1200,2030,08/17/2023,False
49,Arrive West End,2101,2x2,1200,2000,08/18/2023,False
50,Arrive West End,2101,2x2,1200,2000,08/19/2023,False
51,Arrive West End,2101,2x2,1200,2000,08/20/2023,False
52,Arrive West End,2101,2x2,1200,2000,08/21/2023,False
53,Arrive West End,2101,2x2,1200,1995,08/22/2023,False
54,Arrive West End,2101,2x2,1200,1995,08/23/2023,False
55,Arrive West End,2101,2x2,1200,1995,08/24/2023,False
56,Arrive West End,2101,2x2,1200,1995,08/25/2023,False
57,Arrive West End,2101,2x2,1200,1990,08/26/2023,False
58,Arrive West End,2101,2x2,1200,1985,08/27/2023,False
59,Arrive West End,2101,2x2,1200,1980,08/28/2023,False
60,Arrive West End,2101,2x2,1200,1980,08/29/2023,False
61,Arrive West End,2101,2x2,1200,1975,08/30/2023,False
62,Arrive West End,2101,2x2,1200,1975,08/31/2023,False
63,Arrive West End,2101,2x2,1200,1965,09/01/2023,False
64,Arrive West End,2101,2x2,1200,1965,09/02/2023,False
65,Arrive West End,2101,2x2,1200,1960,09/03/2023,False
66,Arrive West End,2101,2x2,1200,1960,09/04/2023,False
67,Arrive West End,2101,2x2,1200,1960,09/05/2023,False
68,Arrive West End,2101,2x2,1200,1960,09/06/2023,False
69,Arrive West End,2101,2x2,1200,1900,09/07/2023,False
70,Arrive West End,2101,2x2,1200,1855,09/08/2023,False
71,Arrive West End,2101,2x2,1200,1845,09/09/2023,False
72,Arrive West End,2101,2x2,1200,1835,09/10/2023,False
73,Arrive West End,2101,2x2,1200,1835,09/11/2023,False
74,Arrive West End,2101,2x2,1200,1835,09/12/2023,False
75,Arrive West End,2101,2x2,1200,1835,09/13/2023,True
76,Arrive West End,2102,2x2,1220,2001,03/09/2024,False
77,Arrive West End,2102,2x2,1220,2001,03/10/2024,False
78,Arrive West End,2102,2x2,1220,2001,03/11/2024,False
79,Arrive West End,2102,2x2,1220,2001,03/12/2024,False
80,Arrive West End,2102,2x2,1220,2001,03/13/2024,False
81,Arrive West End,2102,2x2,1220,2001,03/14/2024,False
82,Arrive West End,2102,2x2,1220,2001,03/15/2024,False
83,Arrive West End,2102,2x2,1220,2001,03/16/2024,False
84,Arrive West End,2102,2x2,1220,2001,03/17/2024,False
85,Arrive West End,2102,2x2,1220,2001,03/18/2024,False
86,Arrive West End,2102,2x2,1220,1818,03/19/2024,False
87,Arrive West End,2102,2x2,1220,1818,03/20/2024,False
88,Arrive West End,2102,2x2,1220,1818,03/21/2024,False
89,Arrive West End,2102,2x2,1220,1818,03/22/2024,False
90,Arrive West End,2102,2x2,1220,1818,03/23/2024,False
91,Arrive West End,2102,2x2,1220,1818,03/24/2024,False
92,Arrive West End,2102,2x2,1220,1818,03/25/2024,False
93,Arrive West End,2102,2x2,1220,1818,03/26/2024,False
94,Arrive West End,2102,2x2,1220,1836,03/27/2024,False
95,Arrive West End,2102,2x2,1220,1836,03/28/2024,False
96,Arrive West End,2102,2x2,1220,1836,03/29/2024,False
97,Arrive West End,2102,2x2,1220,1836,03/30/2024,False
98,Arrive West End,2102,2x2,1220,1836,03/31/2024,False
99,Arrive West End,2102,2x2,1220,1836,04/01/2024,False
100,Arrive West End,2102,2x2,1220,1836,04/02/2024,False
101,Arrive West End,2102,2x2,1220,1836,04/03/2024,False
102,Arrive West End,2102,2x2,1220,1836,04/04/2024,False
103,Arrive West End,2102,2x2,1220,1836,04/05/2024,False
104,Arrive West End,2102,2x2,1220,1836,04/06/2024,False
105,Arrive West End,2102,2x2,1220,1836,04/07/2024,False
106,Arrive West End,2102,2x2,1220,1836,04/08/2024,False
107,Arrive West End,2102,2x2,1220,1836,04/09/2024,False
108,Arrive West End,2102,2x2,1220,1747,04/10/2024,False
109,Arrive West End,2102,2x2,1220,1747,04/11/2024,False
110,Arrive West End,2102,2x2,1220,1747,04/12/2024,False
111,Arrive West End,2102,2x2,1220,1747,04/13/2024,False
112,Arrive West End,2102,2x2,1220,1747,04/14/2024,False
113,Arrive West End,2102,2x2,1220,1747,04/15/2024,False
114,Arrive West End,2102,2x2,1220,1747,04/16/2024,False
115,Arrive West End,2102,2x2,1220,1747,04/17/2024,False
116,Arrive West End,2102,2x2,1220,1747,04/18/2024,False
117,Arrive West End,2102,2x2,1220,1747,04/19/2024,False
118,Arrive West End,2102,2x2,1220,1747,04/20/2024,False
119,Arrive West End,2102,2x2,1220,1747,04/21/2024,False
120,Arrive West End,2102,2x2,1220,1747,04/22/2024,False
121,Arrive West End,2102,2x2,1220,1747,04/23/2024,False
122,Arrive West End,2102,2x2,1220,1429,04/24/2024,False
123,Arrive West End,2102,2x2,1220,1588,04/25/2024,False
124,Arrive West End,2102,2x2,1220,1827,04/26/2024,False
125,Arrive West End,2102,2x2,1220,1827,04/27/2024,False
126,Arrive West End,2102,2x2,1220,1827,04/28/2024,False
127,Arrive West End,2102,2x2,1220,1827,04/29/2024,False
128,Arrive West End,2102,2x2,1220,1827,04/30/2024,False
129,Arrive West End,2102,2x2,1220,1827,05/01/2024,False
130,Arrive West End,2102,2x2,1220,1827,05/02/2024,False
131,Arrive West End,2102,2x2,1220,1827,05/03/2024,False
132,Arrive West End,2102,2x2,1220,1827,05/04/2024,False
133,Arrive West End,2102,2x2,1220,1827,05/05/2024,False
134,Arrive West End,2102,2x2,1220,1827,05/06/2024,False
135,Arrive West End,2102,2x2,1220,1827,05/07/2024,False
136,Arrive West End,2102,2x2,1220,1827,05/08/2024,False
137,Arrive West End,2102,2x2,1220,1827,05/09/2024,False
138,Arrive West End,2102,2x2,1220,1827,05/10/2024,False
139,Arrive West End,2102,2x2,1220,1827,05/11/2024,False
140,Arrive West End,2102,2x2,1220,1827,05/12/2024,False
141,Arrive West End,2102,2x2,1220,1827,05/13/2024,False
142,Arrive West End,2102,2x2,1220,1827,05/14/2024,False
143,Arrive West End,2102,2x2,1220,1827,05/15/2024,False
144,Arrive West End,2102,2x2,1220,1827,05/16/2024,False
145,Arrive West End,2102,2x2,1220,1827,05/17/2024,False
146,Arrive West End,2102,2x2,1220,1827,05/18/2024,False
147,Arrive West End,2102,2x2,1220,1827,05/19/2024,False
148,Arrive West End,2102,2x2,1220,1827,05/20/2024,False
149,Arrive West End,2102,2x2,1220,1827,05/21/2024,False
150,Arrive West End,2102,2x2,1220,1827,05/22/2024,False
151,Arrive West End,2102,2x2,1220,1827,05/23/2024,False
152,Arrive West End,2102,2x2,1220,1827,05/24/2024,False
153,Arrive West End,2102,2x2,1220,1827,05/25/2024,False
154,Arrive West End,2102,2x2,1220,1827,05/26/2024,False
155,Arrive West End,2102,2x2,1220,1827,05/27/2024,False
156,Arrive West End,2102,2x2,1220,1827,05/28/2024,False
157,Arrive West End,2102,2x2,1220,1827,05/29/2024,False
158,Arrive West End,2102,2x2,1220,1827,05/30/2024,False
159,Arrive West End,2102,2x2,1220,2065,05/31/2024,False
160,Arrive West End,2102,2x2,1220,2065,06/01/2024,False
161,Arrive West End,2102,2x2,1220,2065,06/02/2024,False
162,Arrive West End,2102,2x2,1220,2065,06/03/2024,False
163,Arrive West End,2102,2x2,1220,2065,06/04/2024,False
164,Arrive West End,2102,2x2,1220,2065,06/05/2024,False
165,Arrive West End,2102,2x2,1220,2065,06/06/2024,False
166,Arrive West End,2102,2x2,1220,2065,06/07/2024,False
167,Arrive West End,2102,2x2,1220,2065,06/08/2024,False
168,Arrive West End,2102,2x2,1220,2065,06/09/2024,False
169,Arrive West End,2102,2x2,1220,2065,06/10/2024,False
170,Arrive West End,2102,2x2,1220,2065,06/11/2024,False
171,Arrive West End,2102,2x2,1220,2065,06/12/2024,False
172,Arrive West End,2102,2x2,1220,2065,06/13/2024,False
173,Arrive West End,2102,2x2,1220,2065,06/14/2024,False
174,Arrive West End,2102,2x2,1220,2065,06/15/2024,False
175,Arrive West End,2102,2x2,1220,2065,06/16/2024,False
176,Arrive West End,2102,2x2,1220,2065,06/17/2024,False
177,Arrive West End,2102,2x2,1220,2065,06/18/2024,False
178,Arrive West End,2102,2x2,1220,2065,06/19/2024,False
179,Arrive West End,2102,2x2,1220,2020,06/20/2024,False
180,Arrive West End,2102,2x2,1220,2020,06/21/2024,False
181,Arrive West End,2102,2x2,1220,2020,06/22/2024,False
182,Arrive West End,2102,2x2,1220,2020,06/23/2024,False
183,Arrive West End,2102,2x2,1220,2020,06/24/2024,False
184,Arrive West End,2102,2x2,1220,2020,06/25/2024,False
185,Arrive West End,2102,2x2,1220,2015,06/26/2024,False
186,Arrive West End,2102,2x2,1220,2015,06/27/2024,False
187,Arrive West End,2102,2x2,1220,2015,06/28/2024,False
188,Arrive West End,2102,2x2,1220,2015,06/29/2024,False
189,Arrive West End,2102,2x2,1220,2015,06/30/2024,False
190,Arrive West End,2102,2x2,1220,2015,07/01/2024,False
191,Arrive West End,2102,2x2,1220,1705,07/02/2024,False
192,Arrive West End,2102,2x2,1220,1705,07/03/2024,False
193,Arrive West End,2102,2x2,1220,1705,07/04/2024,False
194,Arrive West End,2102,2x2,1220,1705,07/05/2024,False
195,Arrive West End,2102,2x2,1220,1705,07/06/2024,False
196,Arrive West End,2102,2x2,1220,1705,07/07/2024,False
197,Arrive West End,2102,2x2,1220,1705,07/08/2024,False
198,Arrive West End,2102,2x2,1220,1705,07/09/2024,False
199,Arrive West End,2102,2x2,1220,1705,07/10/2024,False
200,Arrive West End,2102,2x2,1220,1692,07/11/2024,False
201,Arrive West End,2102,2x2,1220,1692,07/12/2024,False
202,Arrive West End,2102,2x2,1220,1692,07/13/2024,False
203,Arrive West End,2102,2x2,1220,1692,07/14/2024,False
204,Arrive West End,2102,2x2,1220,1692,07/15/2024,False
205,Arrive West End,2102,2x2,1220,1692,07/16/2024,False
206,Arrive West End,2102,2x2,1220,1679,07/17/2024,False
207,Arrive West End,2102,2x2,1220,1675,07/18/2024,False
208,Arrive West End,2102,2x2,1220,1675,07/19/2024,False
209,Arrive West End,2102,2x2,1220,1675,07/20/2024,False
210,Arrive West End,2102,2x2,1220,1667,07/21/2024,False
211,Arrive West End,2102,2x2,1220,1667,07/22/2024,False
212,Arrive West End,2102,2x2,1220,1667,07/23/2024,False
213,Arrive West End,2102,2x2,1220,1658,07/24/2024,False
214,Arrive West End,2102,2x2,1220,1658,07/25/2024,False
215,Arrive West End,2102,2x2,1220,1658,07/26/2024,False
216,Arrive West End,2102,2x2,1220,1658,07/27/2024,False
217,Arrive West End,2102,2x2,1220,1658,07/28/2024,False
218,Arrive West End,2102,2x2,1220,1658,07/29/2024,False
219,Arrive West End,2102,2x2,1220,1713,07/30/2024,False
220,Arrive West End,2102,2x2,1220,1764,07/31/2024,False
221,Arrive West End,2102,2x2,1220,1747,08/01/2024,False
222,Arrive West End,2102,2x2,1220,1747,08/02/2024,False
223,Arrive West End,2102,2x2,1220,1747,08/03/2024,False
224,Arrive West End,2102,2x2,1220,1747,08/04/2024,False
225,Arrive West End,2102,2x2,1220,1747,08/05/2024,False
