,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Artistry on 10th,0203,0x1,660,1487,06/17/2023,False
1,Artistry on 10th,0203,0x1,660,1487,06/18/2023,False
2,Artistry on 10th,0203,0x1,660,1487,06/19/2023,False
3,Artistry on 10th,0203,0x1,660,1487,06/20/2023,False
4,Artistry on 10th,0203,0x1,660,1487,06/21/2023,False
5,Artistry on 10th,0203,0x1,660,1487,06/22/2023,False
6,Artistry on 10th,0203,0x1,660,1487,06/23/2023,False
7,Artistry on 10th,0203,0x1,660,1487,06/24/2023,False
8,Artistry on 10th,0203,0x1,660,1487,06/25/2023,False
9,Artistry on 10th,0203,0x1,660,1487,06/26/2023,False
10,Artistry on 10th,0203,0x1,660,1487,06/27/2023,False
11,Artistry on 10th,0203,0x1,660,1487,06/28/2023,False
12,Artistry on 10th,0203,0x1,660,1487,06/29/2023,False
13,Artistry on 10th,0203,0x1,660,1487,06/30/2023,False
14,Artistry on 10th,0203,0x1,660,1437,07/01/2023,False
15,Artistry on 10th,0203,0x1,660,1437,07/02/2023,False
16,Artistry on 10th,0203,0x1,660,1437,07/03/2023,False
17,Artistry on 10th,0203,0x1,660,1487,07/04/2023,False
18,Artistry on 10th,0203,0x1,660,1487,07/05/2023,False
19,Artistry on 10th,0203,0x1,660,1487,07/06/2023,False
20,Artistry on 10th,0203,0x1,660,1487,07/07/2023,False
21,Artistry on 10th,0203,0x1,660,1542,07/08/2023,False
22,Artistry on 10th,0203,0x1,660,1542,07/09/2023,False
23,Artistry on 10th,0203,0x1,660,1542,07/10/2023,False
24,Artistry on 10th,0203,0x1,660,1542,07/11/2023,False
25,Artistry on 10th,0203,0x1,660,1542,07/12/2023,False
26,Artistry on 10th,0203,0x1,660,1542,07/13/2023,False
27,Artistry on 10th,0203,0x1,660,1542,07/14/2023,False
28,Artistry on 10th,0203,0x1,660,1542,07/15/2023,False
29,Artistry on 10th,0203,0x1,660,1542,07/16/2023,False
30,Artistry on 10th,0203,0x1,660,1542,07/17/2023,False
31,Artistry on 10th,0203,0x1,660,1542,07/18/2023,False
32,Artistry on 10th,0203,0x1,660,1542,07/19/2023,False
33,Artistry on 10th,0203,0x1,660,1542,07/20/2023,False
34,Artistry on 10th,0203,0x1,660,1542,07/21/2023,False
35,Artistry on 10th,0203,0x1,660,1542,07/22/2023,False
36,Artistry on 10th,0203,0x1,660,1542,07/23/2023,False
37,Artistry on 10th,0203,0x1,660,1542,07/24/2023,False
38,Artistry on 10th,0203,0x1,660,1542,07/25/2023,False
39,Artistry on 10th,0203,0x1,660,1542,07/26/2023,False
40,Artistry on 10th,0203,0x1,660,1600,07/27/2023,False
41,Artistry on 10th,0203,0x1,660,1600,07/28/2023,False
42,Artistry on 10th,0203,0x1,660,1598,07/29/2023,False
43,Artistry on 10th,0203,0x1,660,1598,07/30/2023,False
44,Artistry on 10th,0203,0x1,660,1598,07/31/2023,False
45,Artistry on 10th,0203,0x1,660,1598,08/01/2023,False
46,Artistry on 10th,0203,0x1,660,1598,08/02/2023,False
47,Artistry on 10th,0203,0x1,660,1614,08/03/2023,False
48,Artistry on 10th,0203,0x1,660,1614,08/04/2023,False
49,Artistry on 10th,0203,0x1,660,1618,08/05/2023,False
50,Artistry on 10th,0203,0x1,660,1618,08/06/2023,False
51,Artistry on 10th,0203,0x1,660,1618,08/07/2023,False
52,Artistry on 10th,0203,0x1,660,1645,08/08/2023,False
53,Artistry on 10th,0203,0x1,660,1645,08/09/2023,False
54,Artistry on 10th,0203,0x1,660,1645,08/10/2023,False
55,Artistry on 10th,0203,0x1,660,1654,08/11/2023,False
56,Artistry on 10th,0203,0x1,660,1654,08/12/2023,False
57,Artistry on 10th,0203,0x1,660,1654,08/13/2023,False
58,Artistry on 10th,0203,0x1,660,1654,08/14/2023,False
59,Artistry on 10th,0203,0x1,660,1654,08/15/2023,False
60,Artistry on 10th,0203,0x1,660,1654,08/16/2023,False
61,Artistry on 10th,0203,0x1,660,1654,08/17/2023,False
62,Artistry on 10th,0203,0x1,660,1591,08/18/2023,False
63,Artistry on 10th,0203,0x1,660,1591,08/19/2023,False
64,Artistry on 10th,0203,0x1,660,1591,08/20/2023,False
65,Artistry on 10th,0203,0x1,660,1591,08/21/2023,False
66,Artistry on 10th,0203,0x1,660,1591,08/22/2023,False
67,Artistry on 10th,0203,0x1,660,1591,08/23/2023,False
68,Artistry on 10th,0203,0x1,660,1591,08/24/2023,False
69,Artistry on 10th,0203,0x1,660,1591,08/25/2023,False
70,Artistry on 10th,0203,0x1,660,1591,08/26/2023,False
71,Artistry on 10th,0203,0x1,660,1591,08/27/2023,False
72,Artistry on 10th,0203,0x1,660,1591,08/28/2023,False
73,Artistry on 10th,0203,0x1,660,1591,08/29/2023,False
74,Artistry on 10th,0203,0x1,660,1591,08/30/2023,False
75,Artistry on 10th,0203,0x1,660,1591,08/31/2023,False
76,Artistry on 10th,0203,0x1,660,1591,09/01/2023,False
