,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Ascent Victory Park,1000,2x2,1274,3107,11/02/2023,False
1,Ascent Victory Park,1000,2x2,1274,3107,11/03/2023,False
2,Ascent Victory Park,1000,2x2,1274,3107,11/04/2023,False
3,Ascent Victory Park,1000,2x2,1274,3107,11/05/2023,False
4,Ascent Victory Park,1000,2x2,1274,3107,11/06/2023,False
5,Ascent Victory Park,1000,2x2,1274,3107,11/07/2023,False
6,Ascent Victory Park,1000,2x2,1274,3114,11/08/2023,False
7,Ascent Victory Park,1000,2x2,1274,3114,11/09/2023,False
8,Ascent Victory Park,1000,2x2,1274,3114,11/10/2023,False
9,Ascent Victory Park,1000,2x2,1274,3114,11/11/2023,False
10,Ascent Victory Park,1000,2x2,1274,3114,11/12/2023,False
11,Ascent Victory Park,1000,2x2,1274,3114,11/13/2023,False
12,Ascent Victory Park,1000,2x2,1274,3114,11/14/2023,False
13,Ascent Victory Park,1000,2x2,1274,3180,11/15/2023,False
14,Ascent Victory Park,1000,2x2,1274,3180,11/16/2023,False
15,Ascent Victory Park,1000,2x2,1274,3172,11/17/2023,False
16,Ascent Victory Park,1000,2x2,1274,3172,11/18/2023,False
17,Ascent Victory Park,1000,2x2,1274,3172,11/19/2023,False
18,Ascent Victory Park,1000,2x2,1274,3172,11/20/2023,False
19,Ascent Victory Park,1000,2x2,1274,3220,11/21/2023,False
20,Ascent Victory Park,1000,2x2,1274,3220,11/22/2023,False
21,Ascent Victory Park,1000,2x2,1274,3220,11/23/2023,False
22,Ascent Victory Park,1000,2x2,1274,3220,11/24/2023,False
23,Ascent Victory Park,1000,2x2,1274,3220,11/25/2023,False
24,Ascent Victory Park,1000,2x2,1274,3220,11/26/2023,False
25,Ascent Victory Park,1000,2x2,1274,3220,11/27/2023,False
26,Ascent Victory Park,1000,2x2,1274,3220,11/28/2023,False
27,Ascent Victory Park,1000,2x2,1274,3318,11/29/2023,False
28,Ascent Victory Park,1000,2x2,1274,3389,11/30/2023,False
29,Ascent Victory Park,1000,2x2,1274,3128,12/01/2023,False
30,Ascent Victory Park,1000,2x2,1274,3128,12/02/2023,False
31,Ascent Victory Park,1000,2x2,1274,3128,12/03/2023,False
32,Ascent Victory Park,1000,2x2,1274,3128,12/04/2023,False
33,Ascent Victory Park,1000,2x2,1274,3069,12/05/2023,False
34,Ascent Victory Park,1000,2x2,1274,3004,12/06/2023,False
35,Ascent Victory Park,1000,2x2,1274,2908,12/07/2023,False
36,Ascent Victory Park,1000,2x2,1274,2908,12/08/2023,False
37,Ascent Victory Park,1000,2x2,1274,2908,12/09/2023,False
38,Ascent Victory Park,1000,2x2,1274,2908,12/10/2023,False
39,Ascent Victory Park,1000,2x2,1274,2908,12/11/2023,False
40,Ascent Victory Park,1000,2x2,1274,2908,12/12/2023,False
41,Ascent Victory Park,1000,2x2,1274,2908,12/13/2023,False
42,Ascent Victory Park,1000,2x2,1274,2908,12/14/2023,False
43,Ascent Victory Park,1000,2x2,1274,2707,12/15/2023,False
44,Ascent Victory Park,1000,2x2,1274,2728,12/16/2023,False
45,Ascent Victory Park,1000,2x2,1274,2728,12/17/2023,False
46,Ascent Victory Park,1000,2x2,1274,2728,12/18/2023,False
47,Ascent Victory Park,1000,2x2,1274,2728,12/19/2023,False
48,Ascent Victory Park,1000,2x2,1274,2728,12/20/2023,False
49,Ascent Victory Park,1000,2x2,1274,2728,12/21/2023,False
50,Ascent Victory Park,1000,2x2,1274,2772,12/22/2023,False
51,Ascent Victory Park,1000,2x2,1274,2772,12/23/2023,False
52,Ascent Victory Park,1000,2x2,1274,2772,12/24/2023,False
