building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/17/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/18/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/19/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/20/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/21/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/22/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/23/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/24/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/25/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/26/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/27/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/28/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/29/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,11/30/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1470,12/01/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/02/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/03/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/04/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1456,12/05/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1456,12/06/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1507,12/07/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/08/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/09/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/10/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/11/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/12/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/13/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/14/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/15/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/16/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/17/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/18/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/19/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/20/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1458,12/21/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1394,12/22/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1417,12/23/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1417,12/24/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1417,12/25/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1417,12/26/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1453,12/27/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1453,12/28/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1453,12/29/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",108,2x2,1161,1453,12/30/2023,True
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1218,05/06/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1218,05/07/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1218,05/08/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1218,05/09/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1218,05/10/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1218,05/11/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1218,05/12/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1225,05/13/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1225,05/14/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1164,05/15/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1164,05/16/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1164,05/17/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1164,05/18/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1164,05/19/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1164,05/20/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1175,05/21/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1175,05/22/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1220,05/23/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1200,05/24/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1220,05/25/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1220,05/26/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1220,05/27/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1220,05/28/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1250,05/29/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1250,05/30/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1250,05/31/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1250,06/01/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1250,06/02/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1250,06/03/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1276,06/04/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1291,06/05/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1291,06/06/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1322,06/07/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1323,06/08/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1322,06/09/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1322,06/10/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1322,06/11/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1322,06/12/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1335,06/13/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1335,06/14/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1335,06/15/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1335,06/16/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1352,06/17/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1439,06/18/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1352,06/19/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1352,06/20/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1352,06/21/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1352,06/22/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1352,06/23/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1352,06/24/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1352,06/25/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1352,06/26/2024,True
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",109,1x1,677,1218,04/27/2025,True
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1349,10/03/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1349,10/04/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1349,10/05/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1349,10/06/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1349,10/07/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1349,10/08/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1349,10/09/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1349,10/10/2023,True
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1348,05/06/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1348,05/07/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1348,05/08/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1348,05/09/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1348,05/10/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1348,05/11/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1348,05/12/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1355,05/13/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1355,05/14/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1294,05/15/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1294,05/16/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1294,05/17/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1294,05/18/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1294,05/19/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1294,05/20/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1305,05/21/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1300,05/22/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1320,05/23/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1315,05/24/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1309,05/25/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1309,05/26/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1299,05/27/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1294,05/28/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1318,05/29/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1318,05/30/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1318,05/31/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1318,06/01/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1318,06/02/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1318,06/03/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1344,06/04/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",110,1x1,805,1344,06/05/2024,True
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1147,05/06/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1147,05/07/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1147,05/08/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1147,05/09/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1147,05/10/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1147,05/11/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1147,05/12/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1154,05/13/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1154,05/14/2024,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1154,05/15/2024,True
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1197,04/17/2025,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1197,04/18/2025,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1197,04/19/2025,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1197,04/20/2025,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1197,04/21/2025,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1197,04/22/2025,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1197,04/23/2025,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1197,04/24/2025,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1197,04/25/2025,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1197,04/26/2025,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",111,1x1,636,1197,04/27/2025,True
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",112,2x2,1108,1600,09/29/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",112,2x2,1108,1600,09/30/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",112,2x2,1108,1600,10/01/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",112,2x2,1108,1600,10/02/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",112,2x2,1108,1600,10/03/2023,False
Aspire at 610,"Houston-The Woodlands-Sugar Land, TX",112,2x2,1108,1600,10/04/2023,False
