building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2110,03/17/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2102,03/18/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2102,03/19/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2095,03/20/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2088,03/21/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2088,03/22/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2080,03/23/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2080,03/24/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2080,03/25/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2080,03/26/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2080,03/27/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2033,03/28/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,2014,03/29/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,1962,03/30/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,1962,03/31/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,1921,04/01/2024,False
BellaNova at JubiLee Park,"Orlando-Kissimmee-Sanford, FL",1011,1x1,792,1876,04/02/2024,False
