building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2238,01/10/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2126,01/11/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2126,01/12/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2018,01/13/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2018,01/14/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2018,01/15/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2018,01/16/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2018,01/17/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2018,01/18/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2247,01/19/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2240,01/20/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01002,3x2,1376,2240,01/21/2024,True
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01006,2x2,1227,1458,01/12/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01006,2x2,1227,1458,01/13/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01006,2x2,1227,1458,01/14/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01006,2x2,1227,1458,01/15/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01006,2x2,1227,1458,01/16/2024,False
Belmont Place,"Atlanta-Sandy Springs-Roswell, GA",01-01006,2x2,1227,1458,01/17/2024,False
