building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2239,12/06/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2239,12/07/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,12/08/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,12/09/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,12/10/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,12/11/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/12/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/13/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/14/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/15/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/16/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/17/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/18/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/19/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/20/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/21/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/22/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/23/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/24/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/25/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/26/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/27/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/28/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2299,12/29/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,12/30/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,12/31/2024,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/01/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/02/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/03/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/04/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/05/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/06/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/07/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/08/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/09/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/10/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/11/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/12/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/13/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/14/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2279,01/15/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/16/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/17/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/18/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/19/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/20/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/21/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/22/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/23/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/24/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/25/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/26/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/27/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/28/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2249,01/29/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2209,01/30/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2209,01/31/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2199,02/01/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2189,02/02/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2179,02/03/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2169,02/04/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2169,02/05/2025,False
Camden Flatirons,"Boulder, CO",2201,2x2,1175,2159,02/06/2025,False
