building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/13/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/14/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/15/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/16/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/17/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/18/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/19/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/20/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/21/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/22/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/23/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/24/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/25/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/26/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/27/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,02/28/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,03/01/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,03/02/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,03/03/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2559,03/04/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2529,03/05/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2529,03/06/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2519,03/07/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2519,03/08/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2519,03/09/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2509,03/10/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2509,03/11/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2509,03/12/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2499,03/13/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2499,03/14/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2489,03/15/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2489,03/16/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2489,03/17/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2479,03/18/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2479,03/19/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2479,03/20/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2479,03/21/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2479,03/22/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2479,03/23/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2479,03/24/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2419,03/25/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2419,03/26/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2419,03/27/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2419,03/28/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2419,03/29/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2419,03/30/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2419,03/31/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2419,04/01/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2309,04/02/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2309,04/03/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2309,04/04/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2309,04/05/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2309,04/06/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2309,04/07/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2309,04/08/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2309,04/09/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2309,04/10/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2309,04/11/2025,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0212,2x2,1342,2309,04/12/2025,True
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2409,07/11/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2409,07/12/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2409,07/13/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2409,07/14/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2379,07/15/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2379,07/16/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2379,07/17/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2379,07/18/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2379,07/19/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2379,07/20/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2379,07/21/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2379,07/22/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2379,07/23/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2379,07/24/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2369,07/25/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2359,07/26/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2359,07/27/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2349,07/28/2024,False
Camden Midtown,"Houston-The Woodlands-Sugar Land, TX",0322,2x2,1342,2339,07/29/2024,False
