,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Capitol at Stonebriar,1101,1x1,950,845,05/06/2024,False
1,Capitol at Stonebriar,1101,1x1,950,845,05/07/2024,False
2,Capitol at Stonebriar,1101,1x1,950,845,05/08/2024,False
3,Capitol at Stonebriar,1101,1x1,950,845,05/09/2024,False
4,Capitol at Stonebriar,1101,1x1,950,845,05/10/2024,False
5,Capitol at Stonebriar,1101,1x1,950,845,05/11/2024,False
6,Capitol at Stonebriar,1101,1x1,950,845,05/12/2024,False
7,Capitol at Stonebriar,1101,1x1,950,845,05/13/2024,False
8,Capitol at Stonebriar,1101,1x1,950,845,05/14/2024,False
9,Capitol at Stonebriar,1101,1x1,950,845,05/15/2024,False
10,Capitol at Stonebriar,1101,1x1,950,845,05/16/2024,False
11,Capitol at Stonebriar,1101,1x1,950,845,05/17/2024,False
12,Capitol at Stonebriar,1101,1x1,950,845,05/18/2024,False
13,Capitol at Stonebriar,1101,1x1,950,845,05/19/2024,False
14,Capitol at Stonebriar,1101,1x1,950,845,05/20/2024,False
15,Capitol at Stonebriar,1101,1x1,950,845,05/21/2024,False
16,Capitol at Stonebriar,1101,1x1,950,845,05/22/2024,False
17,Capitol at Stonebriar,1101,1x1,950,845,05/23/2024,False
18,Capitol at Stonebriar,1101,1x1,950,845,05/24/2024,False
19,Capitol at Stonebriar,1101,1x1,950,845,05/25/2024,False
20,Capitol at Stonebriar,1101,1x1,950,845,05/26/2024,False
21,Capitol at Stonebriar,1101,1x1,950,845,05/27/2024,False
22,Capitol at Stonebriar,1101,1x1,950,845,05/28/2024,False
23,Capitol at Stonebriar,1101,1x1,950,845,05/29/2024,False
24,Capitol at Stonebriar,1101,1x1,950,845,05/30/2024,False
25,Capitol at Stonebriar,1101,1x1,950,845,05/31/2024,False
26,Capitol at Stonebriar,1101,1x1,950,845,06/01/2024,False
27,Capitol at Stonebriar,1101,1x1,950,845,06/02/2024,False
28,Capitol at Stonebriar,1101,1x1,950,845,06/03/2024,False
29,Capitol at Stonebriar,1101,1x1,950,845,06/04/2024,False
30,Capitol at Stonebriar,1101,1x1,950,845,06/05/2024,False
31,Capitol at Stonebriar,1101,1x1,950,845,06/06/2024,False
32,Capitol at Stonebriar,1101,1x1,950,845,06/07/2024,False
33,Capitol at Stonebriar,1101,1x1,950,845,06/08/2024,False
34,Capitol at Stonebriar,1101,1x1,950,845,06/09/2024,False
35,Capitol at Stonebriar,1101,1x1,950,845,06/10/2024,False
36,Capitol at Stonebriar,1101,1x1,950,845,06/11/2024,False
37,Capitol at Stonebriar,1101,1x1,950,845,06/12/2024,False
38,Capitol at Stonebriar,1101,1x1,950,845,06/13/2024,False
39,Capitol at Stonebriar,1101,1x1,950,845,06/14/2024,False
40,Capitol at Stonebriar,1101,1x1,950,845,06/15/2024,False
41,Capitol at Stonebriar,1101,1x1,950,845,06/16/2024,False
42,Capitol at Stonebriar,1101,1x1,950,845,06/17/2024,False
43,Capitol at Stonebriar,1101,1x1,950,845,06/18/2024,False
44,Capitol at Stonebriar,1101,1x1,950,845,06/19/2024,False
45,Capitol at Stonebriar,1101,1x1,950,845,06/20/2024,False
46,Capitol at Stonebriar,1101,1x1,950,845,06/21/2024,False
47,Capitol at Stonebriar,1101,1x1,950,845,06/22/2024,False
48,Capitol at Stonebriar,1101,1x1,950,845,06/23/2024,False
49,Capitol at Stonebriar,1101,1x1,950,845,06/24/2024,False
50,Capitol at Stonebriar,1101,1x1,950,845,06/25/2024,False
51,Capitol at Stonebriar,1101,1x1,950,845,06/26/2024,False
52,Capitol at Stonebriar,1101,1x1,950,845,06/27/2024,False
53,Capitol at Stonebriar,1101,1x1,950,845,06/28/2024,False
54,Capitol at Stonebriar,1101,1x1,950,845,06/29/2024,False
55,Capitol at Stonebriar,1101,1x1,950,845,06/30/2024,False
56,Capitol at Stonebriar,1101,1x1,950,845,07/01/2024,False
57,Capitol at Stonebriar,1101,1x1,950,845,07/02/2024,False
58,Capitol at Stonebriar,1101,1x1,950,845,07/03/2024,False
59,Capitol at Stonebriar,1101,1x1,950,845,07/04/2024,False
60,Capitol at Stonebriar,1101,1x1,950,845,07/05/2024,False
61,Capitol at Stonebriar,1101,1x1,950,845,07/06/2024,False
62,Capitol at Stonebriar,1101,1x1,950,845,07/07/2024,False
63,Capitol at Stonebriar,1101,1x1,950,845,07/08/2024,False
64,Capitol at Stonebriar,1101,1x1,950,845,07/09/2024,False
65,Capitol at Stonebriar,1101,1x1,950,845,07/10/2024,False
66,Capitol at Stonebriar,1101,1x1,950,845,07/11/2024,False
67,Capitol at Stonebriar,1101,1x1,950,845,07/12/2024,False
68,Capitol at Stonebriar,1101,1x1,950,845,07/13/2024,False
69,Capitol at Stonebriar,1101,1x1,950,845,07/14/2024,False
70,Capitol at Stonebriar,1101,1x1,950,845,07/15/2024,False
71,Capitol at Stonebriar,1101,1x1,950,845,07/16/2024,False
72,Capitol at Stonebriar,1101,1x1,950,845,07/17/2024,False
73,Capitol at Stonebriar,1101,1x1,950,845,07/18/2024,False
