,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Casa Vera,01-14,1x1,802,2044,06/29/2024,False
1,Casa Vera,01-14,1x1,802,2044,06/30/2024,False
2,Casa Vera,01-14,1x1,802,2044,07/01/2024,False
3,Casa Vera,01-14,1x1,802,2044,07/02/2024,False
4,Casa Vera,01-14,1x1,802,2044,07/03/2024,False
5,Casa Vera,01-14,1x1,802,2098,07/04/2024,False
6,Casa Vera,01-14,1x1,802,2098,07/05/2024,True
7,Casa Vera,01-15,1x1,802,2265,02/23/2024,False
8,Casa Vera,01-15,1x1,802,2264,02/24/2024,False
9,Casa Vera,01-15,1x1,802,2264,02/25/2024,False
10,Casa Vera,01-15,1x1,802,2264,02/26/2024,False
11,Casa Vera,01-15,1x1,802,2264,02/27/2024,False
12,Casa Vera,01-15,1x1,802,2264,02/28/2024,False
13,Casa Vera,01-15,1x1,802,2263,02/29/2024,False
14,Casa Vera,01-15,1x1,802,2263,03/01/2024,False
15,Casa Vera,01-15,1x1,802,2263,03/02/2024,False
16,Casa Vera,01-15,1x1,802,2262,03/03/2024,False
17,Casa Vera,01-15,1x1,802,2157,03/04/2024,False
18,Casa Vera,01-15,1x1,802,2157,03/05/2024,False
19,Casa Vera,01-15,1x1,802,2157,03/06/2024,False
20,Casa Vera,01-15,1x1,802,2229,03/07/2024,False
21,Casa Vera,01-15,1x1,802,2281,03/08/2024,False
22,Casa Vera,01-15,1x1,802,2281,03/09/2024,False
23,Casa Vera,01-15,1x1,802,2281,03/10/2024,False
24,Casa Vera,01-15,1x1,802,2281,03/11/2024,False
25,Casa Vera,01-15,1x1,802,2281,03/12/2024,False
26,Casa Vera,01-15,1x1,802,2166,03/13/2024,False
27,Casa Vera,01-15,1x1,802,2166,03/14/2024,False
28,Casa Vera,01-15,1x1,802,2166,03/15/2024,False
29,Casa Vera,01-15,1x1,802,2166,03/16/2024,False
30,Casa Vera,01-15,1x1,802,2166,03/17/2024,False
31,Casa Vera,01-15,1x1,802,2100,03/18/2024,False
32,Casa Vera,01-15,1x1,802,2206,03/19/2024,False
33,Casa Vera,01-15,1x1,802,2215,03/20/2024,False
34,Casa Vera,01-15,1x1,802,2167,03/21/2024,False
35,Casa Vera,01-15,1x1,802,2167,03/22/2024,False
36,Casa Vera,01-15,1x1,802,2167,03/23/2024,False
37,Casa Vera,01-15,1x1,802,2167,03/24/2024,False
38,Casa Vera,01-15,1x1,802,2125,03/25/2024,False
39,Casa Vera,01-15,1x1,802,2125,03/26/2024,False
40,Casa Vera,01-15,1x1,802,2125,03/27/2024,False
41,Casa Vera,01-15,1x1,802,2070,03/28/2024,False
42,Casa Vera,01-15,1x1,802,2043,03/29/2024,False
43,Casa Vera,01-15,1x1,802,2043,03/30/2024,False
