building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2455,12/12/2023,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2455,12/13/2023,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2455,12/14/2023,True
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2527,02/01/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2516,02/02/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2516,02/03/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2516,02/04/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2516,02/05/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2516,02/06/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2516,02/07/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/08/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/09/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/10/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/11/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/12/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/13/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/14/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/15/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/16/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/17/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/18/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/19/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/20/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/21/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/22/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/23/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/24/2025,False
Cortland La Villita,"Dallas-Fort Worth-Arlington, TX",1002,2x2,1258,2474,02/25/2025,False
