building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/09/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/10/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/11/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/12/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/13/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/14/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/15/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/16/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/17/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/18/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/19/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/20/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/21/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/22/2025,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-101,0x1,530,1372,04/23/2025,True
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/14/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/15/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/16/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/17/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/18/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/19/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/20/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/21/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/22/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/23/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/24/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/25/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/26/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/27/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/28/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/29/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/30/2024,False
Cortland Mirror Lake,"Orlando-Kissimmee-Sanford, FL",1-103,0x1,530,1382,08/31/2024,False
