building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1710,10/28/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1710,10/29/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1710,10/30/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1710,10/31/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1710,11/01/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1708,11/02/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1708,11/03/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1708,11/04/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1801,11/05/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1801,11/06/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1801,11/07/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1801,11/08/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1801,11/09/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1801,11/10/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1801,11/11/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1801,11/12/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1811,11/13/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1811,11/14/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1811,11/15/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1811,11/16/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1811,11/17/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1811,11/18/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1137,11/19/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1137,11/20/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1137,11/21/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1137,11/22/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1137,11/23/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1137,11/24/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1137,11/25/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1137,11/26/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1137,11/27/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1137,11/28/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10101,2x1,994,1137,11/29/2024,True
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1797,12/15/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/16/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/17/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/18/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/19/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/20/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/21/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/22/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/23/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/24/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/25/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/26/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/27/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/28/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/29/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/30/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,12/31/2023,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,01/01/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,01/02/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1757,01/03/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/04/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/05/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/06/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/07/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/08/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/09/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/10/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/11/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/12/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/13/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/14/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/15/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/16/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/17/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/18/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/19/2024,False
Cortland North Brookhaven,"Atlanta-Sandy Springs-Roswell, GA",10105,1x1,891,1712,01/20/2024,False
