,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Cortland Olde Raleigh,4004-103,2x2,954,1475,05/29/2024,False
1,Cortland Olde Raleigh,4004-103,2x2,954,1475,05/30/2024,False
2,Cortland Olde Raleigh,4004-103,2x2,954,1495,05/31/2024,False
3,Cortland Olde Raleigh,4004-103,2x2,954,1495,06/01/2024,False
4,Cortland Olde Raleigh,4004-103,2x2,954,1495,06/02/2024,False
5,Cortland Olde Raleigh,4004-103,2x2,954,1495,06/03/2024,False
6,Cortland Olde Raleigh,4004-103,2x2,954,1495,06/04/2024,False
7,Cortland Olde Raleigh,4004-103,2x2,954,1495,06/05/2024,False
8,Cortland Olde Raleigh,4004-103,2x2,954,1485,06/06/2024,False
9,Cortland Olde Raleigh,4004-103,2x2,954,1485,06/07/2024,False
10,Cortland Olde Raleigh,4004-103,2x2,954,1485,06/08/2024,False
11,Cortland Olde Raleigh,4004-103,2x2,954,1485,06/09/2024,False
12,Cortland Olde Raleigh,4004-103,2x2,954,1515,06/10/2024,False
13,Cortland Olde Raleigh,4004-103,2x2,954,1515,06/11/2024,False
14,Cortland Olde Raleigh,4004-103,2x2,954,1535,06/12/2024,False
15,Cortland Olde Raleigh,4004-103,2x2,954,1535,06/13/2024,False
16,Cortland Olde Raleigh,4004-103,2x2,954,1535,06/14/2024,False
17,Cortland Olde Raleigh,4004-103,2x2,954,1535,06/15/2024,False
18,Cortland Olde Raleigh,4004-103,2x2,954,1535,06/16/2024,False
19,Cortland Olde Raleigh,4004-103,2x2,954,1535,06/17/2024,False
20,Cortland Olde Raleigh,4004-103,2x2,954,1535,06/18/2024,False
21,Cortland Olde Raleigh,4004-103,2x2,954,1535,06/19/2024,False
22,Cortland Olde Raleigh,4004-103,2x2,954,1535,06/20/2024,False
23,Cortland Olde Raleigh,4004-103,2x2,954,1535,06/21/2024,False
24,Cortland Olde Raleigh,4004-103,2x2,954,1525,06/22/2024,False
25,Cortland Olde Raleigh,4004-103,2x2,954,1525,06/23/2024,False
26,Cortland Olde Raleigh,4004-103,2x2,954,1525,06/24/2024,False
27,Cortland Olde Raleigh,4004-103,2x2,954,1525,06/25/2024,False
28,Cortland Olde Raleigh,4004-103,2x2,954,1525,06/26/2024,False
29,Cortland Olde Raleigh,4004-103,2x2,954,1525,06/27/2024,False
30,Cortland Olde Raleigh,4004-103,2x2,954,1550,06/28/2024,False
31,Cortland Olde Raleigh,4004-103,2x2,954,1550,06/29/2024,False
32,Cortland Olde Raleigh,4004-103,2x2,954,1550,06/30/2024,False
33,Cortland Olde Raleigh,4004-103,2x2,954,1550,07/01/2024,False
34,Cortland Olde Raleigh,4004-103,2x2,954,1530,07/02/2024,False
35,Cortland Olde Raleigh,4004-103,2x2,954,1530,07/03/2024,False
36,Cortland Olde Raleigh,4004-103,2x2,954,1530,07/04/2024,False
37,Cortland Olde Raleigh,4004-103,2x2,954,1530,07/05/2024,False
38,Cortland Olde Raleigh,4004-103,2x2,954,1545,07/06/2024,False
39,Cortland Olde Raleigh,4004-103,2x2,954,1545,07/07/2024,False
40,Cortland Olde Raleigh,4004-103,2x2,954,1545,07/08/2024,False
41,Cortland Olde Raleigh,4004-103,2x2,954,1545,07/09/2024,False
42,Cortland Olde Raleigh,4004-103,2x2,954,1509,07/10/2024,False
43,Cortland Olde Raleigh,4004-103,2x2,954,1509,07/11/2024,False
44,Cortland Olde Raleigh,4004-103,2x2,954,1484,07/12/2024,False
45,Cortland Olde Raleigh,4004-103,2x2,954,1484,07/13/2024,False
46,Cortland Olde Raleigh,4004-103,2x2,954,1484,07/14/2024,False
47,Cortland Olde Raleigh,4004-103,2x2,954,1484,07/15/2024,False
48,Cortland Olde Raleigh,4004-103,2x2,954,1484,07/16/2024,False
49,Cortland Olde Raleigh,4004-103,2x2,954,1495,07/17/2024,False
50,Cortland Olde Raleigh,4004-103,2x2,954,1495,07/18/2024,False
51,Cortland Olde Raleigh,4004-103,2x2,954,1495,07/19/2024,False
52,Cortland Olde Raleigh,4004-103,2x2,954,1513,07/20/2024,False
53,Cortland Olde Raleigh,4004-103,2x2,954,1513,07/21/2024,False
54,Cortland Olde Raleigh,4004-103,2x2,954,1513,07/22/2024,False
55,Cortland Olde Raleigh,4004-103,2x2,954,1513,07/23/2024,False
56,Cortland Olde Raleigh,4004-103,2x2,954,1513,07/24/2024,False
57,Cortland Olde Raleigh,4004-103,2x2,954,1513,07/25/2024,False
58,Cortland Olde Raleigh,4004-103,2x2,954,1513,07/26/2024,False
59,Cortland Olde Raleigh,4004-103,2x2,954,1531,07/27/2024,False
60,Cortland Olde Raleigh,4004-103,2x2,954,1531,07/28/2024,False
