building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1979,08/29/2023,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1979,08/30/2023,True
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/07/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/08/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/09/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/10/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/11/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/12/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/13/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/14/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/15/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/16/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/17/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/18/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/19/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/20/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/21/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/22/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/23/2025,False
Cortland Park 83,"Atlanta-Sandy Springs-Roswell, GA",1002,2x2,1180,1734,03/24/2025,False
