,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Cortland Waters Edge,10206,1x1,799,1518,03/21/2025,False
1,Cortland Waters Edge,10206,1x1,799,1518,03/22/2025,False
2,Cortland Waters Edge,10206,1x1,799,1518,03/23/2025,False
3,Cortland Waters Edge,10206,1x1,799,1518,03/24/2025,False
4,Cortland Waters Edge,10206,1x1,799,1518,03/25/2025,False
5,Cortland Waters Edge,10206,1x1,799,1518,03/26/2025,False
6,Cortland Waters Edge,10206,1x1,799,1427,03/27/2025,False
7,Cortland Waters Edge,10206,1x1,799,1403,03/28/2025,False
8,Cortland Waters Edge,10206,1x1,799,1403,03/29/2025,False
9,Cortland Waters Edge,10206,1x1,799,1403,03/30/2025,False
10,Cortland Waters Edge,10206,1x1,799,1403,03/31/2025,False
11,Cortland Waters Edge,10206,1x1,799,1403,04/01/2025,True
12,Cortland Waters Edge,11103,1x1,890,1632,12/22/2024,False
13,Cortland Waters Edge,11103,1x1,890,1715,12/23/2024,False
14,Cortland Waters Edge,11103,1x1,890,1632,12/24/2024,False
15,Cortland Waters Edge,11103,1x1,890,1632,12/25/2024,False
16,Cortland Waters Edge,11103,1x1,890,1632,12/26/2024,False
17,Cortland Waters Edge,11103,1x1,890,1632,12/27/2024,False
18,Cortland Waters Edge,11103,1x1,890,1632,12/28/2024,False
19,Cortland Waters Edge,11103,1x1,890,1632,12/29/2024,False
20,Cortland Waters Edge,11103,1x1,890,1632,12/30/2024,False
21,Cortland Waters Edge,11103,1x1,890,1632,12/31/2024,False
22,Cortland Waters Edge,11103,1x1,890,1715,01/01/2025,False
23,Cortland Waters Edge,11103,1x1,890,1715,01/02/2025,False
24,Cortland Waters Edge,11103,1x1,890,1715,01/03/2025,False
25,Cortland Waters Edge,11103,1x1,890,1715,01/04/2025,False
26,Cortland Waters Edge,11103,1x1,890,1715,01/05/2025,False
27,Cortland Waters Edge,11103,1x1,890,1715,01/06/2025,False
28,Cortland Waters Edge,11103,1x1,890,1715,01/07/2025,False
29,Cortland Waters Edge,11103,1x1,890,1715,01/08/2025,False
30,Cortland Waters Edge,11103,1x1,890,1715,01/09/2025,False
31,Cortland Waters Edge,11103,1x1,890,1715,01/10/2025,False
32,Cortland Waters Edge,11103,1x1,890,1715,01/11/2025,False
33,Cortland Waters Edge,11103,1x1,890,1715,01/12/2025,False
34,Cortland Waters Edge,11103,1x1,890,1715,01/13/2025,False
35,Cortland Waters Edge,11103,1x1,890,1715,01/14/2025,False
36,Cortland Waters Edge,11103,1x1,890,1715,01/15/2025,False
37,Cortland Waters Edge,11103,1x1,890,1715,01/16/2025,False
38,Cortland Waters Edge,11103,1x1,890,1715,01/17/2025,False
39,Cortland Waters Edge,11103,1x1,890,1715,01/18/2025,False
40,Cortland Waters Edge,11103,1x1,890,1715,01/19/2025,False
41,Cortland Waters Edge,11103,1x1,890,1715,01/20/2025,False
42,Cortland Waters Edge,11103,1x1,890,1715,01/21/2025,False
43,Cortland Waters Edge,11103,1x1,890,1715,01/22/2025,False
44,Cortland Waters Edge,11103,1x1,890,1715,01/23/2025,False
45,Cortland Waters Edge,11103,1x1,890,1715,01/24/2025,False
46,Cortland Waters Edge,11103,1x1,890,1715,01/25/2025,False
47,Cortland Waters Edge,11103,1x1,890,1715,01/26/2025,False
48,Cortland Waters Edge,11103,1x1,890,1715,01/27/2025,False
49,Cortland Waters Edge,11103,1x1,890,1715,01/28/2025,False
50,Cortland Waters Edge,11103,1x1,890,1715,01/29/2025,False
51,Cortland Waters Edge,11103,1x1,890,1715,01/30/2025,False
52,Cortland Waters Edge,11103,1x1,890,1715,01/31/2025,False
53,Cortland Waters Edge,11103,1x1,890,1715,02/01/2025,False
54,Cortland Waters Edge,11103,1x1,890,1715,02/02/2025,False
55,Cortland Waters Edge,11103,1x1,890,1715,02/03/2025,False
56,Cortland Waters Edge,11103,1x1,890,1715,02/04/2025,False
57,Cortland Waters Edge,11103,1x1,890,1715,02/05/2025,False
58,Cortland Waters Edge,11103,1x1,890,1715,02/06/2025,False
59,Cortland Waters Edge,11103,1x1,890,1715,02/07/2025,False
60,Cortland Waters Edge,11103,1x1,890,1715,02/08/2025,False
61,Cortland Waters Edge,11103,1x1,890,1715,02/09/2025,False
62,Cortland Waters Edge,11103,1x1,890,1715,02/10/2025,False
63,Cortland Waters Edge,11103,1x1,890,1715,02/11/2025,False
64,Cortland Waters Edge,11103,1x1,890,1715,02/12/2025,False
65,Cortland Waters Edge,11103,1x1,890,1715,02/13/2025,False
66,Cortland Waters Edge,11103,1x1,890,1715,02/14/2025,False
67,Cortland Waters Edge,11103,1x1,890,1715,02/15/2025,False
68,Cortland Waters Edge,11103,1x1,890,1715,02/16/2025,False
69,Cortland Waters Edge,11103,1x1,890,1715,02/17/2025,False
70,Cortland Waters Edge,11103,1x1,890,1715,02/18/2025,False
71,Cortland Waters Edge,11103,1x1,890,1715,02/19/2025,False
72,Cortland Waters Edge,11103,1x1,890,1715,02/20/2025,False
73,Cortland Waters Edge,11103,1x1,890,1715,02/21/2025,False
74,Cortland Waters Edge,11103,1x1,890,1715,02/22/2025,False
75,Cortland Waters Edge,11103,1x1,890,1715,02/23/2025,False
76,Cortland Waters Edge,11103,1x1,890,1715,02/24/2025,False
77,Cortland Waters Edge,11103,1x1,890,1715,02/25/2025,False
78,Cortland Waters Edge,11103,1x1,890,1715,02/26/2025,False
79,Cortland Waters Edge,11103,1x1,890,1715,02/27/2025,False
