,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Cortland West Houston,0111,1x1,655,1266,07/25/2023,False
1,Cortland West Houston,0111,1x1,655,1266,07/26/2023,False
2,Cortland West Houston,0111,1x1,655,1266,07/27/2023,False
3,Cortland West Houston,0111,1x1,655,1266,07/28/2023,False
4,Cortland West Houston,0111,1x1,655,1266,07/29/2023,False
5,Cortland West Houston,0111,1x1,655,1266,07/30/2023,False
6,Cortland West Houston,0111,1x1,655,1266,07/31/2023,False
7,Cortland West Houston,0111,1x1,655,1277,08/01/2023,False
8,Cortland West Houston,0111,1x1,655,1277,08/02/2023,False
9,Cortland West Houston,0111,1x1,655,1277,08/03/2023,False
10,Cortland West Houston,0111,1x1,655,1277,08/04/2023,False
11,Cortland West Houston,0111,1x1,655,1277,08/05/2023,False
12,Cortland West Houston,0111,1x1,655,1277,08/06/2023,False
13,Cortland West Houston,0111,1x1,655,1277,08/07/2023,False
14,Cortland West Houston,0111,1x1,655,1277,08/08/2023,False
15,Cortland West Houston,0111,1x1,655,1277,08/09/2023,False
16,Cortland West Houston,0111,1x1,655,1277,08/10/2023,False
17,Cortland West Houston,0111,1x1,655,1277,08/11/2023,False
18,Cortland West Houston,0111,1x1,655,1277,08/12/2023,False
19,Cortland West Houston,0111,1x1,655,1277,08/13/2023,False
20,Cortland West Houston,0111,1x1,655,1277,08/14/2023,False
21,Cortland West Houston,0111,1x1,655,1277,08/15/2023,False
22,Cortland West Houston,0111,1x1,655,1277,08/16/2023,False
23,Cortland West Houston,0111,1x1,655,1277,08/17/2023,False
24,Cortland West Houston,0111,1x1,655,1277,08/18/2023,False
25,Cortland West Houston,0111,1x1,655,1277,08/19/2023,False
26,Cortland West Houston,0111,1x1,655,1277,08/20/2023,False
27,Cortland West Houston,0111,1x1,655,1277,08/21/2023,False
28,Cortland West Houston,0111,1x1,655,1277,08/22/2023,False
29,Cortland West Houston,0111,1x1,655,1277,08/23/2023,False
30,Cortland West Houston,0111,1x1,655,1277,08/24/2023,False
31,Cortland West Houston,0111,1x1,655,1277,08/25/2023,False
32,Cortland West Houston,0111,1x1,655,1277,08/26/2023,False
33,Cortland West Houston,0111,1x1,655,1277,08/27/2023,False
34,Cortland West Houston,0111,1x1,655,1277,08/28/2023,False
35,Cortland West Houston,0111,1x1,655,1277,08/29/2023,False
36,Cortland West Houston,0111,1x1,655,1277,08/30/2023,False
37,Cortland West Houston,0111,1x1,655,1277,08/31/2023,False
38,Cortland West Houston,0111,1x1,655,1277,09/01/2023,False
39,Cortland West Houston,0111,1x1,655,1277,09/02/2023,False
40,Cortland West Houston,0111,1x1,655,1277,09/03/2023,False
41,Cortland West Houston,0111,1x1,655,1277,09/04/2023,False
42,Cortland West Houston,0111,1x1,655,1277,09/05/2023,False
43,Cortland West Houston,0111,1x1,655,1277,09/06/2023,False
44,Cortland West Houston,0111,1x1,655,1277,09/07/2023,False
45,Cortland West Houston,0111,1x1,655,1277,09/08/2023,False
46,Cortland West Houston,0111,1x1,655,1277,09/09/2023,False
47,Cortland West Houston,0111,1x1,655,1277,09/10/2023,False
48,Cortland West Houston,0111,1x1,655,1249,09/11/2023,False
49,Cortland West Houston,0111,1x1,655,1249,09/12/2023,False
50,Cortland West Houston,0111,1x1,655,1149,09/13/2023,False
51,Cortland West Houston,0111,1x1,655,1149,09/14/2023,True
52,Cortland West Houston,0112,1x1,655,1269,07/24/2023,False
53,Cortland West Houston,0112,1x1,655,1269,07/25/2023,False
54,Cortland West Houston,0112,1x1,655,1269,07/26/2023,False
55,Cortland West Houston,0112,1x1,655,1269,07/27/2023,True
56,Cortland West Houston,0112,1x1,655,1229,12/24/2024,False
57,Cortland West Houston,0112,1x1,655,1229,12/25/2024,False
