building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/08/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/09/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/10/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/11/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/12/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/13/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/14/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/15/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/16/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/17/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/18/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/19/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/20/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/21/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1982,07/22/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1921,07/23/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1921,07/24/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1921,07/25/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1921,07/26/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1921,07/27/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1921,07/28/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1921,07/29/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,07/30/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,07/31/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/01/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/02/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/03/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/04/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/05/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/06/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/07/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/08/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/09/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/10/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/11/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/12/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/13/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/14/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/15/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/16/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/17/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/18/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/19/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/20/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/21/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/22/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/23/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/24/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/25/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1850,08/26/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,08/27/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,08/28/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,08/29/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,08/30/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,08/31/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/01/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/02/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/03/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/04/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/05/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/06/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/07/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/08/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/09/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/10/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/11/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/12/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/13/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/14/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/15/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1826,09/16/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1761,09/17/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1761,09/18/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1761,09/19/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1761,09/20/2024,False
Cortland at Raven,"Phoenix-Mesa-Scottsdale, AZ",101,2x2,1081,1761,09/21/2024,False
