building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/15/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/16/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/17/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/18/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/19/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/20/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/21/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/22/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/23/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/24/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/25/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/26/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/27/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/28/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,02/29/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/01/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/02/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/03/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/04/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/05/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/06/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/07/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/08/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/09/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/10/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/11/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,03/12/2024,True
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2196,06/07/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2196,06/08/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2196,06/09/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2243,06/10/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2243,06/11/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2243,06/12/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2243,06/13/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2243,06/14/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2243,06/15/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2243,06/16/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2243,06/17/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-105,2x2,1053,2243,06/18/2024,False
