,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Courtland Park,102,2x2,1115,3295,07/11/2024,False
1,Courtland Park,102,2x2,1115,3395,07/12/2024,False
2,Courtland Park,102,2x2,1115,3395,07/13/2024,False
3,Courtland Park,102,2x2,1115,3395,07/14/2024,False
4,Courtland Park,102,2x2,1115,3395,07/15/2024,False
5,Courtland Park,102,2x2,1115,3395,07/16/2024,False
6,Courtland Park,102,2x2,1115,3450,07/17/2024,False
7,Courtland Park,102,2x2,1115,3450,07/18/2024,True
8,Courtland Park,103,1x1,620,2270,06/21/2023,False
9,Courtland Park,103,1x1,620,2270,06/22/2023,False
10,Courtland Park,103,1x1,620,2270,06/23/2023,False
11,Courtland Park,103,1x1,620,2270,06/24/2023,True
12,Courtland Park,105,1x1,636,2195,02/14/2024,False
13,Courtland Park,105,1x1,636,2195,02/15/2024,False
14,Courtland Park,105,1x1,636,2270,02/16/2024,False
15,Courtland Park,105,1x1,636,2270,02/17/2024,False
16,Courtland Park,105,1x1,636,2270,02/18/2024,False
17,Courtland Park,105,1x1,636,2270,02/19/2024,False
18,Courtland Park,105,1x1,636,2270,02/20/2024,False
19,Courtland Park,105,1x1,636,2270,02/21/2024,False
20,Courtland Park,105,1x1,636,2270,02/22/2024,False
21,Courtland Park,105,1x1,636,2270,02/23/2024,True
22,Courtland Park,110,1x1,600,2270,06/17/2023,False
23,Courtland Park,110,1x1,600,2270,06/18/2023,False
24,Courtland Park,110,1x1,600,2270,06/19/2023,False
25,Courtland Park,110,1x1,600,2270,06/20/2023,False
26,Courtland Park,110,1x1,600,2270,06/21/2023,False
27,Courtland Park,110,1x1,600,2270,06/22/2023,True
28,Courtland Park,110,1x1,600,2270,07/31/2024,False
29,Courtland Park,110,1x1,600,2270,08/01/2024,False
30,Courtland Park,110,1x1,600,2270,08/02/2024,False
31,Courtland Park,110,1x1,600,2270,08/03/2024,False
32,Courtland Park,110,1x1,600,2270,08/04/2024,False
33,Courtland Park,110,1x1,600,2270,08/05/2024,False
34,Courtland Park,110,1x1,600,2270,08/06/2024,True
35,Courtland Park,112,2x2,1104,3495,11/05/2024,False
36,Courtland Park,112,2x2,1104,3495,11/06/2024,False
37,Courtland Park,112,2x2,1104,3495,11/07/2024,False
38,Courtland Park,112,2x2,1104,3495,11/08/2024,False
39,Courtland Park,112,2x2,1104,3495,11/09/2024,False
40,Courtland Park,112,2x2,1104,3495,11/10/2024,False
41,Courtland Park,112,2x2,1104,3495,11/11/2024,False
42,Courtland Park,112,2x2,1104,3495,11/12/2024,False
43,Courtland Park,112,2x2,1104,3495,11/13/2024,False
44,Courtland Park,112,2x2,1104,3495,11/14/2024,False
45,Courtland Park,112,2x2,1104,3495,11/15/2024,False
46,Courtland Park,112,2x2,1104,3495,11/16/2024,False
47,Courtland Park,112,2x2,1104,3495,11/17/2024,False
48,Courtland Park,112,2x2,1104,3495,11/18/2024,False
49,Courtland Park,112,2x2,1104,3495,11/19/2024,False
50,Courtland Park,112,2x2,1104,3495,11/20/2024,False
51,Courtland Park,112,2x2,1104,3495,11/21/2024,False
52,Courtland Park,112,2x2,1104,3495,11/22/2024,False
53,Courtland Park,112,2x2,1104,3495,11/23/2024,False
54,Courtland Park,112,2x2,1104,3495,11/24/2024,False
55,Courtland Park,112,2x2,1104,3495,11/25/2024,False
56,Courtland Park,112,2x2,1104,3495,11/26/2024,False
57,Courtland Park,112,2x2,1104,3495,11/27/2024,False
58,Courtland Park,112,2x2,1104,3495,11/28/2024,False
59,Courtland Park,112,2x2,1104,3495,11/29/2024,False
60,Courtland Park,112,2x2,1104,3495,11/30/2024,False
61,Courtland Park,112,2x2,1104,3495,12/01/2024,False
62,Courtland Park,112,2x2,1104,3495,12/02/2024,False
63,Courtland Park,112,2x2,1104,3495,12/03/2024,False
64,Courtland Park,112,2x2,1104,3495,12/04/2024,False
65,Courtland Park,112,2x2,1104,3495,12/05/2024,False
66,Courtland Park,112,2x2,1104,3495,12/06/2024,False
67,Courtland Park,112,2x2,1104,3495,12/07/2024,False
68,Courtland Park,112,2x2,1104,3495,12/08/2024,False
69,Courtland Park,112,2x2,1104,3495,12/09/2024,False
70,Courtland Park,112,2x2,1104,3495,12/10/2024,False
71,Courtland Park,112,2x2,1104,3495,12/11/2024,False
72,Courtland Park,112,2x2,1104,3495,12/12/2024,False
73,Courtland Park,112,2x2,1104,3495,12/13/2024,False
74,Courtland Park,112,2x2,1104,3495,12/14/2024,False
75,Courtland Park,112,2x2,1104,3495,12/15/2024,False
76,Courtland Park,112,2x2,1104,3495,12/16/2024,False
77,Courtland Park,112,2x2,1104,3495,12/17/2024,False
78,Courtland Park,112,2x2,1104,3495,12/18/2024,False
79,Courtland Park,112,2x2,1104,3495,12/19/2024,False
80,Courtland Park,112,2x2,1104,3495,12/20/2024,False
81,Courtland Park,112,2x2,1104,3495,12/21/2024,False
82,Courtland Park,112,2x2,1104,3495,12/22/2024,False
83,Courtland Park,112,2x2,1104,3425,12/23/2024,False
84,Courtland Park,112,2x2,1104,3425,12/24/2024,False
85,Courtland Park,112,2x2,1104,3425,12/25/2024,False
86,Courtland Park,112,2x2,1104,3425,12/26/2024,False
87,Courtland Park,112,2x2,1104,3425,12/27/2024,False
88,Courtland Park,112,2x2,1104,3425,12/28/2024,False
89,Courtland Park,112,2x2,1104,3425,12/29/2024,False
90,Courtland Park,112,2x2,1104,3425,12/30/2024,False
91,Courtland Park,112,2x2,1104,3425,12/31/2024,True
92,Courtland Park,117,2x2,833,3230,06/17/2023,False
93,Courtland Park,117,2x2,833,3230,06/18/2023,False
94,Courtland Park,117,2x2,833,3230,06/19/2023,False
95,Courtland Park,117,2x2,833,3230,06/20/2023,False
96,Courtland Park,117,2x2,833,3230,06/21/2023,False
97,Courtland Park,117,2x2,833,3230,06/22/2023,False
98,Courtland Park,117,2x2,833,3230,06/23/2023,False
99,Courtland Park,117,2x2,833,3230,06/24/2023,False
100,Courtland Park,117,2x2,833,3230,06/25/2023,False
101,Courtland Park,117,2x2,833,3230,06/26/2023,False
102,Courtland Park,117,2x2,833,3230,06/27/2023,False
103,Courtland Park,117,2x2,833,3230,06/28/2023,False
104,Courtland Park,117,2x2,833,3230,06/29/2023,False
105,Courtland Park,117,2x2,833,3230,06/30/2023,False
106,Courtland Park,117,2x2,833,3230,07/01/2023,False
107,Courtland Park,117,2x2,833,3230,07/02/2023,False
108,Courtland Park,117,2x2,833,3230,07/03/2023,False
109,Courtland Park,117,2x2,833,3230,07/04/2023,False
110,Courtland Park,117,2x2,833,3230,07/05/2023,False
111,Courtland Park,117,2x2,833,3230,07/06/2023,False
112,Courtland Park,117,2x2,833,3230,07/07/2023,False
113,Courtland Park,117,2x2,833,3230,07/08/2023,False
114,Courtland Park,117,2x2,833,3230,07/09/2023,False
115,Courtland Park,117,2x2,833,3230,07/10/2023,True
116,Courtland Park,120,1x1,670,2270,07/10/2023,False
117,Courtland Park,120,1x1,670,2270,07/11/2023,False
118,Courtland Park,120,1x1,670,2270,07/12/2023,False
119,Courtland Park,120,1x1,670,2270,07/13/2023,False
120,Courtland Park,120,1x1,670,2270,07/14/2023,False
121,Courtland Park,120,1x1,670,2270,07/15/2023,False
122,Courtland Park,120,1x1,670,2270,07/16/2023,False
123,Courtland Park,120,1x1,670,2270,07/17/2023,False
124,Courtland Park,120,1x1,670,2270,07/18/2023,False
125,Courtland Park,120,1x1,670,2270,07/19/2023,False
126,Courtland Park,120,1x1,670,2270,07/20/2023,False
127,Courtland Park,120,1x1,670,2270,07/21/2023,False
128,Courtland Park,120,1x1,670,2270,07/22/2023,False
129,Courtland Park,120,1x1,670,2270,07/23/2023,False
130,Courtland Park,120,1x1,670,2270,07/24/2023,False
131,Courtland Park,120,1x1,670,2270,07/25/2023,False
132,Courtland Park,120,1x1,670,2270,07/26/2023,False
133,Courtland Park,120,1x1,670,2270,07/27/2023,True
134,Courtland Park,120,1x1,670,2270,02/25/2025,False
135,Courtland Park,120,1x1,670,2470,02/26/2025,False
