building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1674,05/30/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1674,05/31/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1674,06/01/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1674,06/02/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1674,06/03/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1685,06/04/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1695,06/05/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1695,06/06/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1695,06/07/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1677,06/08/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1677,06/09/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1677,06/10/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1648,06/11/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1648,06/12/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1634,06/13/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1634,06/14/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1634,06/15/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1634,06/16/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1541,06/17/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/18/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/19/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/20/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/21/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/22/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/23/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/24/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/25/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/26/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/27/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/28/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/29/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,06/30/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,07/01/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,07/02/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,07/03/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,07/04/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,07/05/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,07/06/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,07/07/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,07/08/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,07/09/2024,False
Enchanted Springs Apartments,"Colorado Springs, CO",3211-107,1x1,824,1466,07/10/2024,False
