building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1217,01/21/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1217,01/22/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1217,01/23/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1217,01/24/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1247,01/25/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1247,01/26/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1247,01/27/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1247,01/28/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1247,01/29/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1247,01/30/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1217,01/31/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1249,02/01/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1168,02/02/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1168,02/03/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1168,02/04/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1168,02/05/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1320,02/06/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1320,02/07/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1320,02/08/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1320,02/09/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1320,02/10/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1320,02/11/2024,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-121,0x1,550,1320,02/12/2024,True
Estancia Villas,"San Antonio-New Braunfels, TX",01-123,0x1,550,1163,10/11/2023,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-123,0x1,550,1163,10/12/2023,False
Estancia Villas,"San Antonio-New Braunfels, TX",01-123,0x1,550,1147,10/13/2023,False
