building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1330,02/07/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1330,02/08/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1201,02/09/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1201,02/10/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1201,02/11/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1201,02/12/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1201,02/13/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1201,02/14/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1201,02/15/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1201,02/16/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1201,02/17/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1201,02/18/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1201,02/19/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1260,02/20/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1228,02/21/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1228,02/22/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1228,02/23/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1228,02/24/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1228,02/25/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1228,02/26/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1227,02/27/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1227,02/28/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1227,03/01/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1227,03/02/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1218,03/03/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1218,03/04/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1218,03/05/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1218,03/06/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1218,03/07/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1218,03/08/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1218,03/09/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1218,03/10/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1240,03/11/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1273,03/12/2025,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-101,1x1,762,1273,03/13/2025,True
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1386,08/03/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1386,08/04/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1386,08/05/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1386,08/06/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1386,08/07/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1386,08/08/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1386,08/09/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1336,08/10/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1336,08/11/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1336,08/12/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1336,08/13/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1278,08/14/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1278,08/15/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1278,08/16/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1315,08/17/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1318,08/18/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1278,08/19/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1278,08/20/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1278,08/21/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1274,08/22/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1274,08/23/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1274,08/24/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1274,08/25/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1274,08/26/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1274,08/27/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1274,08/28/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1387,08/29/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1260,08/30/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1264,08/31/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1373,09/01/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/02/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/03/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/04/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/05/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/06/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/07/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/08/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/09/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/10/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/11/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/12/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1253,09/13/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1299,09/14/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1299,09/15/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1299,09/16/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1299,09/17/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1299,09/18/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1389,09/19/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1241,09/20/2024,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-103,1x1,762,1241,09/21/2024,True
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1353,09/02/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1307,09/03/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1320,09/04/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1333,09/05/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1333,09/06/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1333,09/07/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1333,09/08/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1333,09/09/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1333,09/10/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1333,09/11/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/12/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/13/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/14/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/15/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/16/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/17/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/18/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/19/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/20/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/21/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/22/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/23/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/24/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/25/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/26/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/27/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/28/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/29/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,09/30/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,10/01/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,10/02/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,10/03/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,10/04/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,10/05/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,10/06/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,10/07/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,10/08/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,10/09/2023,False
Estates at Las Colinas,"Dallas-Fort Worth-Arlington, TX",1-105,1x1,762,1270,10/10/2023,False
