,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Estraya Westover Hills,01101,3x2,1362,1795,08/13/2024,False
1,Estraya Westover Hills,01101,3x2,1362,1795,08/14/2024,False
2,Estraya Westover Hills,01101,3x2,1362,1795,08/15/2024,False
3,Estraya Westover Hills,01101,3x2,1362,1795,08/16/2024,False
4,Estraya Westover Hills,01101,3x2,1362,1795,08/17/2024,True
5,Estraya Westover Hills,01102,3x2,1362,2038,07/30/2023,False
6,Estraya Westover Hills,01102,3x2,1362,2030,07/31/2023,False
7,Estraya Westover Hills,01102,3x2,1362,2022,08/01/2023,False
8,Estraya Westover Hills,01102,3x2,1362,2022,08/02/2023,False
9,Estraya Westover Hills,01102,3x2,1362,2085,08/03/2023,False
10,Estraya Westover Hills,01102,3x2,1362,2085,08/04/2023,False
11,Estraya Westover Hills,01102,3x2,1362,2085,08/05/2023,False
12,Estraya Westover Hills,01102,3x2,1362,2085,08/06/2023,False
13,Estraya Westover Hills,01102,3x2,1362,2085,08/07/2023,False
14,Estraya Westover Hills,01102,3x2,1362,2085,08/08/2023,False
15,Estraya Westover Hills,01102,3x2,1362,2085,08/09/2023,False
16,Estraya Westover Hills,01102,3x2,1362,2085,08/10/2023,False
17,Estraya Westover Hills,01102,3x2,1362,2085,08/11/2023,False
18,Estraya Westover Hills,01102,3x2,1362,2077,08/12/2023,False
19,Estraya Westover Hills,01102,3x2,1362,2069,08/13/2023,False
20,Estraya Westover Hills,01102,3x2,1362,2059,08/14/2023,False
21,Estraya Westover Hills,01102,3x2,1362,2049,08/15/2023,False
22,Estraya Westover Hills,01102,3x2,1362,2033,08/16/2023,False
23,Estraya Westover Hills,01102,3x2,1362,2033,08/17/2023,False
24,Estraya Westover Hills,01102,3x2,1362,2050,08/18/2023,False
25,Estraya Westover Hills,01102,3x2,1362,2050,08/19/2023,False
26,Estraya Westover Hills,01102,3x2,1362,2050,08/20/2023,False
27,Estraya Westover Hills,01102,3x2,1362,2050,08/21/2023,False
28,Estraya Westover Hills,01102,3x2,1362,2050,08/22/2023,False
29,Estraya Westover Hills,01102,3x2,1362,2050,08/23/2023,False
30,Estraya Westover Hills,01102,3x2,1362,2050,08/24/2023,False
31,Estraya Westover Hills,01102,3x2,1362,2050,08/25/2023,False
32,Estraya Westover Hills,01102,3x2,1362,2050,08/26/2023,False
33,Estraya Westover Hills,01102,3x2,1362,2050,08/27/2023,False
34,Estraya Westover Hills,01102,3x2,1362,2050,08/28/2023,False
35,Estraya Westover Hills,01102,3x2,1362,2050,08/29/2023,False
36,Estraya Westover Hills,01102,3x2,1362,2050,08/30/2023,False
37,Estraya Westover Hills,01102,3x2,1362,2050,08/31/2023,False
38,Estraya Westover Hills,01102,3x2,1362,2050,09/01/2023,False
39,Estraya Westover Hills,01102,3x2,1362,2050,09/02/2023,False
40,Estraya Westover Hills,01102,3x2,1362,2050,09/03/2023,False
41,Estraya Westover Hills,01102,3x2,1362,2050,09/04/2023,False
42,Estraya Westover Hills,01102,3x2,1362,2050,09/05/2023,False
43,Estraya Westover Hills,01102,3x2,1362,2050,09/06/2023,False
44,Estraya Westover Hills,01102,3x2,1362,2050,09/07/2023,False
45,Estraya Westover Hills,01102,3x2,1362,2050,09/08/2023,False
46,Estraya Westover Hills,01102,3x2,1362,2050,09/09/2023,False
47,Estraya Westover Hills,01102,3x2,1362,2050,09/10/2023,False
48,Estraya Westover Hills,01102,3x2,1362,2050,09/11/2023,False
49,Estraya Westover Hills,01102,3x2,1362,2050,09/12/2023,False
50,Estraya Westover Hills,01102,3x2,1362,2050,09/13/2023,False
51,Estraya Westover Hills,01102,3x2,1362,2050,09/14/2023,False
52,Estraya Westover Hills,01102,3x2,1362,2050,09/15/2023,False
53,Estraya Westover Hills,01102,3x2,1362,2050,09/16/2023,False
54,Estraya Westover Hills,01102,3x2,1362,2042,09/17/2023,False
55,Estraya Westover Hills,01102,3x2,1362,2034,09/18/2023,False
56,Estraya Westover Hills,01102,3x2,1362,2026,09/19/2023,False
57,Estraya Westover Hills,01102,3x2,1362,2018,09/20/2023,False
58,Estraya Westover Hills,01102,3x2,1362,2010,09/21/2023,False
59,Estraya Westover Hills,01102,3x2,1362,2002,09/22/2023,False
60,Estraya Westover Hills,01102,3x2,1362,2000,09/23/2023,False
61,Estraya Westover Hills,01102,3x2,1362,2000,09/24/2023,False
