building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2325,01/03/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2325,01/04/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2325,01/05/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2325,01/06/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2325,01/07/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2325,01/08/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2332,01/09/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2332,01/10/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2332,01/11/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2332,01/12/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2290,01/13/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/14/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/15/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/16/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/17/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/18/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/19/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/20/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/21/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/22/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/23/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/24/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/25/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/26/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/27/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/28/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/29/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/30/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,01/31/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,02/01/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,02/02/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,02/03/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,02/04/2024,False
Franciscan at Bear Creek,"Dallas-Fort Worth-Arlington, TX",1015,3x2,1309,2269,02/05/2024,False
