building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2211,10/07/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2202,10/08/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2238,10/09/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2229,10/10/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2211,10/11/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2211,10/12/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2211,10/13/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2202,10/14/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2202,10/15/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2202,10/16/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2202,10/17/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2184,10/18/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2184,10/19/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2211,10/20/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2193,10/21/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2184,10/22/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2166,10/23/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2157,10/24/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2157,10/25/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2130,10/26/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2121,10/27/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2112,10/28/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2112,10/29/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2103,10/30/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2094,10/31/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2043,11/01/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2027,11/02/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2018,11/03/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2018,11/04/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2018,11/05/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2002,11/06/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1986,11/07/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1977,11/08/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1961,11/09/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1952,11/10/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1952,11/11/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1944,11/12/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1928,11/13/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1920,11/14/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1920,11/15/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1895,11/16/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1886,11/17/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1870,11/18/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1870,11/19/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1862,11/20/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2022,11/21/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2022,11/22/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,2004,11/23/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1968,11/24/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1968,11/25/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1968,11/26/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1968,11/27/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1878,11/28/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1878,11/29/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1878,11/30/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1878,12/01/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1842,12/02/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1842,12/03/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1842,12/04/2023,False
Gables Cherry Creek,"Denver-Aurora-Lakewood, CO",0104,1x1,783,1842,12/05/2023,False
