,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Gateway Park,111,2x2,1068,2657,06/27/2023,False
1,Gateway Park,111,2x2,1068,2657,06/28/2023,False
2,Gateway Park,111,2x2,1068,2199,06/29/2023,False
3,Gateway Park,111,2x2,1068,2199,06/30/2023,False
4,Gateway Park,111,2x2,1068,2199,07/01/2023,False
5,Gateway Park,111,2x2,1068,2199,07/02/2023,False
6,Gateway Park,111,2x2,1068,2199,07/03/2023,False
7,Gateway Park,111,2x2,1068,2199,07/04/2023,False
8,Gateway Park,111,2x2,1068,2199,07/05/2023,False
9,Gateway Park,111,2x2,1068,2199,07/06/2023,False
10,Gateway Park,111,2x2,1068,2199,07/07/2023,False
11,Gateway Park,111,2x2,1068,2199,07/08/2023,False
12,Gateway Park,111,2x2,1068,2199,07/09/2023,False
13,Gateway Park,111,2x2,1068,2199,07/10/2023,False
14,Gateway Park,111,2x2,1068,2199,07/11/2023,False
15,Gateway Park,111,2x2,1068,2199,07/12/2023,False
16,Gateway Park,111,2x2,1068,2199,07/13/2023,False
17,Gateway Park,111,2x2,1068,2199,07/14/2023,False
18,Gateway Park,111,2x2,1068,2199,07/15/2023,False
19,Gateway Park,111,2x2,1068,2199,07/16/2023,False
20,Gateway Park,111,2x2,1068,2199,07/17/2023,False
21,Gateway Park,111,2x2,1068,2199,07/18/2023,False
22,Gateway Park,111,2x2,1068,2199,07/19/2023,False
23,Gateway Park,111,2x2,1068,2199,07/20/2023,False
24,Gateway Park,111,2x2,1068,2199,07/21/2023,False
25,Gateway Park,111,2x2,1068,2199,07/22/2023,False
26,Gateway Park,111,2x2,1068,2199,07/23/2023,False
27,Gateway Park,111,2x2,1068,2199,07/24/2023,False
28,Gateway Park,111,2x2,1068,2199,07/25/2023,False
29,Gateway Park,111,2x2,1068,2199,07/26/2023,False
30,Gateway Park,111,2x2,1068,2199,07/27/2023,False
31,Gateway Park,111,2x2,1068,2299,07/28/2023,False
32,Gateway Park,111,2x2,1068,2299,07/29/2023,False
33,Gateway Park,111,2x2,1068,2299,07/30/2023,False
34,Gateway Park,111,2x2,1068,2299,07/31/2023,False
35,Gateway Park,111,2x2,1068,2299,08/01/2023,False
36,Gateway Park,111,2x2,1068,2299,08/02/2023,False
37,Gateway Park,111,2x2,1068,2299,08/03/2023,False
38,Gateway Park,111,2x2,1068,2299,08/04/2023,False
39,Gateway Park,111,2x2,1068,2299,08/05/2023,False
40,Gateway Park,111,2x2,1068,2299,08/06/2023,False
41,Gateway Park,111,2x2,1068,2299,08/07/2023,False
42,Gateway Park,111,2x2,1068,2299,08/08/2023,False
43,Gateway Park,111,2x2,1068,2299,08/09/2023,False
44,Gateway Park,111,2x2,1068,2299,08/10/2023,False
45,Gateway Park,111,2x2,1068,2299,08/11/2023,False
46,Gateway Park,111,2x2,1068,2299,08/12/2023,False
47,Gateway Park,111,2x2,1068,2189,08/13/2023,False
48,Gateway Park,111,2x2,1068,2189,08/14/2023,False
49,Gateway Park,111,2x2,1068,2189,08/15/2023,False
50,Gateway Park,111,2x2,1068,2189,08/16/2023,False
51,Gateway Park,111,2x2,1068,2189,08/17/2023,False
52,Gateway Park,111,2x2,1068,2189,08/18/2023,False
53,Gateway Park,111,2x2,1068,2189,08/19/2023,True
54,Gateway Park,114,1x1,811,1799,08/03/2023,False
55,Gateway Park,114,1x1,811,1799,08/04/2023,True
56,Gateway Park,122,2x2,1068,2170,12/12/2023,False
57,Gateway Park,122,2x2,1068,2170,12/13/2023,False
58,Gateway Park,122,2x2,1068,2170,12/14/2023,False
59,Gateway Park,122,2x2,1068,2170,12/15/2023,False
60,Gateway Park,122,2x2,1068,2170,12/16/2023,False
61,Gateway Park,122,2x2,1068,2170,12/17/2023,False
62,Gateway Park,122,2x2,1068,2170,12/18/2023,False
63,Gateway Park,122,2x2,1068,2170,12/19/2023,False
64,Gateway Park,122,2x2,1068,2170,12/20/2023,False
65,Gateway Park,122,2x2,1068,2170,12/21/2023,False
66,Gateway Park,122,2x2,1068,2170,12/22/2023,False
67,Gateway Park,122,2x2,1068,2170,12/23/2023,False
68,Gateway Park,122,2x2,1068,2170,12/24/2023,False
69,Gateway Park,122,2x2,1068,2170,12/25/2023,False
70,Gateway Park,122,2x2,1068,2170,12/26/2023,False
71,Gateway Park,122,2x2,1068,2076,12/27/2023,False
72,Gateway Park,122,2x2,1068,2076,12/28/2023,False
73,Gateway Park,122,2x2,1068,2076,12/29/2023,True
74,Gateway Park,126,1x1,811,1779,06/29/2023,False
75,Gateway Park,126,1x1,811,1779,06/30/2023,False
76,Gateway Park,126,1x1,811,1779,07/01/2023,False
77,Gateway Park,126,1x1,811,1779,07/02/2023,False
78,Gateway Park,126,1x1,811,1779,07/03/2023,False
79,Gateway Park,126,1x1,811,1779,07/04/2023,False
80,Gateway Park,126,1x1,811,1779,07/05/2023,False
81,Gateway Park,126,1x1,811,1779,07/06/2023,False
82,Gateway Park,126,1x1,811,1779,07/07/2023,False
83,Gateway Park,126,1x1,811,1779,07/08/2023,False
84,Gateway Park,126,1x1,811,1779,07/09/2023,False
85,Gateway Park,126,1x1,811,1779,07/10/2023,False
86,Gateway Park,126,1x1,811,1779,07/11/2023,False
87,Gateway Park,126,1x1,811,1779,07/12/2023,False
88,Gateway Park,126,1x1,811,1779,07/13/2023,False
89,Gateway Park,126,1x1,811,1779,07/14/2023,False
90,Gateway Park,126,1x1,811,1779,07/15/2023,False
91,Gateway Park,126,1x1,811,1779,07/16/2023,False
92,Gateway Park,126,1x1,811,1779,07/17/2023,False
93,Gateway Park,126,1x1,811,1779,07/18/2023,False
94,Gateway Park,126,1x1,811,1779,07/19/2023,False
95,Gateway Park,126,1x1,811,1779,07/20/2023,False
96,Gateway Park,126,1x1,811,1779,07/21/2023,False
97,Gateway Park,126,1x1,811,1779,07/22/2023,False
98,Gateway Park,126,1x1,811,1779,07/23/2023,False
99,Gateway Park,126,1x1,811,1779,07/24/2023,False
100,Gateway Park,126,1x1,811,1779,07/25/2023,False
101,Gateway Park,126,1x1,811,1779,07/26/2023,False
102,Gateway Park,126,1x1,811,1779,07/27/2023,False
103,Gateway Park,126,1x1,811,1779,07/28/2023,False
104,Gateway Park,126,1x1,811,1779,07/29/2023,False
105,Gateway Park,126,1x1,811,1779,07/30/2023,False
106,Gateway Park,126,1x1,811,1779,07/31/2023,False
107,Gateway Park,126,1x1,811,1779,08/01/2023,False
108,Gateway Park,126,1x1,811,1779,08/02/2023,False
