,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Gateway at Pinellas Apartments,1-101,1x1,893,2203,04/25/2024,False
1,Gateway at Pinellas Apartments,1-101,1x1,893,2203,04/26/2024,False
2,Gateway at Pinellas Apartments,1-101,1x1,893,2203,04/27/2024,False
3,Gateway at Pinellas Apartments,1-101,1x1,893,2203,04/28/2024,False
4,Gateway at Pinellas Apartments,1-101,1x1,893,2203,04/29/2024,False
5,Gateway at Pinellas Apartments,1-101,1x1,893,2178,04/30/2024,False
6,Gateway at Pinellas Apartments,1-101,1x1,893,2142,05/01/2024,False
7,Gateway at Pinellas Apartments,1-101,1x1,893,2142,05/02/2024,False
8,Gateway at Pinellas Apartments,1-101,1x1,893,2142,05/03/2024,False
9,Gateway at Pinellas Apartments,1-101,1x1,893,2142,05/04/2024,False
10,Gateway at Pinellas Apartments,1-101,1x1,893,2142,05/05/2024,False
11,Gateway at Pinellas Apartments,1-101,1x1,893,2142,05/06/2024,False
12,Gateway at Pinellas Apartments,1-101,1x1,893,2142,05/07/2024,False
13,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/08/2024,False
14,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/09/2024,False
15,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/10/2024,False
16,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/11/2024,False
17,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/12/2024,False
18,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/13/2024,False
19,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/14/2024,False
20,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/15/2024,False
21,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/16/2024,False
22,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/17/2024,False
23,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/18/2024,False
24,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/19/2024,False
25,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/20/2024,False
26,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/21/2024,False
27,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/22/2024,False
28,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/23/2024,False
29,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/24/2024,False
30,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/25/2024,False
31,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/26/2024,False
32,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/27/2024,False
33,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/28/2024,False
34,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/29/2024,False
35,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/30/2024,False
36,Gateway at Pinellas Apartments,1-101,1x1,893,2112,05/31/2024,False
37,Gateway at Pinellas Apartments,1-101,1x1,893,2148,06/01/2024,False
38,Gateway at Pinellas Apartments,1-101,1x1,893,2148,06/02/2024,False
39,Gateway at Pinellas Apartments,1-101,1x1,893,2148,06/03/2024,False
40,Gateway at Pinellas Apartments,1-101,1x1,893,2148,06/04/2024,False
41,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/05/2024,False
42,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/06/2024,False
43,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/07/2024,False
44,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/08/2024,False
45,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/09/2024,False
46,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/10/2024,False
47,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/11/2024,False
48,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/12/2024,False
49,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/13/2024,False
50,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/14/2024,False
51,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/15/2024,False
52,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/16/2024,False
53,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/17/2024,False
54,Gateway at Pinellas Apartments,1-101,1x1,893,2062,06/18/2024,False
55,Gateway at Pinellas Apartments,1-101,1x1,893,2098,06/19/2024,False
56,Gateway at Pinellas Apartments,1-101,1x1,893,2098,06/20/2024,False
57,Gateway at Pinellas Apartments,1-101,1x1,893,2098,06/21/2024,False
58,Gateway at Pinellas Apartments,1-101,1x1,893,2108,06/22/2024,False
59,Gateway at Pinellas Apartments,1-101,1x1,893,2108,06/23/2024,False
60,Gateway at Pinellas Apartments,1-101,1x1,893,2093,06/24/2024,False
61,Gateway at Pinellas Apartments,1-101,1x1,893,2093,06/25/2024,False
62,Gateway at Pinellas Apartments,1-101,1x1,893,2093,06/26/2024,False
63,Gateway at Pinellas Apartments,1-101,1x1,893,2093,06/27/2024,False
64,Gateway at Pinellas Apartments,1-101,1x1,893,2093,06/28/2024,False
65,Gateway at Pinellas Apartments,1-101,1x1,893,2093,06/29/2024,False
66,Gateway at Pinellas Apartments,1-101,1x1,893,2093,06/30/2024,False
67,Gateway at Pinellas Apartments,1-101,1x1,893,2093,07/01/2024,False
