building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0112,2x2,1128,1700,07/14/2023,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0112,2x2,1128,1700,07/15/2023,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0112,2x2,1128,1700,07/16/2023,True
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0112,2x2,1128,1820,02/13/2025,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0112,2x2,1128,1820,02/14/2025,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0112,2x2,1128,1820,02/15/2025,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0112,2x2,1128,1820,02/16/2025,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0112,2x2,1128,1820,02/17/2025,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0112,2x2,1128,1820,02/18/2025,True
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1303,09/29/2023,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1303,09/30/2023,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1303,10/01/2023,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1303,10/02/2023,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1303,10/03/2023,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1303,10/04/2023,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1303,10/05/2023,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1303,10/06/2023,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1303,10/07/2023,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1303,10/08/2023,True
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1509,03/09/2024,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1509,03/10/2024,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1509,03/11/2024,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1509,03/12/2024,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1509,03/13/2024,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1509,03/14/2024,False
Grand Venetian at Las Colinas,"Dallas-Fort Worth-Arlington, TX",0116,1x1,837,1509,03/15/2024,True
