building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1368,04/17/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1358,04/18/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1358,04/19/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1353,04/20/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1353,04/21/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1378,04/22/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1378,04/23/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1378,04/24/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1373,04/25/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1373,04/26/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1363,04/27/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1353,04/28/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1343,04/29/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1323,04/30/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1323,05/01/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1323,05/02/2024,False
Gwinnett Pointe,"Atlanta-Sandy Springs-Roswell, GA",01003,1x1,880,1318,05/03/2024,False
