building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Heights at Meridian,"Durham-Chapel Hill, NC",1-1103,1x1,755,1460,06/30/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1103,1x1,755,1460,07/01/2023,True
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1695,09/30/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1695,10/01/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1695,10/02/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1695,10/03/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1695,10/04/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/05/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/06/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/07/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/08/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/09/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/10/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/11/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/12/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/13/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/14/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/15/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/16/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/17/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1660,10/18/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1670,10/19/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1670,10/20/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1670,10/21/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1670,10/22/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1675,10/23/2023,False
Heights at Meridian,"Durham-Chapel Hill, NC",1-1109,2x2,1143,1670,10/24/2023,False
