building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/16/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/17/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/18/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/19/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/20/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/21/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/22/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/23/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/24/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/25/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/26/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/27/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/28/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/29/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/30/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,03/31/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/01/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/02/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/03/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/04/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/05/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/06/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/07/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/08/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/09/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/10/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/11/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/12/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/13/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/14/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/15/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/16/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/17/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/18/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/19/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/20/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/21/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/22/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/23/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/24/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/25/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/26/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/27/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/28/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/29/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,04/30/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1545,05/01/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1524,05/02/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,05/03/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,05/04/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,05/05/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,05/06/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,05/07/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,05/08/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,05/09/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,05/10/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,05/11/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,05/12/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,05/13/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/14/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/15/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/16/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/17/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/18/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/19/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/20/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/21/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/22/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/23/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/24/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/25/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/26/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/27/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/28/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/29/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/30/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,05/31/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,06/01/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,06/02/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,06/03/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,06/04/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1684,06/05/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/06/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/07/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/08/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/09/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/10/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/11/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/12/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/13/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/14/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/15/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/16/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/17/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1705,06/18/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/19/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/20/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/21/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/22/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/23/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/24/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/25/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/26/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/27/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/28/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/29/2024,False
Heritage at Valley Ranch,"Dallas-Fort Worth-Arlington, TX",0101,1x1.5,800,1634,06/30/2024,False
