,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Indian Creek Apartments,309,2x2,993,1031,12/06/2024,False
1,Indian Creek Apartments,309,2x2,993,1031,12/07/2024,False
2,Indian Creek Apartments,309,2x2,993,1031,12/08/2024,False
3,Indian Creek Apartments,309,2x2,993,1031,12/09/2024,False
4,Indian Creek Apartments,309,2x2,993,1031,12/10/2024,False
5,Indian Creek Apartments,309,2x2,993,1031,12/11/2024,False
6,Indian Creek Apartments,309,2x2,993,1031,12/12/2024,False
7,Indian Creek Apartments,309,2x2,993,1031,12/13/2024,False
8,Indian Creek Apartments,309,2x2,993,1031,12/14/2024,False
9,Indian Creek Apartments,309,2x2,993,1031,12/15/2024,False
10,Indian Creek Apartments,309,2x2,993,1031,12/16/2024,False
11,Indian Creek Apartments,309,2x2,993,1031,12/17/2024,False
12,Indian Creek Apartments,309,2x2,993,1031,12/18/2024,False
13,Indian Creek Apartments,309,2x2,993,1031,12/19/2024,False
14,Indian Creek Apartments,309,2x2,993,1031,12/20/2024,False
15,Indian Creek Apartments,309,2x2,993,1031,12/21/2024,False
16,Indian Creek Apartments,309,2x2,993,1031,12/22/2024,False
17,Indian Creek Apartments,309,2x2,993,1031,12/23/2024,False
18,Indian Creek Apartments,309,2x2,993,1031,12/24/2024,False
19,Indian Creek Apartments,309,2x2,993,1031,12/25/2024,False
20,Indian Creek Apartments,309,2x2,993,1031,12/26/2024,False
21,Indian Creek Apartments,309,2x2,993,1031,12/27/2024,False
22,Indian Creek Apartments,309,2x2,993,1031,12/28/2024,False
23,Indian Creek Apartments,309,2x2,993,1031,12/29/2024,False
24,Indian Creek Apartments,309,2x2,993,1031,12/30/2024,False
25,Indian Creek Apartments,309,2x2,993,1031,12/31/2024,False
26,Indian Creek Apartments,309,2x2,993,1031,01/01/2025,False
27,Indian Creek Apartments,309,2x2,993,1031,01/02/2025,False
28,Indian Creek Apartments,309,2x2,993,1031,01/03/2025,False
29,Indian Creek Apartments,309,2x2,993,1031,01/04/2025,False
