,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Indian Hollow,01-0115,1x1,827,1155,11/15/2023,False
1,Indian Hollow,01-0115,1x1,827,1155,11/16/2023,False
2,Indian Hollow,01-0115,1x1,827,1155,11/17/2023,False
3,Indian Hollow,01-0115,1x1,827,1155,11/18/2023,False
4,Indian Hollow,01-0115,1x1,827,1155,11/19/2023,False
5,Indian Hollow,01-0115,1x1,827,1155,11/20/2023,False
6,Indian Hollow,01-0115,1x1,827,1155,11/21/2023,False
7,Indian Hollow,01-0115,1x1,827,1155,11/22/2023,False
8,Indian Hollow,01-0115,1x1,827,1155,11/23/2023,False
9,Indian Hollow,01-0115,1x1,827,1155,11/24/2023,False
10,Indian Hollow,01-0115,1x1,827,1155,11/25/2023,False
11,Indian Hollow,01-0115,1x1,827,1155,11/26/2023,False
12,Indian Hollow,01-0115,1x1,827,1155,11/27/2023,False
13,Indian Hollow,01-0115,1x1,827,1155,11/28/2023,True
14,Indian Hollow,01-0118,3x2,1275,1860,02/06/2024,False
15,Indian Hollow,01-0118,3x2,1275,1860,02/07/2024,False
16,Indian Hollow,01-0118,3x2,1275,1860,02/08/2024,False
17,Indian Hollow,01-0118,3x2,1275,1860,02/09/2024,False
18,Indian Hollow,01-0118,3x2,1275,1860,02/10/2024,False
19,Indian Hollow,01-0118,3x2,1275,1860,02/11/2024,False
20,Indian Hollow,01-0118,3x2,1275,1860,02/12/2024,False
21,Indian Hollow,01-0118,3x2,1275,1860,02/13/2024,False
22,Indian Hollow,01-0118,3x2,1275,1860,02/14/2024,False
23,Indian Hollow,01-0118,3x2,1275,1860,02/15/2024,False
24,Indian Hollow,01-0118,3x2,1275,1860,02/16/2024,True
25,Indian Hollow,01-0121,2x2,1135,1485,02/06/2024,False
26,Indian Hollow,01-0121,2x2,1135,1485,02/07/2024,False
27,Indian Hollow,01-0121,2x2,1135,1485,02/08/2024,True
28,Indian Hollow,01-0122,3x2,1275,1825,10/14/2023,False
29,Indian Hollow,01-0122,3x2,1275,1825,10/15/2023,False
30,Indian Hollow,01-0122,3x2,1275,1825,10/16/2023,False
31,Indian Hollow,01-0122,3x2,1275,1825,10/17/2023,False
32,Indian Hollow,01-0122,3x2,1275,1825,10/18/2023,False
33,Indian Hollow,01-0122,3x2,1275,1825,10/19/2023,True
