,building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1540,03/29/2025,False
1,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1540,03/30/2025,False
2,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1540,03/31/2025,False
3,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1540,04/01/2025,False
4,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1540,04/02/2025,False
5,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1540,04/03/2025,False
6,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1540,04/04/2025,False
7,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1540,04/05/2025,False
8,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1540,04/06/2025,False
9,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1540,04/07/2025,False
10,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1560,04/08/2025,False
11,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1560,04/09/2025,False
12,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1560,04/10/2025,False
13,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1560,04/11/2025,False
14,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1560,04/12/2025,False
15,Jerome Grand,"Columbus, OH",ARBORIIVIDEOFLOOR2,1x1,783,1560,04/13/2025,True
16,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1690,03/29/2025,False
17,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1690,03/30/2025,False
18,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1690,03/31/2025,False
19,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1690,04/01/2025,False
20,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1690,04/02/2025,False
21,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1690,04/03/2025,False
22,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1690,04/04/2025,False
23,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1690,04/05/2025,False
24,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1690,04/06/2025,False
25,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1690,04/07/2025,False
26,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1710,04/08/2025,False
27,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1710,04/09/2025,False
28,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1710,04/10/2025,False
29,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1710,04/11/2025,False
30,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1710,04/12/2025,False
31,Jerome Grand,"Columbus, OH",ARBORIIWITHGARAGEVIDEO101,1x1,783,1710,04/13/2025,True
32,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,03/29/2025,False
33,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,03/30/2025,False
34,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,03/31/2025,False
35,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/01/2025,False
36,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/02/2025,False
37,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/03/2025,False
38,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/04/2025,False
39,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/05/2025,False
40,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/06/2025,False
41,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/07/2025,False
42,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/08/2025,False
43,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/09/2025,False
44,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/10/2025,False
45,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/11/2025,False
46,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/12/2025,False
47,Jerome Grand,"Columbus, OH",ENCOREVIDEO101,2x2,1242,2070,04/13/2025,True
48,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,03/29/2025,False
49,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,03/30/2025,False
50,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,03/31/2025,False
51,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/01/2025,False
52,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/02/2025,False
53,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/03/2025,False
54,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/04/2025,False
55,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/05/2025,False
56,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/06/2025,False
57,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/07/2025,False
58,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/08/2025,False
59,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/09/2025,False
60,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/10/2025,False
61,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/11/2025,False
62,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/12/2025,False
63,Jerome Grand,"Columbus, OH",LEGENDVIDEO101,2x2,783,1890,04/13/2025,True
64,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,1990,03/29/2025,False
65,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,1990,03/30/2025,False
66,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,1990,03/31/2025,False
67,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,1990,04/01/2025,False
68,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,1990,04/02/2025,False
69,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,1990,04/03/2025,False
70,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,1990,04/04/2025,False
71,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,1990,04/05/2025,False
72,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,1990,04/06/2025,False
73,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,1990,04/07/2025,False
74,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,2030,04/08/2025,False
75,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,2030,04/09/2025,False
76,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,2030,04/10/2025,False
77,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,2030,04/11/2025,False
78,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,2030,04/12/2025,False
79,Jerome Grand,"Columbus, OH",SUMMITVIDEO101,2x2.5,1242,2030,04/13/2025,True
80,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2720,03/29/2025,False
81,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2720,03/30/2025,False
82,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2720,03/31/2025,False
83,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2720,04/01/2025,False
84,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2720,04/02/2025,False
85,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2720,04/03/2025,False
86,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2720,04/04/2025,False
87,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2720,04/05/2025,False
88,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2720,04/06/2025,False
89,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2720,04/07/2025,False
90,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2750,04/08/2025,False
91,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2750,04/09/2025,False
92,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2750,04/10/2025,False
93,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2750,04/11/2025,False
94,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2750,04/12/2025,False
95,Jerome Grand,"Columbus, OH",TRADEMARKVIDEO101,3x2.5,1658,2750,04/13/2025,True
