,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Lake's Edge Apartments,01104,3x2,1260,2205,03/21/2024,False
1,Lake's Edge Apartments,01104,3x2,1260,2205,03/22/2024,False
2,Lake's Edge Apartments,01104,3x2,1260,2205,03/23/2024,False
3,Lake's Edge Apartments,01104,3x2,1260,2205,03/24/2024,False
4,Lake's Edge Apartments,01104,3x2,1260,2205,03/25/2024,False
5,Lake's Edge Apartments,01104,3x2,1260,2205,03/26/2024,False
6,Lake's Edge Apartments,01104,3x2,1260,2205,03/27/2024,False
7,Lake's Edge Apartments,01104,3x2,1260,2205,03/28/2024,False
8,Lake's Edge Apartments,01104,3x2,1260,2205,03/29/2024,False
9,Lake's Edge Apartments,01104,3x2,1260,2205,03/30/2024,False
10,Lake's Edge Apartments,01104,3x2,1260,2205,03/31/2024,False
11,Lake's Edge Apartments,01104,3x2,1260,2205,04/01/2024,False
12,Lake's Edge Apartments,01104,3x2,1260,2205,04/02/2024,False
13,Lake's Edge Apartments,01104,3x2,1260,2205,04/03/2024,False
14,Lake's Edge Apartments,01104,3x2,1260,2205,04/04/2024,False
15,Lake's Edge Apartments,01104,3x2,1260,2205,04/05/2024,False
16,Lake's Edge Apartments,01104,3x2,1260,2205,04/06/2024,False
17,Lake's Edge Apartments,01104,3x2,1260,2205,04/07/2024,False
18,Lake's Edge Apartments,01104,3x2,1260,2205,04/08/2024,False
19,Lake's Edge Apartments,01104,3x2,1260,2205,04/09/2024,False
20,Lake's Edge Apartments,01104,3x2,1260,2205,04/10/2024,False
21,Lake's Edge Apartments,01104,3x2,1260,2205,04/11/2024,False
22,Lake's Edge Apartments,01104,3x2,1260,2205,04/12/2024,False
23,Lake's Edge Apartments,01104,3x2,1260,2205,04/13/2024,False
24,Lake's Edge Apartments,01104,3x2,1260,2205,04/14/2024,False
25,Lake's Edge Apartments,01104,3x2,1260,2205,04/15/2024,False
26,Lake's Edge Apartments,01104,3x2,1260,2205,04/16/2024,False
27,Lake's Edge Apartments,01104,3x2,1260,2205,04/17/2024,False
28,Lake's Edge Apartments,01104,3x2,1260,2205,04/18/2024,False
29,Lake's Edge Apartments,01104,3x2,1260,2205,04/19/2024,False
30,Lake's Edge Apartments,01104,3x2,1260,2205,04/20/2024,False
31,Lake's Edge Apartments,01104,3x2,1260,2205,04/21/2024,False
32,Lake's Edge Apartments,01104,3x2,1260,2205,04/22/2024,False
33,Lake's Edge Apartments,01104,3x2,1260,2205,04/23/2024,False
34,Lake's Edge Apartments,01104,3x2,1260,2205,04/24/2024,False
35,Lake's Edge Apartments,01104,3x2,1260,2205,04/25/2024,False
36,Lake's Edge Apartments,01104,3x2,1260,2205,04/26/2024,False
37,Lake's Edge Apartments,01104,3x2,1260,2205,04/27/2024,False
38,Lake's Edge Apartments,01104,3x2,1260,2205,04/28/2024,False
39,Lake's Edge Apartments,01104,3x2,1260,2205,04/29/2024,False
40,Lake's Edge Apartments,01104,3x2,1260,2205,04/30/2024,False
41,Lake's Edge Apartments,01104,3x2,1260,2205,05/01/2024,False
42,Lake's Edge Apartments,01104,3x2,1260,2205,05/02/2024,False
43,Lake's Edge Apartments,01104,3x2,1260,2205,05/03/2024,False
44,Lake's Edge Apartments,01104,3x2,1260,2205,05/04/2024,False
45,Lake's Edge Apartments,01104,3x2,1260,2205,05/05/2024,False
46,Lake's Edge Apartments,01104,3x2,1260,2205,05/06/2024,False
47,Lake's Edge Apartments,01104,3x2,1260,2205,05/07/2024,False
48,Lake's Edge Apartments,01104,3x2,1260,2205,05/08/2024,False
49,Lake's Edge Apartments,01104,3x2,1260,2205,05/09/2024,False
50,Lake's Edge Apartments,01104,3x2,1260,2205,05/10/2024,False
51,Lake's Edge Apartments,01104,3x2,1260,2205,05/11/2024,False
52,Lake's Edge Apartments,01104,3x2,1260,2205,05/12/2024,False
53,Lake's Edge Apartments,01104,3x2,1260,2205,05/13/2024,False
54,Lake's Edge Apartments,01104,3x2,1260,2205,05/14/2024,False
55,Lake's Edge Apartments,01104,3x2,1260,2205,05/15/2024,False
56,Lake's Edge Apartments,01104,3x2,1260,2205,05/16/2024,False
57,Lake's Edge Apartments,01104,3x2,1260,2205,05/17/2024,False
58,Lake's Edge Apartments,01104,3x2,1260,2205,05/18/2024,False
59,Lake's Edge Apartments,01104,3x2,1260,2205,05/19/2024,False
60,Lake's Edge Apartments,01104,3x2,1260,2205,05/20/2024,False
61,Lake's Edge Apartments,01104,3x2,1260,2205,05/21/2024,False
62,Lake's Edge Apartments,01104,3x2,1260,2205,05/22/2024,False
63,Lake's Edge Apartments,01104,3x2,1260,2205,05/23/2024,True
64,Lake's Edge Apartments,01104,3x2,1260,2140,01/12/2025,False
65,Lake's Edge Apartments,01104,3x2,1260,2140,01/13/2025,False
66,Lake's Edge Apartments,01104,3x2,1260,2140,01/14/2025,False
67,Lake's Edge Apartments,01104,3x2,1260,2140,01/15/2025,False
68,Lake's Edge Apartments,01104,3x2,1260,2140,01/16/2025,False
69,Lake's Edge Apartments,01104,3x2,1260,2140,01/17/2025,False
70,Lake's Edge Apartments,01104,3x2,1260,2140,01/18/2025,False
71,Lake's Edge Apartments,01104,3x2,1260,2140,01/19/2025,False
72,Lake's Edge Apartments,01104,3x2,1260,2140,01/20/2025,False
73,Lake's Edge Apartments,01104,3x2,1260,2140,01/21/2025,False
74,Lake's Edge Apartments,01104,3x2,1260,2140,01/22/2025,False
75,Lake's Edge Apartments,01104,3x2,1260,2140,01/23/2025,False
76,Lake's Edge Apartments,01104,3x2,1260,2140,01/24/2025,False
77,Lake's Edge Apartments,01104,3x2,1260,2140,01/25/2025,False
78,Lake's Edge Apartments,01104,3x2,1260,2140,01/26/2025,False
79,Lake's Edge Apartments,01104,3x2,1260,2140,01/27/2025,False
80,Lake's Edge Apartments,01104,3x2,1260,2140,01/28/2025,False
81,Lake's Edge Apartments,01104,3x2,1260,2140,01/29/2025,False
82,Lake's Edge Apartments,01104,3x2,1260,2140,01/30/2025,False
83,Lake's Edge Apartments,01104,3x2,1260,2140,01/31/2025,False
84,Lake's Edge Apartments,01104,3x2,1260,2140,02/01/2025,False
85,Lake's Edge Apartments,01104,3x2,1260,2140,02/02/2025,False
86,Lake's Edge Apartments,01104,3x2,1260,2140,02/03/2025,False
87,Lake's Edge Apartments,01104,3x2,1260,2140,02/04/2025,False
88,Lake's Edge Apartments,01104,3x2,1260,2140,02/05/2025,True
89,Lake's Edge Apartments,01106,3x2,1260,2105,11/22/2023,False
90,Lake's Edge Apartments,01106,3x2,1260,2105,11/23/2023,False
91,Lake's Edge Apartments,01106,3x2,1260,2105,11/24/2023,False
92,Lake's Edge Apartments,01106,3x2,1260,2105,11/25/2023,False
93,Lake's Edge Apartments,01106,3x2,1260,2105,11/26/2023,False
94,Lake's Edge Apartments,01106,3x2,1260,2105,11/27/2023,False
95,Lake's Edge Apartments,01106,3x2,1260,2105,11/28/2023,False
96,Lake's Edge Apartments,01106,3x2,1260,2105,11/29/2023,False
97,Lake's Edge Apartments,01106,3x2,1260,2105,11/30/2023,False
98,Lake's Edge Apartments,01106,3x2,1260,2105,12/01/2023,False
99,Lake's Edge Apartments,01106,3x2,1260,2105,12/02/2023,False
100,Lake's Edge Apartments,01106,3x2,1260,2105,12/03/2023,False
101,Lake's Edge Apartments,01106,3x2,1260,2105,12/04/2023,False
102,Lake's Edge Apartments,01106,3x2,1260,2105,12/05/2023,False
103,Lake's Edge Apartments,01106,3x2,1260,2105,12/06/2023,False
104,Lake's Edge Apartments,01106,3x2,1260,2105,12/07/2023,False
105,Lake's Edge Apartments,01106,3x2,1260,2105,12/08/2023,False
106,Lake's Edge Apartments,01106,3x2,1260,2105,12/09/2023,False
107,Lake's Edge Apartments,01106,3x2,1260,2105,12/10/2023,False
108,Lake's Edge Apartments,01106,3x2,1260,2105,12/11/2023,False
109,Lake's Edge Apartments,01106,3x2,1260,2105,12/12/2023,False
110,Lake's Edge Apartments,01106,3x2,1260,2105,12/13/2023,False
111,Lake's Edge Apartments,01106,3x2,1260,2105,12/14/2023,False
112,Lake's Edge Apartments,01106,3x2,1260,2105,12/15/2023,False
113,Lake's Edge Apartments,01106,3x2,1260,2105,12/16/2023,False
114,Lake's Edge Apartments,01106,3x2,1260,2105,12/17/2023,False
115,Lake's Edge Apartments,01106,3x2,1260,2105,12/18/2023,False
116,Lake's Edge Apartments,01106,3x2,1260,2105,12/19/2023,False
117,Lake's Edge Apartments,01106,3x2,1260,2105,12/20/2023,True
118,Lake's Edge Apartments,01107,1x1,789,1620,07/09/2024,False
119,Lake's Edge Apartments,01107,1x1,789,1620,07/10/2024,False
120,Lake's Edge Apartments,01107,1x1,789,1620,07/11/2024,False
121,Lake's Edge Apartments,01107,1x1,789,1620,07/12/2024,False
122,Lake's Edge Apartments,01107,1x1,789,1620,07/13/2024,False
123,Lake's Edge Apartments,01107,1x1,789,1620,07/14/2024,False
124,Lake's Edge Apartments,01107,1x1,789,1620,07/15/2024,False
125,Lake's Edge Apartments,01107,1x1,789,1620,07/16/2024,False
126,Lake's Edge Apartments,01107,1x1,789,1620,07/17/2024,False
127,Lake's Edge Apartments,01107,1x1,789,1620,07/18/2024,False
128,Lake's Edge Apartments,01107,1x1,789,1620,07/19/2024,False
129,Lake's Edge Apartments,01107,1x1,789,1620,07/20/2024,False
130,Lake's Edge Apartments,01107,1x1,789,1620,07/21/2024,False
131,Lake's Edge Apartments,01107,1x1,789,1620,07/22/2024,False
132,Lake's Edge Apartments,01107,1x1,789,1620,07/23/2024,False
133,Lake's Edge Apartments,01107,1x1,789,1620,07/24/2024,False
134,Lake's Edge Apartments,01107,1x1,789,1620,07/25/2024,False
135,Lake's Edge Apartments,01107,1x1,789,1620,07/26/2024,False
136,Lake's Edge Apartments,01107,1x1,789,1620,07/27/2024,False
137,Lake's Edge Apartments,01107,1x1,789,1620,07/28/2024,False
138,Lake's Edge Apartments,01107,1x1,789,1620,07/29/2024,False
139,Lake's Edge Apartments,01107,1x1,789,1620,07/30/2024,False
140,Lake's Edge Apartments,01107,1x1,789,1620,07/31/2024,False
141,Lake's Edge Apartments,01107,1x1,789,1620,08/01/2024,False
142,Lake's Edge Apartments,01107,1x1,789,1630,08/02/2024,False
143,Lake's Edge Apartments,01107,1x1,789,1630,08/03/2024,False
144,Lake's Edge Apartments,01107,1x1,789,1630,08/04/2024,False
145,Lake's Edge Apartments,01107,1x1,789,1630,08/05/2024,False
146,Lake's Edge Apartments,01107,1x1,789,1630,08/06/2024,False
147,Lake's Edge Apartments,01107,1x1,789,1630,08/07/2024,False
148,Lake's Edge Apartments,01107,1x1,789,1630,08/08/2024,False
149,Lake's Edge Apartments,01107,1x1,789,1630,08/09/2024,False
