,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Lakeside Lofts,1103,1x1,851,1694,06/17/2023,False
1,Lakeside Lofts,1103,1x1,851,1694,06/18/2023,False
2,Lakeside Lofts,1103,1x1,851,1723,06/19/2023,False
3,Lakeside Lofts,1103,1x1,851,1674,06/20/2023,False
4,Lakeside Lofts,1103,1x1,851,1721,06/21/2023,False
5,Lakeside Lofts,1103,1x1,851,1796,06/22/2023,False
6,Lakeside Lofts,1103,1x1,851,1796,06/23/2023,False
7,Lakeside Lofts,1103,1x1,851,1791,06/24/2023,False
8,Lakeside Lofts,1103,1x1,851,1791,06/25/2023,False
9,Lakeside Lofts,1103,1x1,851,1823,06/26/2023,False
10,Lakeside Lofts,1103,1x1,851,1767,06/27/2023,False
11,Lakeside Lofts,1103,1x1,851,1767,06/28/2023,False
12,Lakeside Lofts,1103,1x1,851,1719,06/29/2023,False
13,Lakeside Lofts,1103,1x1,851,1706,06/30/2023,False
14,Lakeside Lofts,1103,1x1,851,1625,07/01/2023,False
15,Lakeside Lofts,1103,1x1,851,1615,07/02/2023,False
16,Lakeside Lofts,1103,1x1,851,1615,07/03/2023,False
17,Lakeside Lofts,1103,1x1,851,1595,07/04/2023,False
18,Lakeside Lofts,1103,1x1,851,1595,07/05/2023,False
19,Lakeside Lofts,1103,1x1,851,1659,07/06/2023,False
20,Lakeside Lofts,1103,1x1,851,1659,07/07/2023,False
21,Lakeside Lofts,1103,1x1,851,1628,07/08/2023,False
22,Lakeside Lofts,1103,1x1,851,1611,07/09/2023,False
23,Lakeside Lofts,1103,1x1,851,1706,07/10/2023,False
24,Lakeside Lofts,1103,1x1,851,1721,07/11/2023,False
25,Lakeside Lofts,1103,1x1,851,1721,07/12/2023,False
26,Lakeside Lofts,1103,1x1,851,1728,07/13/2023,False
27,Lakeside Lofts,1103,1x1,851,1723,07/14/2023,False
28,Lakeside Lofts,1103,1x1,851,1723,07/15/2023,False
29,Lakeside Lofts,1103,1x1,851,1708,07/16/2023,False
30,Lakeside Lofts,1103,1x1,851,1693,07/17/2023,False
31,Lakeside Lofts,1103,1x1,851,1693,07/18/2023,False
32,Lakeside Lofts,1103,1x1,851,1693,07/19/2023,True
33,Lakeside Lofts,1103,1x1,851,1619,07/25/2024,False
34,Lakeside Lofts,1103,1x1,851,1601,07/26/2024,False
35,Lakeside Lofts,1103,1x1,851,1601,07/27/2024,False
36,Lakeside Lofts,1103,1x1,851,1601,07/28/2024,False
37,Lakeside Lofts,1103,1x1,851,1601,07/29/2024,False
38,Lakeside Lofts,1103,1x1,851,1601,07/30/2024,False
39,Lakeside Lofts,1103,1x1,851,1601,07/31/2024,False
40,Lakeside Lofts,1103,1x1,851,1601,08/01/2024,False
41,Lakeside Lofts,1103,1x1,851,1625,08/02/2024,False
42,Lakeside Lofts,1103,1x1,851,1625,08/03/2024,False
43,Lakeside Lofts,1103,1x1,851,1625,08/04/2024,False
44,Lakeside Lofts,1103,1x1,851,1625,08/05/2024,False
45,Lakeside Lofts,1103,1x1,851,1625,08/06/2024,False
46,Lakeside Lofts,1103,1x1,851,1625,08/07/2024,False
47,Lakeside Lofts,1103,1x1,851,1625,08/08/2024,False
48,Lakeside Lofts,1103,1x1,851,1625,08/09/2024,False
49,Lakeside Lofts,1103,1x1,851,1625,08/10/2024,False
50,Lakeside Lofts,1103,1x1,851,1625,08/11/2024,False
51,Lakeside Lofts,1103,1x1,851,1625,08/12/2024,False
52,Lakeside Lofts,1103,1x1,851,1625,08/13/2024,True
53,Lakeside Lofts,1105,1x1,735,1414,12/03/2023,False
54,Lakeside Lofts,1105,1x1,735,1399,12/04/2023,False
55,Lakeside Lofts,1105,1x1,735,1384,12/05/2023,False
56,Lakeside Lofts,1105,1x1,735,1428,12/06/2023,False
57,Lakeside Lofts,1105,1x1,735,1466,12/07/2023,False
58,Lakeside Lofts,1105,1x1,735,1466,12/08/2023,False
59,Lakeside Lofts,1105,1x1,735,1466,12/09/2023,False
60,Lakeside Lofts,1105,1x1,735,1451,12/10/2023,False
61,Lakeside Lofts,1105,1x1,735,1514,12/11/2023,False
62,Lakeside Lofts,1105,1x1,735,1514,12/12/2023,False
63,Lakeside Lofts,1105,1x1,735,1504,12/13/2023,False
64,Lakeside Lofts,1105,1x1,735,1518,12/14/2023,False
65,Lakeside Lofts,1105,1x1,735,1502,12/15/2023,False
66,Lakeside Lofts,1105,1x1,735,1528,12/16/2023,False
67,Lakeside Lofts,1105,1x1,735,1528,12/17/2023,False
68,Lakeside Lofts,1105,1x1,735,1528,12/18/2023,False
69,Lakeside Lofts,1105,1x1,735,1521,12/19/2023,False
70,Lakeside Lofts,1105,1x1,735,1505,12/20/2023,False
71,Lakeside Lofts,1105,1x1,735,1460,12/21/2023,False
72,Lakeside Lofts,1105,1x1,735,1448,12/22/2023,False
73,Lakeside Lofts,1105,1x1,735,1448,12/23/2023,False
74,Lakeside Lofts,1105,1x1,735,1448,12/24/2023,False
75,Lakeside Lofts,1105,1x1,735,1448,12/25/2023,False
76,Lakeside Lofts,1105,1x1,735,1442,12/26/2023,False
77,Lakeside Lofts,1105,1x1,735,1442,12/27/2023,False
78,Lakeside Lofts,1105,1x1,735,1412,12/28/2023,False
79,Lakeside Lofts,1105,1x1,735,1427,12/29/2023,False
80,Lakeside Lofts,1105,1x1,735,1427,12/30/2023,False
81,Lakeside Lofts,1105,1x1,735,1419,12/31/2023,False
82,Lakeside Lofts,1105,1x1,735,1404,01/01/2024,False
83,Lakeside Lofts,1105,1x1,735,1389,01/02/2024,False
84,Lakeside Lofts,1105,1x1,735,1442,01/03/2024,False
85,Lakeside Lofts,1105,1x1,735,1427,01/04/2024,False
86,Lakeside Lofts,1105,1x1,735,1412,01/05/2024,False
87,Lakeside Lofts,1105,1x1,735,1442,01/06/2024,False
88,Lakeside Lofts,1105,1x1,735,1491,01/07/2024,False
89,Lakeside Lofts,1105,1x1,735,1501,01/08/2024,False
90,Lakeside Lofts,1105,1x1,735,1488,01/09/2024,False
91,Lakeside Lofts,1105,1x1,735,1473,01/10/2024,False
92,Lakeside Lofts,1105,1x1,735,1473,01/11/2024,False
93,Lakeside Lofts,1105,1x1,735,1440,01/12/2024,False
94,Lakeside Lofts,1105,1x1,735,1362,01/13/2024,False
95,Lakeside Lofts,1105,1x1,735,1378,01/14/2024,False
96,Lakeside Lofts,1105,1x1,735,1376,01/15/2024,False
97,Lakeside Lofts,1105,1x1,735,1362,01/16/2024,False
98,Lakeside Lofts,1105,1x1,735,1348,01/17/2024,False
99,Lakeside Lofts,1105,1x1,735,1384,01/18/2024,False
100,Lakeside Lofts,1105,1x1,735,1402,01/19/2024,False
101,Lakeside Lofts,1105,1x1,735,1328,01/20/2024,False
102,Lakeside Lofts,1105,1x1,735,1312,01/21/2024,False
103,Lakeside Lofts,1105,1x1,735,1312,01/22/2024,False
104,Lakeside Lofts,1105,1x1,735,1302,01/23/2024,False
105,Lakeside Lofts,1105,1x1,735,1302,01/24/2024,False
106,Lakeside Lofts,1105,1x1,735,1288,01/25/2024,False
107,Lakeside Lofts,1105,1x1,735,1288,01/26/2024,False
108,Lakeside Lofts,1105,1x1,735,1288,01/27/2024,False
109,Lakeside Lofts,1105,1x1,735,1288,01/28/2024,False
110,Lakeside Lofts,1105,1x1,735,1288,01/29/2024,False
111,Lakeside Lofts,1105,1x1,735,1350,01/30/2024,False
