building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1630,03/29/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1630,03/30/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1630,03/31/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1630,04/01/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1630,04/02/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1630,04/03/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1630,04/04/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1630,04/05/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1630,04/06/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1630,04/07/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/08/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/09/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/10/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/11/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/12/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/13/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/14/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/15/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/16/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/17/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/18/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/19/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/20/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/21/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/22/2025,False
Liberty Grand Communities,"Columbus, OH",CHATEAUVIDEO101,2x2,1140,1770,04/23/2025,False
