building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
MAA Arringdon,"Durham-Chapel Hill, NC",010152,1x1,856,1458,04/18/2025,False
MAA Arringdon,"Durham-Chapel Hill, NC",010152,1x1,856,1458,04/19/2025,False
MAA Arringdon,"Durham-Chapel Hill, NC",010152,1x1,856,1458,04/20/2025,False
MAA Arringdon,"Durham-Chapel Hill, NC",010152,1x1,856,1458,04/21/2025,False
MAA Arringdon,"Durham-Chapel Hill, NC",010152,1x1,856,1398,04/22/2025,False
MAA Arringdon,"Durham-Chapel Hill, NC",010152,1x1,856,1398,04/23/2025,False
MAA Arringdon,"Durham-Chapel Hill, NC",010152,1x1,856,1377,04/24/2025,True
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1588,06/19/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1588,06/20/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1588,06/21/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1588,06/22/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1588,06/23/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1578,06/24/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1573,06/25/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1553,06/26/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1533,06/27/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1463,06/28/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1463,06/29/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1473,06/30/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1468,07/01/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1453,07/02/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1443,07/03/2024,False
MAA Arringdon,"Durham-Chapel Hill, NC",010202,2x2,1054,1433,07/04/2024,False
