building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2280,07/19/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2280,07/20/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2280,07/21/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2280,07/22/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2280,07/23/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2280,07/24/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2280,07/25/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2280,07/26/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2280,07/27/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2280,07/28/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2280,07/29/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2310,07/30/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2310,07/31/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2270,08/01/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0123,2x3,1309,2270,08/02/2024,True
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0124,2x3,1309,1880,10/18/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0124,2x3,1309,1880,10/19/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0124,2x3,1309,1880,10/20/2023,True
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0212,2x2,1052,1510,11/09/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0212,2x2,1052,1510,11/10/2023,True
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/08/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/09/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/10/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/11/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/12/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/13/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/14/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/15/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/16/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/17/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/18/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/19/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/20/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/21/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/22/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/23/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/24/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/25/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/26/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/27/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/28/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/29/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/30/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,12/31/2023,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/01/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/02/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/03/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/04/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/05/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/06/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/07/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/08/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/09/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/10/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/11/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1520,01/12/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1500,01/13/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1500,01/14/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1500,01/15/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1500,01/16/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1500,01/17/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/18/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/19/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/20/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/21/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/22/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/23/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/24/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/25/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/26/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/27/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/28/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/29/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/30/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,01/31/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,02/01/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,02/02/2024,False
Marquis at Stonegate,"Dallas-Fort Worth-Arlington, TX",0213,2x2,1052,1510,02/03/2024,True
