,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Merritt at Sugarloaf,0112,2x2,1061,1690,02/28/2025,False
1,Merritt at Sugarloaf,0112,2x2,1061,1690,03/01/2025,False
2,Merritt at Sugarloaf,0112,2x2,1061,1690,03/02/2025,False
3,Merritt at Sugarloaf,0112,2x2,1061,1611,03/03/2025,False
4,Merritt at Sugarloaf,0112,2x2,1061,1640,03/04/2025,False
5,Merritt at Sugarloaf,0112,2x2,1061,1640,03/05/2025,True
6,Merritt at Sugarloaf,0113,1x1,818,1462,06/06/2024,False
7,Merritt at Sugarloaf,0113,1x1,818,1462,06/07/2024,False
8,Merritt at Sugarloaf,0113,1x1,818,1462,06/08/2024,False
9,Merritt at Sugarloaf,0113,1x1,818,1462,06/09/2024,False
10,Merritt at Sugarloaf,0113,1x1,818,1465,06/10/2024,False
11,Merritt at Sugarloaf,0113,1x1,818,1382,06/11/2024,False
12,Merritt at Sugarloaf,0113,1x1,818,1312,06/12/2024,False
13,Merritt at Sugarloaf,0113,1x1,818,1244,06/13/2024,False
14,Merritt at Sugarloaf,0113,1x1,818,1180,06/14/2024,False
15,Merritt at Sugarloaf,0113,1x1,818,1180,06/15/2024,False
16,Merritt at Sugarloaf,0113,1x1,818,1180,06/16/2024,False
17,Merritt at Sugarloaf,0113,1x1,818,1241,06/17/2024,False
18,Merritt at Sugarloaf,0113,1x1,818,1085,06/18/2024,False
19,Merritt at Sugarloaf,0113,1x1,818,1085,06/19/2024,False
20,Merritt at Sugarloaf,0113,1x1,818,1142,06/20/2024,False
21,Merritt at Sugarloaf,0113,1x1,818,1142,06/21/2024,True
22,Merritt at Sugarloaf,0118,2x2,1061,1925,08/07/2024,False
23,Merritt at Sugarloaf,0118,2x2,1061,1892,08/08/2024,False
24,Merritt at Sugarloaf,0118,2x2,1061,1892,08/09/2024,False
25,Merritt at Sugarloaf,0118,2x2,1061,1892,08/10/2024,False
26,Merritt at Sugarloaf,0118,2x2,1061,1892,08/11/2024,False
27,Merritt at Sugarloaf,0118,2x2,1061,1892,08/12/2024,False
28,Merritt at Sugarloaf,0118,2x2,1061,1892,08/13/2024,False
29,Merritt at Sugarloaf,0118,2x2,1061,1869,08/14/2024,False
30,Merritt at Sugarloaf,0118,2x2,1061,1869,08/15/2024,True
31,Merritt at Sugarloaf,0122,2x2,1061,1599,11/26/2024,False
32,Merritt at Sugarloaf,0122,2x2,1061,1599,11/27/2024,False
33,Merritt at Sugarloaf,0122,2x2,1061,1599,11/28/2024,False
34,Merritt at Sugarloaf,0122,2x2,1061,1599,11/29/2024,False
35,Merritt at Sugarloaf,0122,2x2,1061,1599,11/30/2024,False
36,Merritt at Sugarloaf,0122,2x2,1061,1599,12/01/2024,False
37,Merritt at Sugarloaf,0122,2x2,1061,1599,12/02/2024,False
38,Merritt at Sugarloaf,0122,2x2,1061,1566,12/03/2024,False
39,Merritt at Sugarloaf,0122,2x2,1061,1566,12/04/2024,False
40,Merritt at Sugarloaf,0122,2x2,1061,1566,12/05/2024,False
41,Merritt at Sugarloaf,0122,2x2,1061,1566,12/06/2024,False
42,Merritt at Sugarloaf,0122,2x2,1061,1566,12/07/2024,False
43,Merritt at Sugarloaf,0122,2x2,1061,1566,12/08/2024,False
44,Merritt at Sugarloaf,0122,2x2,1061,1566,12/09/2024,False
45,Merritt at Sugarloaf,0122,2x2,1061,1566,12/10/2024,False
46,Merritt at Sugarloaf,0122,2x2,1061,1566,12/11/2024,False
47,Merritt at Sugarloaf,0122,2x2,1061,1566,12/12/2024,False
48,Merritt at Sugarloaf,0122,2x2,1061,1532,12/13/2024,False
49,Merritt at Sugarloaf,0122,2x2,1061,1532,12/14/2024,False
50,Merritt at Sugarloaf,0122,2x2,1061,1532,12/15/2024,False
51,Merritt at Sugarloaf,0122,2x2,1061,1532,12/16/2024,False
52,Merritt at Sugarloaf,0122,2x2,1061,1532,12/17/2024,False
53,Merritt at Sugarloaf,0122,2x2,1061,1532,12/18/2024,False
54,Merritt at Sugarloaf,0122,2x2,1061,1532,12/19/2024,False
