,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Mission at La Villita,01-1012,1x1,831,1620,07/11/2024,False
1,Mission at La Villita,01-1012,1x1,831,1620,07/12/2024,False
2,Mission at La Villita,01-1012,1x1,831,1620,07/13/2024,False
3,Mission at La Villita,01-1012,1x1,831,1620,07/14/2024,False
4,Mission at La Villita,01-1012,1x1,831,1620,07/15/2024,False
5,Mission at La Villita,01-1012,1x1,831,1620,07/16/2024,False
6,Mission at La Villita,01-1012,1x1,831,1620,07/17/2024,False
7,Mission at La Villita,01-1012,1x1,831,1571,07/18/2024,False
8,Mission at La Villita,01-1012,1x1,831,1571,07/19/2024,False
9,Mission at La Villita,01-1012,1x1,831,1566,07/20/2024,False
10,Mission at La Villita,01-1012,1x1,831,1566,07/21/2024,False
11,Mission at La Villita,01-1012,1x1,831,1566,07/22/2024,False
12,Mission at La Villita,01-1012,1x1,831,1571,07/23/2024,False
13,Mission at La Villita,01-1012,1x1,831,1566,07/24/2024,False
14,Mission at La Villita,01-1012,1x1,831,1561,07/25/2024,False
15,Mission at La Villita,01-1012,1x1,831,1554,07/26/2024,False
16,Mission at La Villita,01-1012,1x1,831,1547,07/27/2024,False
17,Mission at La Villita,01-1012,1x1,831,1540,07/28/2024,False
18,Mission at La Villita,01-1012,1x1,831,1533,07/29/2024,False
19,Mission at La Villita,01-1012,1x1,831,1528,07/30/2024,False
20,Mission at La Villita,01-1012,1x1,831,1523,07/31/2024,False
21,Mission at La Villita,01-1012,1x1,831,1517,08/01/2024,False
22,Mission at La Villita,01-1012,1x1,831,1512,08/02/2024,False
23,Mission at La Villita,01-1012,1x1,831,1512,08/03/2024,False
24,Mission at La Villita,01-1012,1x1,831,1512,08/04/2024,False
25,Mission at La Villita,01-1012,1x1,831,1512,08/05/2024,False
26,Mission at La Villita,01-1012,1x1,831,1512,08/06/2024,False
27,Mission at La Villita,01-1012,1x1,831,1512,08/07/2024,False
28,Mission at La Villita,01-1012,1x1,831,1512,08/08/2024,False
29,Mission at La Villita,01-1012,1x1,831,1512,08/09/2024,False
30,Mission at La Villita,01-1012,1x1,831,1512,08/10/2024,False
31,Mission at La Villita,01-1012,1x1,831,1512,08/11/2024,True
32,Mission at La Villita,01-3010,1x1,738,1286,02/02/2024,False
33,Mission at La Villita,01-3010,1x1,738,1286,02/03/2024,False
34,Mission at La Villita,01-3010,1x1,738,1281,02/04/2024,False
35,Mission at La Villita,01-3010,1x1,738,1281,02/05/2024,False
36,Mission at La Villita,01-3010,1x1,738,1281,02/06/2024,False
37,Mission at La Villita,01-3010,1x1,738,1281,02/07/2024,False
38,Mission at La Villita,01-3010,1x1,738,1281,02/08/2024,False
39,Mission at La Villita,01-3010,1x1,738,1281,02/09/2024,False
40,Mission at La Villita,01-3010,1x1,738,1285,02/10/2024,False
41,Mission at La Villita,01-3010,1x1,738,1289,02/11/2024,False
42,Mission at La Villita,01-3010,1x1,738,1293,02/12/2024,False
43,Mission at La Villita,01-3010,1x1,738,1296,02/13/2024,False
44,Mission at La Villita,01-3010,1x1,738,1300,02/14/2024,False
45,Mission at La Villita,01-3010,1x1,738,1300,02/15/2024,False
46,Mission at La Villita,01-3010,1x1,738,1300,02/16/2024,False
47,Mission at La Villita,01-3010,1x1,738,1296,02/17/2024,False
48,Mission at La Villita,01-3010,1x1,738,1296,02/18/2024,False
49,Mission at La Villita,01-3010,1x1,738,1292,02/19/2024,False
50,Mission at La Villita,01-3010,1x1,738,1288,02/20/2024,False
51,Mission at La Villita,01-3010,1x1,738,1284,02/21/2024,False
52,Mission at La Villita,01-3010,1x1,738,1280,02/22/2024,False
53,Mission at La Villita,01-3010,1x1,738,1320,02/23/2024,False
