building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/14/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/15/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/16/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/17/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/18/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/19/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/20/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/21/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/22/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/23/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/24/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/25/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/26/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/27/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/28/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/29/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/30/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1325,07/31/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/01/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/02/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/03/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/04/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/05/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/06/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/07/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/08/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/09/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/10/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/11/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/12/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/13/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/14/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/15/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/16/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/17/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/18/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/19/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/20/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/21/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/22/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/23/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/24/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/25/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/26/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/27/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/28/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/29/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/30/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,08/31/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/01/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/02/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/03/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/04/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/05/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/06/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/07/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/08/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/09/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/10/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/11/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/12/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/13/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/14/2023,False
Newport Colony Apartments in Casselberry,"Orlando-Kissimmee-Sanford, FL",02106,1x1,657,1375,09/15/2023,False
