,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Oakbridge,10101,1x1,748,1367,01/14/2024,False
1,Oakbridge,10101,1x1,748,1367,01/15/2024,False
2,Oakbridge,10101,1x1,748,1367,01/16/2024,False
3,Oakbridge,10101,1x1,748,1367,01/17/2024,False
4,Oakbridge,10101,1x1,748,1367,01/18/2024,False
5,Oakbridge,10101,1x1,748,1367,01/19/2024,False
6,Oakbridge,10101,1x1,748,1367,01/20/2024,False
7,Oakbridge,10101,1x1,748,1367,01/21/2024,False
8,Oakbridge,10101,1x1,748,1367,01/22/2024,False
9,Oakbridge,10101,1x1,748,1367,01/23/2024,False
10,Oakbridge,10101,1x1,748,1367,01/24/2024,False
11,Oakbridge,10101,1x1,748,1367,01/25/2024,False
12,Oakbridge,10101,1x1,748,1367,01/26/2024,False
13,Oakbridge,10101,1x1,748,1367,01/27/2024,False
14,Oakbridge,10101,1x1,748,1367,01/28/2024,False
15,Oakbridge,10101,1x1,748,1367,01/29/2024,False
16,Oakbridge,10101,1x1,748,1367,01/30/2024,False
17,Oakbridge,10101,1x1,748,1367,01/31/2024,False
18,Oakbridge,10101,1x1,748,1367,02/01/2024,False
19,Oakbridge,10101,1x1,748,1367,02/02/2024,False
20,Oakbridge,10101,1x1,748,1367,02/03/2024,False
21,Oakbridge,10101,1x1,748,1367,02/04/2024,False
22,Oakbridge,10101,1x1,748,1367,02/05/2024,False
23,Oakbridge,10101,1x1,748,1367,02/06/2024,False
24,Oakbridge,10101,1x1,748,1367,02/07/2024,False
25,Oakbridge,10101,1x1,748,1367,02/08/2024,False
26,Oakbridge,10101,1x1,748,1367,02/09/2024,False
27,Oakbridge,10101,1x1,748,1367,02/10/2024,False
28,Oakbridge,10101,1x1,748,1367,02/11/2024,False
29,Oakbridge,10101,1x1,748,1367,02/12/2024,False
30,Oakbridge,10101,1x1,748,1367,02/13/2024,False
31,Oakbridge,10101,1x1,748,1367,02/14/2024,False
32,Oakbridge,10101,1x1,748,1367,02/15/2024,False
33,Oakbridge,10101,1x1,748,1367,02/16/2024,False
34,Oakbridge,10101,1x1,748,1367,02/17/2024,False
35,Oakbridge,10101,1x1,748,1367,02/18/2024,False
36,Oakbridge,10101,1x1,748,1367,02/19/2024,False
37,Oakbridge,10101,1x1,748,1367,02/20/2024,False
38,Oakbridge,10101,1x1,748,1367,02/21/2024,False
39,Oakbridge,10101,1x1,748,1367,02/22/2024,False
40,Oakbridge,10101,1x1,748,1352,02/23/2024,False
41,Oakbridge,10101,1x1,748,1352,02/24/2024,False
42,Oakbridge,10101,1x1,748,1352,02/25/2024,False
43,Oakbridge,10101,1x1,748,1352,02/26/2024,False
44,Oakbridge,10101,1x1,748,1352,02/27/2024,False
45,Oakbridge,10101,1x1,748,1352,02/28/2024,False
46,Oakbridge,10101,1x1,748,1352,02/29/2024,False
47,Oakbridge,10101,1x1,748,1332,03/01/2024,False
48,Oakbridge,10101,1x1,748,1332,03/02/2024,False
49,Oakbridge,10101,1x1,748,1332,03/03/2024,False
50,Oakbridge,10101,1x1,748,1332,03/04/2024,False
51,Oakbridge,10101,1x1,748,1332,03/05/2024,False
52,Oakbridge,10101,1x1,748,1332,03/06/2024,False
53,Oakbridge,10101,1x1,748,1290,03/07/2024,False
54,Oakbridge,10101,1x1,748,1265,03/08/2024,False
55,Oakbridge,10101,1x1,748,1265,03/09/2024,False
56,Oakbridge,10101,1x1,748,1265,03/10/2024,False
57,Oakbridge,10101,1x1,748,1265,03/11/2024,False
58,Oakbridge,10101,1x1,748,1265,03/12/2024,False
59,Oakbridge,10101,1x1,748,1265,03/13/2024,False
60,Oakbridge,10101,1x1,748,1265,03/14/2024,False
61,Oakbridge,10101,1x1,748,1355,03/15/2024,False
62,Oakbridge,10101,1x1,748,1355,03/16/2024,False
