building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/06/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/07/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/08/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/09/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/10/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/11/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/12/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/13/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/14/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/15/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/16/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/17/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/18/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/19/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2026,02/20/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2094,02/21/2024,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,929,2094,02/22/2024,True
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2744,06/17/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2744,06/18/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2744,06/19/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,06/20/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,06/21/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,06/22/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,06/23/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,06/24/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,06/25/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,06/26/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,06/27/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,06/28/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,06/29/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,06/30/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,07/01/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,07/02/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,07/03/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,07/04/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,07/05/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,07/06/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,07/07/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2734,07/08/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2736,07/09/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2736,07/10/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2736,07/11/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2604,07/12/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2596,07/13/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2596,07/14/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2596,07/15/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2596,07/16/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2596,07/17/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2610,07/18/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2753,07/19/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2762,07/20/2023,False
One Hermann Place,"Houston-The Woodlands-Sugar Land, TX",1116,1x2,1189,2762,07/21/2023,False
