,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Orange Grand Communities,ABORIIVIDEO101,1x1,783,1360,03/29/2025,False
1,Orange Grand Communities,ABORIIVIDEO101,1x1,783,1360,03/30/2025,False
2,Orange Grand Communities,ABORIIVIDEO101,1x1,783,1360,03/31/2025,False
3,Orange Grand Communities,ABORIIVIDEO101,1x1,783,1360,04/01/2025,True
4,Orange Grand Communities,ABORIIWGARAGEVIDEO201,1x1,783,1510,03/29/2025,False
5,Orange Grand Communities,ABORIIWGARAGEVIDEO201,1x1,783,1510,03/30/2025,False
6,Orange Grand Communities,ABORIIWGARAGEVIDEO201,1x1,783,1510,03/31/2025,False
7,Orange Grand Communities,ABORIIWGARAGEVIDEO201,1x1,783,1510,04/01/2025,True
8,Orange Grand Communities,ARBORVIDEO101,1x1,880,1400,03/29/2025,False
9,Orange Grand Communities,ARBORVIDEO101,1x1,880,1400,03/30/2025,False
10,Orange Grand Communities,ARBORVIDEO101,1x1,880,1400,03/31/2025,False
11,Orange Grand Communities,ARBORVIDEO101,1x1,880,1400,04/01/2025,True
12,Orange Grand Communities,ARBORVIDEO201,1x1,880,1380,03/29/2025,False
13,Orange Grand Communities,ARBORVIDEO201,1x1,880,1380,03/30/2025,False
14,Orange Grand Communities,ARBORVIDEO201,1x1,880,1380,03/31/2025,False
15,Orange Grand Communities,ARBORVIDEO201,1x1,880,1380,04/01/2025,True
16,Orange Grand Communities,CHATEAUVIDEO101,2x2,1141,1720,03/29/2025,False
17,Orange Grand Communities,CHATEAUVIDEO101,2x2,1141,1720,03/30/2025,False
18,Orange Grand Communities,CHATEAUVIDEO101,2x2,1141,1720,03/31/2025,False
19,Orange Grand Communities,CHATEAUVIDEO101,2x2,1141,1720,04/01/2025,True
20,Orange Grand Communities,CHATEAUVIDEO201,2x2,1141,1690,03/29/2025,False
21,Orange Grand Communities,CHATEAUVIDEO201,2x2,1141,1690,03/30/2025,False
22,Orange Grand Communities,CHATEAUVIDEO201,2x2,1141,1690,03/31/2025,False
23,Orange Grand Communities,CHATEAUVIDEO201,2x2,1141,1690,04/01/2025,True
24,Orange Grand Communities,ENCOREVIDEO201,2x2,1120,1890,03/29/2025,False
25,Orange Grand Communities,ENCOREVIDEO201,2x2,1120,1890,03/30/2025,False
26,Orange Grand Communities,ENCOREVIDEO201,2x2,1120,1890,03/31/2025,False
27,Orange Grand Communities,ENCOREVIDEO201,2x2,1120,1890,04/01/2025,True
28,Orange Grand Communities,ICONICVIDEO101,2x2.5,1381,1890,03/29/2025,False
29,Orange Grand Communities,ICONICVIDEO101,2x2.5,1381,1890,03/30/2025,False
30,Orange Grand Communities,ICONICVIDEO101,2x2.5,1381,1890,03/31/2025,False
31,Orange Grand Communities,ICONICVIDEO101,2x2.5,1381,1890,04/01/2025,True
32,Orange Grand Communities,LEGENDVIDEO101,2x2,1120,1720,03/29/2025,False
33,Orange Grand Communities,LEGENDVIDEO101,2x2,1120,1720,03/30/2025,False
34,Orange Grand Communities,LEGENDVIDEO101,2x2,1120,1720,03/31/2025,False
35,Orange Grand Communities,LEGENDVIDEO101,2x2,1120,1720,04/01/2025,True
36,Orange Grand Communities,LEGENDVIDEO201,2x2,1120,1690,03/29/2025,False
37,Orange Grand Communities,LEGENDVIDEO201,2x2,1120,1690,03/30/2025,False
38,Orange Grand Communities,LEGENDVIDEO201,2x2,1120,1690,03/31/2025,False
39,Orange Grand Communities,LEGENDVIDEO201,2x2,1120,1690,04/01/2025,True
40,Orange Grand Communities,SHOWCASEVIDEO101,2x2,1230,1720,03/29/2025,False
41,Orange Grand Communities,SHOWCASEVIDEO101,2x2,1230,1720,03/30/2025,False
42,Orange Grand Communities,SHOWCASEVIDEO101,2x2,1230,1720,03/31/2025,False
43,Orange Grand Communities,SHOWCASEVIDEO101,2x2,1230,1720,04/01/2025,True
44,Orange Grand Communities,SHOWCASEVIDEO201,2x2,1230,1620,03/29/2025,False
45,Orange Grand Communities,SHOWCASEVIDEO201,2x2,1230,1620,03/30/2025,False
46,Orange Grand Communities,SHOWCASEVIDEO201,2x2,1230,1620,03/31/2025,False
47,Orange Grand Communities,SHOWCASEVIDEO201,2x2,1230,1620,04/01/2025,True
48,Orange Grand Communities,SIGNATUREVIDEO101,3x2.5,1857,2740,03/29/2025,False
49,Orange Grand Communities,SIGNATUREVIDEO101,3x2.5,1857,2740,03/30/2025,False
50,Orange Grand Communities,SIGNATUREVIDEO101,3x2.5,1857,2740,03/31/2025,False
51,Orange Grand Communities,SIGNATUREVIDEO101,3x2.5,1857,2740,04/01/2025,True
52,Orange Grand Communities,SUMMITVIDEO101,2x2.5,1242,1880,03/29/2025,False
53,Orange Grand Communities,SUMMITVIDEO101,2x2.5,1242,1880,03/30/2025,False
54,Orange Grand Communities,SUMMITVIDEO101,2x2.5,1242,1880,03/31/2025,False
55,Orange Grand Communities,SUMMITVIDEO101,2x2.5,1242,1880,04/01/2025,True
56,Orange Grand Communities,TRADEMARKVIDEO101,3x2,1658,2490,03/29/2025,False
57,Orange Grand Communities,TRADEMARKVIDEO101,3x2,1658,2490,03/30/2025,False
58,Orange Grand Communities,TRADEMARKVIDEO101,3x2,1658,2490,03/31/2025,False
59,Orange Grand Communities,TRADEMARKVIDEO101,3x2,1658,2490,04/01/2025,True
