building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0106,2x2,1104,1178,07/01/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0106,2x2,1104,1178,07/02/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0106,2x2,1104,1178,07/03/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0106,2x2,1104,1178,07/04/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0106,2x2,1104,1178,07/05/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0106,2x2,1104,1327,07/06/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0106,2x2,1104,1327,07/07/2023,True
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0107,2x2,1104,1327,08/02/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0107,2x2,1104,1327,08/03/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0107,2x2,1104,1327,08/04/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0107,2x2,1104,1327,08/05/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0107,2x2,1104,1327,08/06/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0107,2x2,1104,1327,08/07/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0107,2x2,1104,1327,08/08/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0107,2x2,1104,1327,08/09/2023,True
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0111,1x1,630,1104,10/22/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0111,1x1,630,1104,10/23/2023,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0111,1x1,630,1104,10/24/2023,True
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/08/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/09/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/10/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/11/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/12/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/13/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/14/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/15/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/16/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/17/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/18/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/19/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/20/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/21/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/22/2024,False
Orchard Mill Apartments,"Atlanta-Sandy Springs-Roswell, GA",0112,1x1,630,1140,09/23/2024,False
