,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Oro Vista,01102,2x2,1130,2017,05/30/2024,False
1,Oro Vista,01102,2x2,1130,2017,05/31/2024,False
2,Oro Vista,01102,2x2,1130,2017,06/01/2024,False
3,Oro Vista,01102,2x2,1130,2017,06/02/2024,False
4,Oro Vista,01102,2x2,1130,2017,06/03/2024,False
5,Oro Vista,01102,2x2,1130,2017,06/04/2024,False
6,Oro Vista,01102,2x2,1130,2017,06/05/2024,True
7,Oro Vista,01103,2x2,1130,2352,02/17/2024,False
8,Oro Vista,01103,2x2,1130,2352,02/18/2024,False
9,Oro Vista,01103,2x2,1130,2352,02/19/2024,False
10,Oro Vista,01103,2x2,1130,2352,02/20/2024,False
11,Oro Vista,01103,2x2,1130,2352,02/21/2024,False
12,Oro Vista,01103,2x2,1130,2352,02/22/2024,False
13,Oro Vista,01103,2x2,1130,2352,02/23/2024,False
14,Oro Vista,01103,2x2,1130,2352,02/24/2024,False
15,Oro Vista,01103,2x2,1130,2352,02/25/2024,False
16,Oro Vista,01103,2x2,1130,2352,02/26/2024,False
17,Oro Vista,01103,2x2,1130,2352,02/27/2024,False
18,Oro Vista,01103,2x2,1130,2352,02/28/2024,False
19,Oro Vista,01103,2x2,1130,2352,02/29/2024,False
20,Oro Vista,01103,2x2,1130,2357,03/01/2024,False
21,Oro Vista,01103,2x2,1130,2362,03/02/2024,False
22,Oro Vista,01103,2x2,1130,2352,03/03/2024,False
23,Oro Vista,01103,2x2,1130,2342,03/04/2024,False
24,Oro Vista,01103,2x2,1130,2332,03/05/2024,False
25,Oro Vista,01103,2x2,1130,2312,03/06/2024,False
26,Oro Vista,01103,2x2,1130,2312,03/07/2024,False
27,Oro Vista,01103,2x2,1130,2302,03/08/2024,False
28,Oro Vista,01103,2x2,1130,2293,03/09/2024,False
29,Oro Vista,01103,2x2,1130,2293,03/10/2024,False
30,Oro Vista,01103,2x2,1130,2284,03/11/2024,False
31,Oro Vista,01103,2x2,1130,2284,03/12/2024,False
32,Oro Vista,01103,2x2,1130,2284,03/13/2024,False
33,Oro Vista,01103,2x2,1130,2284,03/14/2024,False
34,Oro Vista,01103,2x2,1130,2275,03/15/2024,False
35,Oro Vista,01103,2x2,1130,2275,03/16/2024,False
36,Oro Vista,01103,2x2,1130,2275,03/17/2024,False
37,Oro Vista,01103,2x2,1130,2275,03/18/2024,False
38,Oro Vista,01103,2x2,1130,2275,03/19/2024,False
39,Oro Vista,01103,2x2,1130,2233,03/20/2024,False
40,Oro Vista,01103,2x2,1130,2233,03/21/2024,False
41,Oro Vista,01103,2x2,1130,2233,03/22/2024,False
42,Oro Vista,01103,2x2,1130,2233,03/23/2024,False
43,Oro Vista,01103,2x2,1130,2233,03/24/2024,False
44,Oro Vista,01103,2x2,1130,2233,03/25/2024,False
45,Oro Vista,01103,2x2,1130,2233,03/26/2024,False
46,Oro Vista,01103,2x2,1130,2233,03/27/2024,False
47,Oro Vista,01103,2x2,1130,2233,03/28/2024,False
48,Oro Vista,01103,2x2,1130,2233,03/29/2024,False
